SITE_ID,VISIT_NO,LAKE_ORIGIN12,BENT_COND,CHLA_COND,NTL_COND,PTL_COND,DRAWDOWN_COND,LITCVR_COND,LITRIPCVR_COND,RDIS_COND,RVEG_COND,SEDHG_MTH_TOP_COND,SEDHG_TOT_BTM_COND,SEDHG_TOT_TOP_COND,CHLL_REC,CYNL_REC,MICL_REC,WSA9_LO
NLA12_WI-154,1,NATURAL,Good,Good,Fair,Fair,Small,Good,Fair,Good,Fair,High,Medium,High,Moderate,Low,No Detect,UMW_NATURAL
NLA12_NE-109,1,RESERVOIR,Fair,Good,Fair,Poor,Small,Good,Fair,Poor,Fair,Low,Not Assessed,Low,Low,Low,No Detect,SPL_MAN_MADE
NLA12_NE-103,1,RESERVOIR,Not Assessed,Good,Poor,Poor,Large,Fair,Poor,Fair,Fair,Medium,Not Assessed,Low,Moderate,Low,Low,SPL_MAN_MADE
NLA12_NE-114,1,RESERVOIR,Not Assessed,Good,Good,Poor,Large,Poor,Poor,Fair,Poor,Low,Not Assessed,Low,Low,Low,No Detect,SPL_MAN_MADE
NLA12_WA-106,1,MAN_MADE,Poor,Poor,Poor,Fair,Small,Good,Good,Fair,Good,Low,Not Assessed,Medium,High,High,Low,WMT_MAN_MADE
NLA12_NE-104,1,RESERVOIR,Fair,Good,Poor,Poor,Large,Fair,Fair,Fair,Good,High,Not Assessed,Low,High,Moderate,Low,SPL_MAN_MADE
NLA12_MI-117,1,NATURAL,Good,Good,Good,Good,Small,Poor,Poor,Poor,Poor,Medium,Medium,Medium,Low,Low,Low,UMW_NATURAL
NLA12_MI-102,1,NATURAL,Poor,Good,Good,Poor,Small,Poor,Poor,Fair,Fair,High,Medium,Medium,Low,Low,No Detect,UMW_NATURAL
NLA12_NE-133,1,NATURAL,Good,Fair,Good,Good,Small,Fair,Fair,Fair,Good,Low,Low,Medium,Low,Low,Low,SPL_NATURAL
NLA12_MI-110,1,NATURAL,Fair,Good,Good,Good,Small,Good,Poor,Fair,Poor,Medium,Low,Medium,Low,Low,No Detect,UMW_NATURAL
NLA12_MI-129,1,NATURAL,Poor,Good,Good,Good,Small,Fair,Poor,Poor,Poor,Medium,Medium,Medium,Low,Low,Low,UMW_NATURAL
NLA12_VT-114,1,NATURAL_ENH,Good,Good,Good,Good,Small,Good,Good,Fair,Good,High,Medium,High,Low,Low,No Detect,NAP_NATURAL
NLA12_MI-123,1,NATURAL,Fair,Good,Good,Good,Small,Good,Fair,Fair,Poor,Medium,Medium,Medium,Low,Low,Low,UMW_NATURAL
NLA12_MI-161,1,NATURAL,Poor,Good,Good,Fair,Small,Poor,Poor,Poor,Poor,High,Medium,High,Moderate,Low,Low,UMW_NATURAL
NLA12_WI-166,1,NATURAL,Poor,Good,Poor,Poor,Small,Good,Good,Not Assessed,Good,Medium,Medium,Medium,Moderate,Low,No Detect,UMW_NATURAL
NLA12_MI-165,1,NATURAL,Good,Good,Good,Good,Small,Good,Good,Good,Good,High,Medium,High,Moderate,Low,No Detect,UMW_NATURAL
NLA12_MI-162,1,NATURAL,Good,Good,Good,Good,Medium,Good,Good,Good,Good,High,Low,High,Low,Low,No Detect,UMW_NATURAL
NLA12_MI-132,1,NATURAL,Poor,Fair,Poor,Good,Small,Fair,Poor,Fair,Poor,Medium,Medium,High,Moderate,Low,Low,UMW_NATURAL
NLA12_MI-118,1,NATURAL,Good,Good,Good,Good,Medium,Good,Good,Fair,Good,High,Medium,High,Low,Low,No Detect,UMW_NATURAL
NLA12_WA-107,1,MAN_MADE,Fair,Poor,Poor,Poor,Small,Good,Good,Good,Good,Medium,Not Assessed,Medium,Moderate,Moderate,No Detect,WMT_MAN_MADE
NLA12_WI-112,1,NATURAL,Good,Good,Fair,Good,Medium,Fair,Fair,Fair,Good,Not Assessed,Not Assessed,Not Assessed,Low,Low,Low,UMW_NATURAL
NLA12_WI-108,1,NATURAL_ENH,Poor,Fair,Poor,Poor,Small,Poor,Poor,Not Assessed,Good,High,Medium,Medium,High,Moderate,Low,UMW_NATURAL
NLA12_MI-169,1,NATURAL,Good,Good,Fair,Fair,Small,Good,Good,Good,Good,High,Medium,High,Low,Low,No Detect,UMW_NATURAL
NLA12_MI-148,1,MAN_MADE_AB,Fair,Good,Good,Good,Small,Good,Fair,Good,Poor,Not Assessed,Not Assessed,Not Assessed,Low,Low,No Detect,UMW_MAN_MADE
NLA12_WA-129,1,NATURAL,Good,Fair,Good,Poor,Small,Good,Good,Good,Good,Low,Low,Low,Low,Low,No Detect,WMT_NATURAL
NLA12_WI-155,1,NATURAL,Poor,Good,Good,Good,Small,Good,Good,Fair,Good,High,Low,Medium,Low,Low,No Detect,UMW_NATURAL
NLA12_WI-103,1,NATURAL,Poor,Good,Fair,Poor,Small,Good,Fair,Not Assessed,Good,High,Medium,Medium,Low,Low,No Detect,UMW_NATURAL
NLA12_MI-137,1,NATURAL,Fair,Good,Good,Good,Small,Good,Good,Good,Good,High,Medium,High,Low,Low,Low,UMW_NATURAL
NLA12_WI-151,1,NATURAL,Good,Fair,Good,Good,Small,Good,Good,Good,Good,High,Medium,High,Moderate,Low,No Detect,UMW_NATURAL
NLA12_WI-127,1,NATURAL,Not Assessed,Fair,Poor,Poor,Small,Good,Good,Fair,Fair,Low,Low,Low,High,High,Moderate,UMW_NATURAL
NLA12_MI-164,1,NATURAL,Good,Good,Poor,Poor,Large,Poor,Poor,Fair,Poor,High,Medium,Medium,Moderate,Low,Low,UMW_NATURAL
NLA12_WI-104,1,NATURAL_ENH,Poor,Good,Good,Good,Small,Good,Good,Fair,Good,High,Low,High,Low,Low,No Detect,UMW_NATURAL
NLA12_ID-143,1,RESERVOIR,Fair,Good,Fair,Fair,Small,Fair,Good,Good,Good,Medium,Not Assessed,Low,Moderate,Low,Low,XER_MAN_MADE
NLA12_MI-116,1,NATURAL,Fair,Good,Good,Fair,Small,Good,Good,Fair,Good,Medium,High,High,Low,Low,Low,UMW_NATURAL
NLA12_ID-216,1,RESERVOIR,Fair,Poor,Poor,Poor,Large,Poor,Poor,Fair,Poor,Low,Not Assessed,Low,Moderate,Moderate,No Detect,XER_MAN_MADE
NLA12_WI-129,1,MAN_MADE,Fair,Fair,Good,Good,Small,Good,Good,Fair,Good,Low,Low,Low,Low,Low,Low,TPL_MAN_MADE
NLA12_NH-115,1,NATURAL,Good,Good,Good,Good,Small,Poor,Fair,Good,Good,Medium,Low,Medium,Low,Low,No Detect,NAP_NATURAL
NLA12_MI-141,1,NATURAL,Fair,Good,Good,Good,Small,Good,Good,Good,Good,High,Medium,High,Low,Low,No Detect,UMW_NATURAL
NLA12_WA-131,1,MAN_MADE,Fair,Good,Poor,Poor,Small,Good,Good,Fair,Poor,High,Not Assessed,Medium,Low,Low,No Detect,XER_MAN_MADE
NLA12_WI-107,1,NATURAL,Good,Fair,Good,Good,Small,Fair,Fair,Fair,Fair,High,Low,Low,Moderate,Moderate,Low,TPL_NATURAL
NLA12_WA-111,1,MAN_MADE,Fair,Good,Fair,Good,Small,Good,Good,Fair,Good,Low,Low,Low,Low,Low,No Detect,XER_MAN_MADE
NLA12_ID-214,1,RESERVOIR,Poor,Poor,Good,Poor,Large,Fair,Poor,Fair,Poor,Low,Not Assessed,Low,Moderate,Low,No Detect,XER_MAN_MADE
NLA12_WI-120,1,NATURAL,Not Assessed,Poor,Fair,Good,Small,Good,Good,Poor,Good,Low,Medium,Medium,High,High,No Detect,TPL_NATURAL
NLA12_VT-115,1,NATURAL,Fair,Good,Fair,Poor,Small,Good,Good,Good,Good,High,High,High,No Detect,Low,No Detect,NAP_NATURAL
NLA12_WI-128,1,NATURAL,Fair,Good,Fair,Poor,Small,Good,Good,Fair,Good,High,Medium,Medium,Moderate,Low,No Detect,UMW_NATURAL
NLA12_MI-138,1,NATURAL,Fair,Good,Poor,Fair,Small,Poor,Good,Good,Good,High,High,Medium,Low,Low,Low,UMW_NATURAL
NLA12_WI-110,1,NATURAL,Fair,Good,Good,Good,Small,Fair,Fair,Fair,Good,Low,Low,Low,Low,Moderate,No Detect,UMW_NATURAL
NLA12_MI-122,1,NATURAL,Fair,Good,Good,Good,Medium,Poor,Poor,Fair,Poor,Low,Low,Medium,Low,Low,No Detect,UMW_NATURAL
NLA12_MI-133,1,NATURAL,Fair,Good,Good,Good,Small,Good,Good,Fair,Good,Low,Low,Low,Low,Low,No Detect,UMW_NATURAL
NLA12_MI-107,1,NATURAL,Poor,Good,Good,Fair,Small,Poor,Poor,Fair,Poor,Not Assessed,Low,Not Assessed,Low,Low,Not Assessed,UMW_NATURAL
NLA12_MI-106,1,NATURAL,Poor,Good,Good,Fair,Small,Poor,Poor,Poor,Fair,Low,Low,Low,Low,Low,Low,UMW_NATURAL
NLA12_MI-126,1,MAN_MADE,Fair,Good,Good,Fair,Small,Good,Good,Fair,Good,High,Medium,High,Low,Low,Low,UMW_MAN_MADE
NLA12_ID-221,1,NATURAL,Good,Poor,Poor,Fair,Small,Fair,Poor,Good,Fair,High,Medium,Medium,Low,Low,No Detect,WMT_NATURAL
NLA12_ID-218,1,NATURAL,Poor,Fair,Good,Fair,Small,Good,Good,Good,Good,Medium,Low,Medium,Low,Low,No Detect,WMT_NATURAL
NLA12_ID-180,1,NATURAL,Fair,Good,Good,Good,Small,Poor,Good,Good,Good,High,Low,High,Low,Low,No Detect,WMT_NATURAL
NLA12_MI-130,1,MAN_MADE,Good,Good,Good,Fair,Small,Good,Good,Good,Good,High,Medium,High,Low,Low,No Detect,UMW_MAN_MADE
NLA12_MI-103,1,NATURAL,Poor,Good,Good,Fair,Small,Fair,Fair,Fair,Good,Medium,Medium,High,Low,Low,Low,UMW_NATURAL
NLA12_MI-142,1,NATURAL,Fair,Good,Poor,Poor,Small,Poor,Poor,Fair,Poor,Low,Medium,Medium,Low,Low,No Detect,UMW_NATURAL
NLA12_VT-110,1,NATURAL,Good,Poor,Good,Good,Small,Good,Good,Fair,Good,High,Medium,High,Low,Low,No Detect,NAP_NATURAL
NLA12_MI-113,1,NATURAL,Poor,Good,Good,Poor,Small,Good,Good,Fair,Good,High,Low,High,Low,Low,Low,UMW_NATURAL
NLA12_ID-220,1,NATURAL,Good,Good,Good,Fair,Small,Good,Good,Good,Good,Medium,Medium,Medium,Low,Low,Low,WMT_NATURAL
NLA12_ID-205,1,NATURAL,Good,Fair,Fair,Poor,Small,Good,Good,Good,Good,High,Not Assessed,High,Low,Low,No Detect,WMT_NATURAL
NLA12_MI-145,1,NATURAL,Fair,Good,Fair,Fair,Small,Good,Good,Fair,Good,High,Medium,High,Low,Low,Low,UMW_NATURAL
NLA12_MI-172,1,NATURAL,Poor,Good,Good,Good,Small,Good,Good,Fair,Good,High,Medium,High,Low,Low,Low,UMW_NATURAL
NLA12_WI-138,1,NATURAL,Fair,Good,Good,Good,Small,Good,Good,Fair,Good,High,Medium,High,Low,Low,No Detect,UMW_NATURAL
NLA12_WI-163,1,NATURAL,Fair,Good,Poor,Poor,Small,Good,Good,Not Assessed,Fair,Not Assessed,Medium,Not Assessed,Moderate,Moderate,Low,UMW_NATURAL
NLA12_MI-177,1,NATURAL,Fair,Good,Good,Good,Small,Poor,Poor,Poor,Fair,Low,Low,Low,Low,Low,Low,UMW_NATURAL
NLA12_WI-106,1,NATURAL,Poor,Fair,Good,Good,Small,Good,Good,Fair,Good,High,Medium,High,Moderate,Low,No Detect,UMW_NATURAL
NLA12_WI-171,1,NATURAL,Fair,Good,Good,Good,Small,Good,Good,Poor,Poor,High,Low,Medium,Low,Moderate,No Detect,UMW_NATURAL
NLA12_MI-178,1,NATURAL,Fair,Good,Good,Poor,Small,Good,Good,Good,Good,High,Medium,Low,Low,Low,No Detect,UMW_NATURAL
NLA12_WI-147,1,NATURAL,Good,Good,Poor,Fair,Small,Good,Good,Not Assessed,Poor,High,Medium,High,Low,Low,No Detect,UMW_NATURAL
NLA12_WA-147,1,NATURAL,Good,Good,Poor,Fair,Small,Fair,Good,Fair,Good,High,Low,Medium,Low,Low,No Detect,WMT_NATURAL
NLA12_WI-176,1,NATURAL,Good,Good,Good,Good,Small,Good,Fair,Fair,Good,High,Medium,Medium,Low,Low,No Detect,UMW_NATURAL
NLA12_WI-170,1,NATURAL,Fair,Good,Good,Good,Small,Fair,Poor,Poor,Fair,High,Medium,Medium,Moderate,Low,No Detect,UMW_NATURAL
NLA12_WY-151,1,MAN_MADE,Fair,Fair,Good,Fair,Large,Good,Good,Good,Good,Not Assessed,Not Assessed,Not Assessed,Low,Low,No Detect,WMT_MAN_MADE
NLA12_WI-173,1,RESERVOIR,Fair,Fair,Fair,Poor,Small,Fair,Fair,Poor,Good,Low,Not Assessed,Low,High,High,No Detect,UMW_MAN_MADE
NLA12_WI-188,1,NATURAL,Not Assessed,Poor,Poor,Poor,Large,Good,Good,Fair,Good,Medium,Low,Low,High,High,High,TPL_NATURAL
NLA12_OR-167,1,NATURAL,Poor,Fair,Poor,Poor,Small,Good,Fair,Fair,Fair,Medium,Medium,Medium,Moderate,Moderate,Low,WMT_NATURAL
NLA12_WI-142,1,NATURAL,Good,Good,Poor,Fair,Small,Good,Good,Good,Good,High,Medium,High,High,Low,No Detect,UMW_NATURAL
NLA12_WI-153,1,NATURAL,Poor,Good,Poor,Poor,Large,Good,Good,Fair,Good,High,Low,Medium,High,Moderate,Low,UMW_NATURAL
NLA12_WI-183,1,NATURAL,Good,Good,Good,Good,Small,Good,Good,Good,Good,High,Medium,High,Low,Moderate,No Detect,UMW_NATURAL
NLA12_WI-174,1,NATURAL,Good,Good,Good,Good,Small,Good,Good,Good,Good,High,Medium,High,Moderate,Moderate,No Detect,UMW_NATURAL
NLA12_WI-122,1,NATURAL,Poor,Good,Good,Fair,Large,Fair,Poor,Good,Fair,Not Assessed,Not Assessed,Not Assessed,Low,Low,No Detect,UMW_NATURAL
NLA12_WI-157,1,RESERVOIR,Poor,Good,Fair,Fair,Small,Good,Fair,Fair,Fair,Medium,Not Assessed,Medium,Moderate,Low,Low,UMW_MAN_MADE
NLA12_CA-143,1,MAN_MADE,Fair,Good,Good,Good,Medium,Fair,Poor,Fair,Poor,Medium,Not Assessed,Medium,Low,Low,Low,XER_MAN_MADE
NLA12_AZ-101,1,RESERVOIR,Poor,Good,Good,Good,Small,Good,Good,Good,Fair,Low,Not Assessed,Medium,Low,Low,No Detect,XER_MAN_MADE
NLA12_ND-115,1,RESERVOIR,Fair,Good,Fair,Fair,Small,Good,Fair,Poor,Poor,Low,Not Assessed,Low,Low,Low,No Detect,NPL_MAN_MADE
NLA12_AZ-118,1,MAN_MADE,Poor,Good,Fair,Good,Small,Good,Good,Fair,Good,Low,Not Assessed,Medium,Low,Low,Low,XER_MAN_MADE
NLA12_UT-103,1,RESERVOIR,Not Assessed,Poor,Good,Good,Small,Good,Good,Fair,Good,High,Not Assessed,Low,Low,Low,No Detect,WMT_MAN_MADE
NLA12_AZ-130,1,RESERVOIR,Poor,Poor,Good,Fair,Large,Fair,Poor,Good,Poor,Low,Not Assessed,Low,Low,Low,Low,XER_MAN_MADE
NLA12_FL-101,1,NATURAL,Not Assessed,Good,Poor,Poor,Not Assessed,Not Assessed,Not Assessed,Not Assessed,Not Assessed,High,High,High,Low,Moderate,Low,CPL_NATURAL
NLA12_UT-101,1,NATURAL_ENH,Poor,Poor,Good,Good,Large,Poor,Poor,Fair,Poor,Medium,Low,Low,Low,Low,No Detect,WMT_NATURAL
NLA12_ND-112,1,NATURAL,Poor,Good,Poor,Poor,Small,Good,Poor,Poor,Poor,Low,Low,Low,Low,Moderate,No Detect,NPL_NATURAL
NLA12_GA-112,1,MAN_MADE,Poor,Good,Fair,Fair,Small,Fair,Fair,Fair,Good,Low,Not Assessed,Low,Low,Low,Low,SAP_MAN_MADE
NLA12_UT-108,1,RESERVOIR,Poor,Poor,Poor,Poor,Small,Good,Poor,Fair,Poor,Low,Not Assessed,Low,Low,Low,No Detect,WMT_MAN_MADE
NLA12_FL-107,1,NATURAL,Good,Fair,Fair,Good,Medium,Good,Good,Fair,Poor,High,Medium,High,Low,Low,No Detect,CPL_NATURAL
NLA12_FL-110,1,NATURAL,Good,Good,Good,Good,Medium,Poor,Poor,Fair,Poor,Medium,Medium,High,Moderate,Moderate,No Detect,CPL_NATURAL
NLA12_FL-106,1,NATURAL,Good,Poor,Fair,Fair,Medium,Fair,Poor,Fair,Fair,High,Medium,High,Low,Low,No Detect,CPL_NATURAL
NLA12_FL-104,1,NATURAL,Poor,Fair,Poor,Good,Medium,Good,Fair,Poor,Poor,Low,Low,Low,Moderate,Moderate,Low,CPL_NATURAL
NLA12_CA-168,1,MAN_MADE,Poor,Good,Poor,Poor,Small,Good,Good,Fair,Fair,Low,Not Assessed,Medium,High,Low,Low,XER_MAN_MADE
NLA12_OK-122,1,RESERVOIR,Poor,Good,Poor,Poor,Large,Fair,Poor,Fair,Fair,Low,Not Assessed,Low,Low,Low,Low,SPL_MAN_MADE
NLA12_KS-114,1,RESERVOIR,Good,Fair,Good,Good,Small,Good,Good,Fair,Good,Not Assessed,Not Assessed,Not Assessed,Moderate,Not Assessed,No Detect,TPL_MAN_MADE
NLA12_CA-106,1,MAN_MADE,Not Assessed,Good,Poor,Poor,Small,Good,Fair,Fair,Poor,Low,Not Assessed,Low,High,High,Low,XER_MAN_MADE
NLA12_FL-114,1,NATURAL,Good,Poor,Fair,Good,Medium,Good,Fair,Fair,Fair,Medium,Medium,High,Low,Low,Low,CPL_NATURAL
NLA12_PA-102,1,RESERVOIR,Poor,Good,Poor,Poor,Small,Good,Poor,Fair,Poor,Not Assessed,Not Assessed,Not Assessed,Moderate,Moderate,Low,SAP_MAN_MADE
NLA12_OK-118,1,RESERVOIR,Poor,Good,Poor,Poor,Small,Good,Good,Fair,Good,Medium,Not Assessed,Low,Low,Low,No Detect,SPL_MAN_MADE
NLA12_CA-172,1,MAN_MADE,Fair,Good,Good,Good,Small,Good,Fair,Fair,Poor,Low,Not Assessed,Medium,Low,Low,No Detect,XER_MAN_MADE
NLA12_AZ-127,1,RESERVOIR,Poor,Fair,Poor,Poor,Large,Poor,Poor,Good,Poor,High,Not Assessed,Medium,Moderate,Low,Low,WMT_MAN_MADE
NLA12_KY-101,1,MAN_MADE,Fair,Good,Good,Good,Small,Poor,Fair,Fair,Good,Low,Not Assessed,Medium,Low,Low,No Detect,SAP_MAN_MADE
NLA12_KY-107,1,MAN_MADE,Poor,Good,Poor,Poor,Small,Good,Good,Fair,Poor,Low,Not Assessed,Medium,High,Moderate,Low,SAP_MAN_MADE
NLA12_NC-107,1,MAN_MADE,Poor,Poor,Fair,Good,Small,Fair,Poor,Fair,Fair,Medium,Not Assessed,Medium,Low,Low,Low,CPL_MAN_MADE
