SITE_ID,VISIT_NO,TSTATE_TP,TSTATE_TN,TSTATE_CHL,TSTATE_SECCHI
NLA06608-0019,2,4: HYPEREUTROPHIC (>50 ug/L),4: HYPEREUTROPHIC (> 1.4 ug/L),4: HYPEREUTROPHIC (> 30 ug/L),4: HYPEREUTROPHIC (<= 0.7 m)
NLA06608-0020,1,3: EUTROPHIC (>25-50 ug/L),2: MESOTROPHIC (>0.35-0.75 mg/,3: EUTROPHIC (>7 to 30 mg/L),4: HYPEREUTROPHIC (<= 0.7 m)
NLA06608-0020,2,2: MESOTROPHIC (>10-25 ug/L),2: MESOTROPHIC (>0.35-0.75 mg/,3: EUTROPHIC (>7 to 30 mg/L),3: EUTROPHIC (0.7-2.1 m)
NLA06608-0021,1,1: OLIGOTROPHIC (<= 10 ug/L),2: MESOTROPHIC (>0.35-0.75 mg/,2: MESOTROPHIC (>2-7 ug/L),1: OLIGOTROPHIC (> 4 m)
NLA06608-0021,2,2: MESOTROPHIC (>10-25 ug/L),2: MESOTROPHIC (>0.35-0.75 mg/,2: MESOTROPHIC (>2-7 ug/L),1: OLIGOTROPHIC (> 4 m)
NLA06608-0023,1,2: MESOTROPHIC (>10-25 ug/L),1: OLIGOTROPHIC (<= 0.35 mg/L),2: MESOTROPHIC (>2-7 ug/L),3: EUTROPHIC (0.7-2.1 m)
NLA06608-0023,2,2: MESOTROPHIC (>10-25 ug/L),2: MESOTROPHIC (>0.35-0.75 mg/,2: MESOTROPHIC (>2-7 ug/L),3: EUTROPHIC (0.7-2.1 m)
NLA06608-0024,1,3: EUTROPHIC (>25-50 ug/L),3: EUTROPHIC (>0.75 to 1.4 mg/,4: HYPEREUTROPHIC (> 30 ug/L),3: EUTROPHIC (0.7-2.1 m)
NLA06608-0024,2,3: EUTROPHIC (>25-50 ug/L),3: EUTROPHIC (>0.75 to 1.4 mg/,3: EUTROPHIC (>7 to 30 mg/L),3: EUTROPHIC (0.7-2.1 m)
NLA06608-0025,1,1: OLIGOTROPHIC (<= 10 ug/L),1: OLIGOTROPHIC (<= 0.35 mg/L),1: OLIGOTROPHIC (<= 2 ug/L),2: MESOTROPHIC (2.1-4 m)
NLA06608-0025,2,1: OLIGOTROPHIC (<= 10 ug/L),1: OLIGOTROPHIC (<= 0.35 mg/L),1: OLIGOTROPHIC (<= 2 ug/L),2: MESOTROPHIC (2.1-4 m)
NLA06608-0029,1,4: HYPEREUTROPHIC (>50 ug/L),4: HYPEREUTROPHIC (> 1.4 ug/L),4: HYPEREUTROPHIC (> 30 ug/L),4: HYPEREUTROPHIC (<= 0.7 m)
NLA06608-0029,2,4: HYPEREUTROPHIC (>50 ug/L),4: HYPEREUTROPHIC (> 1.4 ug/L),4: HYPEREUTROPHIC (> 30 ug/L),4: HYPEREUTROPHIC (<= 0.7 m)
NLA06608-0031,1,3: EUTROPHIC (>25-50 ug/L),2: MESOTROPHIC (>0.35-0.75 mg/,2: MESOTROPHIC (>2-7 ug/L),3: EUTROPHIC (0.7-2.1 m)
NLA06608-0031,2,2: MESOTROPHIC (>10-25 ug/L),2: MESOTROPHIC (>0.35-0.75 mg/,3: EUTROPHIC (>7 to 30 mg/L),3: EUTROPHIC (0.7-2.1 m)
NLA06608-0033,1,3: EUTROPHIC (>25-50 ug/L),3: EUTROPHIC (>0.75 to 1.4 mg/,3: EUTROPHIC (>7 to 30 mg/L),4: HYPEREUTROPHIC (<= 0.7 m)
NLA06608-0033,2,3: EUTROPHIC (>25-50 ug/L),2: MESOTROPHIC (>0.35-0.75 mg/,2: MESOTROPHIC (>2-7 ug/L),3: EUTROPHIC (0.7-2.1 m)
NLA06608-0036,1,1: OLIGOTROPHIC (<= 10 ug/L),1: OLIGOTROPHIC (<= 0.35 mg/L),2: MESOTROPHIC (>2-7 ug/L),2: MESOTROPHIC (2.1-4 m)
NLA06608-0036,2,1: OLIGOTROPHIC (<= 10 ug/L),1: OLIGOTROPHIC (<= 0.35 mg/L),2: MESOTROPHIC (>2-7 ug/L),2: MESOTROPHIC (2.1-4 m)
NLA06608-0037,1,2: MESOTROPHIC (>10-25 ug/L),1: OLIGOTROPHIC (<= 0.35 mg/L),3: EUTROPHIC (>7 to 30 mg/L),2: MESOTROPHIC (2.1-4 m)
NLA06608-0037,2,2: MESOTROPHIC (>10-25 ug/L),1: OLIGOTROPHIC (<= 0.35 mg/L),2: MESOTROPHIC (>2-7 ug/L),1: OLIGOTROPHIC (> 4 m)
NLA06608-0038,1,1: OLIGOTROPHIC (<= 10 ug/L),1: OLIGOTROPHIC (<= 0.35 mg/L),2: MESOTROPHIC (>2-7 ug/L),1: OLIGOTROPHIC (> 4 m)
NLA06608-0038,2,1: OLIGOTROPHIC (<= 10 ug/L),1: OLIGOTROPHIC (<= 0.35 mg/L),2: MESOTROPHIC (>2-7 ug/L),1: OLIGOTROPHIC (> 4 m)
NLA06608-0041,1,1: OLIGOTROPHIC (<= 10 ug/L),2: MESOTROPHIC (>0.35-0.75 mg/,1: OLIGOTROPHIC (<= 2 ug/L),1: OLIGOTROPHIC (> 4 m)
NLA06608-0041,2,1: OLIGOTROPHIC (<= 10 ug/L),2: MESOTROPHIC (>0.35-0.75 mg/,1: OLIGOTROPHIC (<= 2 ug/L),1: OLIGOTROPHIC (> 4 m)
NLA06608-0042,1,2: MESOTROPHIC (>10-25 ug/L),1: OLIGOTROPHIC (<= 0.35 mg/L),2: MESOTROPHIC (>2-7 ug/L),2: MESOTROPHIC (2.1-4 m)
NLA06608-0042,2,1: OLIGOTROPHIC (<= 10 ug/L),1: OLIGOTROPHIC (<= 0.35 mg/L),1: OLIGOTROPHIC (<= 2 ug/L),1: OLIGOTROPHIC (> 4 m)
NLA06608-0043,1,1: OLIGOTROPHIC (<= 10 ug/L),2: MESOTROPHIC (>0.35-0.75 mg/,2: MESOTROPHIC (>2-7 ug/L),3: EUTROPHIC (0.7-2.1 m)
NLA06608-0043,2,2: MESOTROPHIC (>10-25 ug/L),2: MESOTROPHIC (>0.35-0.75 mg/,2: MESOTROPHIC (>2-7 ug/L),3: EUTROPHIC (0.7-2.1 m)
NLA06608-0044,1,4: HYPEREUTROPHIC (>50 ug/L),4: HYPEREUTROPHIC (> 1.4 ug/L),4: HYPEREUTROPHIC (> 30 ug/L),4: HYPEREUTROPHIC (<= 0.7 m)
NLA06608-0044,2,4: HYPEREUTROPHIC (>50 ug/L),4: HYPEREUTROPHIC (> 1.4 ug/L),4: HYPEREUTROPHIC (> 30 ug/L),4: HYPEREUTROPHIC (<= 0.7 m)
NLA06608-0045,1,3: EUTROPHIC (>25-50 ug/L),2: MESOTROPHIC (>0.35-0.75 mg/,3: EUTROPHIC (>7 to 30 mg/L),3: EUTROPHIC (0.7-2.1 m)
NLA06608-0045,2,3: EUTROPHIC (>25-50 ug/L),2: MESOTROPHIC (>0.35-0.75 mg/,3: EUTROPHIC (>7 to 30 mg/L),3: EUTROPHIC (0.7-2.1 m)
NLA06608-0048,1,4: HYPEREUTROPHIC (>50 ug/L),3: EUTROPHIC (>0.75 to 1.4 mg/,4: HYPEREUTROPHIC (> 30 ug/L),4: HYPEREUTROPHIC (<= 0.7 m)
NLA06608-0048,2,3: EUTROPHIC (>25-50 ug/L),3: EUTROPHIC (>0.75 to 1.4 mg/,3: EUTROPHIC (>7 to 30 mg/L),4: HYPEREUTROPHIC (<= 0.7 m)
NLA06608-0049,1,2: MESOTROPHIC (>10-25 ug/L),1: OLIGOTROPHIC (<= 0.35 mg/L),1: OLIGOTROPHIC (<= 2 ug/L),2: MESOTROPHIC (2.1-4 m)
NLA06608-0050,1,2: MESOTROPHIC (>10-25 ug/L),1: OLIGOTROPHIC (<= 0.35 mg/L),2: MESOTROPHIC (>2-7 ug/L),3: EUTROPHIC (0.7-2.1 m)
NLA06608-0050,2,2: MESOTROPHIC (>10-25 ug/L),2: MESOTROPHIC (>0.35-0.75 mg/,3: EUTROPHIC (>7 to 30 mg/L),3: EUTROPHIC (0.7-2.1 m)
NLA06608-0053,1,3: EUTROPHIC (>25-50 ug/L),1: OLIGOTROPHIC (<= 0.35 mg/L),2: MESOTROPHIC (>2-7 ug/L),3: EUTROPHIC (0.7-2.1 m)
NLA06608-0053,2,2: MESOTROPHIC (>10-25 ug/L),1: OLIGOTROPHIC (<= 0.35 mg/L),2: MESOTROPHIC (>2-7 ug/L),3: EUTROPHIC (0.7-2.1 m)
NLA06608-0057,1,4: HYPEREUTROPHIC (>50 ug/L),4: HYPEREUTROPHIC (> 1.4 ug/L),4: HYPEREUTROPHIC (> 30 ug/L),4: HYPEREUTROPHIC (<= 0.7 m)
NLA06608-0057,2,4: HYPEREUTROPHIC (>50 ug/L),3: EUTROPHIC (>0.75 to 1.4 mg/,4: HYPEREUTROPHIC (> 30 ug/L),4: HYPEREUTROPHIC (<= 0.7 m)
NLA06608-0061,1,2: MESOTROPHIC (>10-25 ug/L),2: MESOTROPHIC (>0.35-0.75 mg/,2: MESOTROPHIC (>2-7 ug/L),3: EUTROPHIC (0.7-2.1 m)
NLA06608-0061,2,2: MESOTROPHIC (>10-25 ug/L),2: MESOTROPHIC (>0.35-0.75 mg/,3: EUTROPHIC (>7 to 30 mg/L),3: EUTROPHIC (0.7-2.1 m)
NLA06608-0062,1,4: HYPEREUTROPHIC (>50 ug/L),4: HYPEREUTROPHIC (> 1.4 ug/L),2: MESOTROPHIC (>2-7 ug/L),3: EUTROPHIC (0.7-2.1 m)
NLA06608-0062,2,4: HYPEREUTROPHIC (>50 ug/L),4: HYPEREUTROPHIC (> 1.4 ug/L),4: HYPEREUTROPHIC (> 30 ug/L),3: EUTROPHIC (0.7-2.1 m)
NLA06608-0064,1,4: HYPEREUTROPHIC (>50 ug/L),4: HYPEREUTROPHIC (> 1.4 ug/L),3: EUTROPHIC (>7 to 30 mg/L),4: HYPEREUTROPHIC (<= 0.7 m)
NLA06608-0064,2,4: HYPEREUTROPHIC (>50 ug/L),4: HYPEREUTROPHIC (> 1.4 ug/L),3: EUTROPHIC (>7 to 30 mg/L),4: HYPEREUTROPHIC (<= 0.7 m)
NLA06608-0065,1,1: OLIGOTROPHIC (<= 10 ug/L),1: OLIGOTROPHIC (<= 0.35 mg/L),1: OLIGOTROPHIC (<= 2 ug/L),1: OLIGOTROPHIC (> 4 m)
NLA06608-0065,2,1: OLIGOTROPHIC (<= 10 ug/L),1: OLIGOTROPHIC (<= 0.35 mg/L),1: OLIGOTROPHIC (<= 2 ug/L),1: OLIGOTROPHIC (> 4 m)
NLA06608-0066,1,1: OLIGOTROPHIC (<= 10 ug/L),2: MESOTROPHIC (>0.35-0.75 mg/,1: OLIGOTROPHIC (<= 2 ug/L),2: MESOTROPHIC (2.1-4 m)
NLA06608-0066,2,1: OLIGOTROPHIC (<= 10 ug/L),2: MESOTROPHIC (>0.35-0.75 mg/,2: MESOTROPHIC (>2-7 ug/L),2: MESOTROPHIC (2.1-4 m)
NLA06608-0068,1,1: OLIGOTROPHIC (<= 10 ug/L),1: OLIGOTROPHIC (<= 0.35 mg/L),1: OLIGOTROPHIC (<= 2 ug/L),2: MESOTROPHIC (2.1-4 m)
NLA06608-0068,2,1: OLIGOTROPHIC (<= 10 ug/L),1: OLIGOTROPHIC (<= 0.35 mg/L),1: OLIGOTROPHIC (<= 2 ug/L),1: OLIGOTROPHIC (> 4 m)
NLA06608-0069,1,3: EUTROPHIC (>25-50 ug/L),2: MESOTROPHIC (>0.35-0.75 mg/,3: EUTROPHIC (>7 to 30 mg/L),4: HYPEREUTROPHIC (<= 0.7 m)
NLA06608-0069,2,3: EUTROPHIC (>25-50 ug/L),3: EUTROPHIC (>0.75 to 1.4 mg/,2: MESOTROPHIC (>2-7 ug/L),4: HYPEREUTROPHIC (<= 0.7 m)
NLA06608-0071,1,4: HYPEREUTROPHIC (>50 ug/L),4: HYPEREUTROPHIC (> 1.4 ug/L),4: HYPEREUTROPHIC (> 30 ug/L),4: HYPEREUTROPHIC (<= 0.7 m)
NLA06608-0071,2,4: HYPEREUTROPHIC (>50 ug/L),4: HYPEREUTROPHIC (> 1.4 ug/L),4: HYPEREUTROPHIC (> 30 ug/L),4: HYPEREUTROPHIC (<= 0.7 m)
NLA06608-0072,1,4: HYPEREUTROPHIC (>50 ug/L),4: HYPEREUTROPHIC (> 1.4 ug/L),3: EUTROPHIC (>7 to 30 mg/L),4: HYPEREUTROPHIC (<= 0.7 m)
NLA06608-0072,2,4: HYPEREUTROPHIC (>50 ug/L),4: HYPEREUTROPHIC (> 1.4 ug/L),4: HYPEREUTROPHIC (> 30 ug/L),4: HYPEREUTROPHIC (<= 0.7 m)
NLA06608-0073,1,4: HYPEREUTROPHIC (>50 ug/L),3: EUTROPHIC (>0.75 to 1.4 mg/,1: OLIGOTROPHIC (<= 2 ug/L),1: OLIGOTROPHIC (> 4 m)
NLA06608-0073,2,4: HYPEREUTROPHIC (>50 ug/L),4: HYPEREUTROPHIC (> 1.4 ug/L),2: MESOTROPHIC (>2-7 ug/L),1: OLIGOTROPHIC (> 4 m)
NLA06608-0076,1,2: MESOTROPHIC (>10-25 ug/L),2: MESOTROPHIC (>0.35-0.75 mg/,3: EUTROPHIC (>7 to 30 mg/L),3: EUTROPHIC (0.7-2.1 m)
NLA06608-0076,2,3: EUTROPHIC (>25-50 ug/L),2: MESOTROPHIC (>0.35-0.75 mg/,3: EUTROPHIC (>7 to 30 mg/L),4: HYPEREUTROPHIC (<= 0.7 m)
NLA06608-0077,1,4: HYPEREUTROPHIC (>50 ug/L),4: HYPEREUTROPHIC (> 1.4 ug/L),4: HYPEREUTROPHIC (> 30 ug/L),9: NO DATA
NLA06608-0077,2,4: HYPEREUTROPHIC (>50 ug/L),4: HYPEREUTROPHIC (> 1.4 ug/L),4: HYPEREUTROPHIC (> 30 ug/L),4: HYPEREUTROPHIC (<= 0.7 m)
NLA06608-0078,1,4: HYPEREUTROPHIC (>50 ug/L),4: HYPEREUTROPHIC (> 1.4 ug/L),3: EUTROPHIC (>7 to 30 mg/L),3: EUTROPHIC (0.7-2.1 m)
NLA06608-0078,2,4: HYPEREUTROPHIC (>50 ug/L),4: HYPEREUTROPHIC (> 1.4 ug/L),3: EUTROPHIC (>7 to 30 mg/L),4: HYPEREUTROPHIC (<= 0.7 m)
NLA06608-0079,1,1: OLIGOTROPHIC (<= 10 ug/L),1: OLIGOTROPHIC (<= 0.35 mg/L),2: MESOTROPHIC (>2-7 ug/L),1: OLIGOTROPHIC (> 4 m)
NLA06608-0079,2,1: OLIGOTROPHIC (<= 10 ug/L),1: OLIGOTROPHIC (<= 0.35 mg/L),1: OLIGOTROPHIC (<= 2 ug/L),1: OLIGOTROPHIC (> 4 m)
NLA06608-0080,1,3: EUTROPHIC (>25-50 ug/L),3: EUTROPHIC (>0.75 to 1.4 mg/,4: HYPEREUTROPHIC (> 30 ug/L),4: HYPEREUTROPHIC (<= 0.7 m)
NLA06608-0080,2,4: HYPEREUTROPHIC (>50 ug/L),3: EUTROPHIC (>0.75 to 1.4 mg/,4: HYPEREUTROPHIC (> 30 ug/L),4: HYPEREUTROPHIC (<= 0.7 m)
NLA06608-0081,1,2: MESOTROPHIC (>10-25 ug/L),2: MESOTROPHIC (>0.35-0.75 mg/,2: MESOTROPHIC (>2-7 ug/L),1: OLIGOTROPHIC (> 4 m)
NLA06608-0081,2,2: MESOTROPHIC (>10-25 ug/L),3: EUTROPHIC (>0.75 to 1.4 mg/,4: HYPEREUTROPHIC (> 30 ug/L),2: MESOTROPHIC (2.1-4 m)
NLA06608-0083,1,3: EUTROPHIC (>25-50 ug/L),4: HYPEREUTROPHIC (> 1.4 ug/L),2: MESOTROPHIC (>2-7 ug/L),5: CLEAR TO BOTTOM
NLA06608-0083,2,3: EUTROPHIC (>25-50 ug/L),4: HYPEREUTROPHIC (> 1.4 ug/L),2: MESOTROPHIC (>2-7 ug/L),5: CLEAR TO BOTTOM
NLA06608-0085,1,4: HYPEREUTROPHIC (>50 ug/L),4: HYPEREUTROPHIC (> 1.4 ug/L),2: MESOTROPHIC (>2-7 ug/L),4: HYPEREUTROPHIC (<= 0.7 m)
NLA06608-0085,2,4: HYPEREUTROPHIC (>50 ug/L),4: HYPEREUTROPHIC (> 1.4 ug/L),4: HYPEREUTROPHIC (> 30 ug/L),4: HYPEREUTROPHIC (<= 0.7 m)
NLA06608-0086,1,2: MESOTROPHIC (>10-25 ug/L),1: OLIGOTROPHIC (<= 0.35 mg/L),3: EUTROPHIC (>7 to 30 mg/L),3: EUTROPHIC (0.7-2.1 m)
NLA06608-0086,2,3: EUTROPHIC (>25-50 ug/L),3: EUTROPHIC (>0.75 to 1.4 mg/,4: HYPEREUTROPHIC (> 30 ug/L),3: EUTROPHIC (0.7-2.1 m)
NLA06608-0089,1,3: EUTROPHIC (>25-50 ug/L),1: OLIGOTROPHIC (<= 0.35 mg/L),3: EUTROPHIC (>7 to 30 mg/L),3: EUTROPHIC (0.7-2.1 m)
NLA06608-0089,2,3: EUTROPHIC (>25-50 ug/L),2: MESOTROPHIC (>0.35-0.75 mg/,4: HYPEREUTROPHIC (> 30 ug/L),3: EUTROPHIC (0.7-2.1 m)
NLA06608-0090,1,2: MESOTROPHIC (>10-25 ug/L),1: OLIGOTROPHIC (<= 0.35 mg/L),2: MESOTROPHIC (>2-7 ug/L),1: OLIGOTROPHIC (> 4 m)
NLA06608-0090,2,2: MESOTROPHIC (>10-25 ug/L),1: OLIGOTROPHIC (<= 0.35 mg/L),1: OLIGOTROPHIC (<= 2 ug/L),1: OLIGOTROPHIC (> 4 m)
NLA06608-0091,1,4: HYPEREUTROPHIC (>50 ug/L),4: HYPEREUTROPHIC (> 1.4 ug/L),4: HYPEREUTROPHIC (> 30 ug/L),4: HYPEREUTROPHIC (<= 0.7 m)
NLA06608-0091,2,4: HYPEREUTROPHIC (>50 ug/L),4: HYPEREUTROPHIC (> 1.4 ug/L),4: HYPEREUTROPHIC (> 30 ug/L),4: HYPEREUTROPHIC (<= 0.7 m)
NLA06608-0099,1,1: OLIGOTROPHIC (<= 10 ug/L),2: MESOTROPHIC (>0.35-0.75 mg/,2: MESOTROPHIC (>2-7 ug/L),3: EUTROPHIC (0.7-2.1 m)
NLA06608-0099,2,2: MESOTROPHIC (>10-25 ug/L),2: MESOTROPHIC (>0.35-0.75 mg/,2: MESOTROPHIC (>2-7 ug/L),2: MESOTROPHIC (2.1-4 m)
NLA06608-0101,1,1: OLIGOTROPHIC (<= 10 ug/L),1: OLIGOTROPHIC (<= 0.35 mg/L),1: OLIGOTROPHIC (<= 2 ug/L),1: OLIGOTROPHIC (> 4 m)
NLA06608-0102,1,1: OLIGOTROPHIC (<= 10 ug/L),1: OLIGOTROPHIC (<= 0.35 mg/L),1: OLIGOTROPHIC (<= 2 ug/L),1: OLIGOTROPHIC (> 4 m)
NLA06608-0104,1,4: HYPEREUTROPHIC (>50 ug/L),3: EUTROPHIC (>0.75 to 1.4 mg/,4: HYPEREUTROPHIC (> 30 ug/L),4: HYPEREUTROPHIC (<= 0.7 m)
NLA06608-0104,2,3: EUTROPHIC (>25-50 ug/L),3: EUTROPHIC (>0.75 to 1.4 mg/,4: HYPEREUTROPHIC (> 30 ug/L),4: HYPEREUTROPHIC (<= 0.7 m)
NLA06608-0105,1,3: EUTROPHIC (>25-50 ug/L),1: OLIGOTROPHIC (<= 0.35 mg/L),2: MESOTROPHIC (>2-7 ug/L),3: EUTROPHIC (0.7-2.1 m)
NLA06608-0105,2,4: HYPEREUTROPHIC (>50 ug/L),2: MESOTROPHIC (>0.35-0.75 mg/,3: EUTROPHIC (>7 to 30 mg/L),4: HYPEREUTROPHIC (<= 0.7 m)
NLA06608-0107,1,1: OLIGOTROPHIC (<= 10 ug/L),2: MESOTROPHIC (>0.35-0.75 mg/,2: MESOTROPHIC (>2-7 ug/L),5: CLEAR TO BOTTOM
NLA06608-0110,1,2: MESOTROPHIC (>10-25 ug/L),2: MESOTROPHIC (>0.35-0.75 mg/,1: OLIGOTROPHIC (<= 2 ug/L),2: MESOTROPHIC (2.1-4 m)
NLA06608-0111,1,1: OLIGOTROPHIC (<= 10 ug/L),1: OLIGOTROPHIC (<= 0.35 mg/L),2: MESOTROPHIC (>2-7 ug/L),3: EUTROPHIC (0.7-2.1 m)
NLA06608-0112,1,3: EUTROPHIC (>25-50 ug/L),3: EUTROPHIC (>0.75 to 1.4 mg/,4: HYPEREUTROPHIC (> 30 ug/L),4: HYPEREUTROPHIC (<= 0.7 m)
NLA06608-0113,1,1: OLIGOTROPHIC (<= 10 ug/L),1: OLIGOTROPHIC (<= 0.35 mg/L),2: MESOTROPHIC (>2-7 ug/L),2: MESOTROPHIC (2.1-4 m)
NLA06608-0115,1,1: OLIGOTROPHIC (<= 10 ug/L),2: MESOTROPHIC (>0.35-0.75 mg/,1: OLIGOTROPHIC (<= 2 ug/L),2: MESOTROPHIC (2.1-4 m)
NLA06608-0116,1,3: EUTROPHIC (>25-50 ug/L),1: OLIGOTROPHIC (<= 0.35 mg/L),2: MESOTROPHIC (>2-7 ug/L),3: EUTROPHIC (0.7-2.1 m)
NLA06608-0120,1,4: HYPEREUTROPHIC (>50 ug/L),3: EUTROPHIC (>0.75 to 1.4 mg/,2: MESOTROPHIC (>2-7 ug/L),4: HYPEREUTROPHIC (<= 0.7 m)
NLA06608-0120,2,4: HYPEREUTROPHIC (>50 ug/L),3: EUTROPHIC (>0.75 to 1.4 mg/,1: OLIGOTROPHIC (<= 2 ug/L),4: HYPEREUTROPHIC (<= 0.7 m)
NLA06608-0124,1,4: HYPEREUTROPHIC (>50 ug/L),1: OLIGOTROPHIC (<= 0.35 mg/L),4: HYPEREUTROPHIC (> 30 ug/L),4: HYPEREUTROPHIC (<= 0.7 m)
