SITE_ID,VISIT_NO,UID,PRISTINE,APPEALNG,RECREATIONAL_VALUE,RDisIn,RDisInAg,RDisInNonAG,RDisIXAgAdj5,L_RVegQ,L_LitCvrQ,L_LitRipCvQ,RVegQc15,LitCvrQc15,LitRipCvrQc15,L_RVegQc15,L_LitCvrQc15,L_LitRipCvrQc15,RVegQc3OE15,LitCvrQc3OE15,LitRipCvrQc3OE15,RVeg_CONDus15,LitCvr_CONDus15,LitRipCvr_CONDus15,RDIS_CONDus15
NLA06608-0006,2,NA,4,4,GOOD,0.333333333,0,0.333333333,0.316666667,-0.556737013,-0.972580278,-0.716679324,0.2675,0.096517195,0.182008598,-0.556737013,-0.972580278,-0.716679324,0.956372084,0.716489192,0.819224837,GOOD,GOOD,GOOD,FAIR
NLA06608-0007,1,NA,4,4,GOOD,0.473684211,0,0.473684211,0.386842105,-0.658438663,-0.845137925,-0.741832069,0.209564103,0.132844024,0.171204063,-0.658438663,-0.845137925,-0.741832069,0.896368678,1.078532377,0.921694744,GOOD,GOOD,GOOD,FAIR
NLA06608-0007,2,NA,4,4,GOOD,0.512195122,0,0.512195122,0.456097561,-0.559090918,-1.096492164,-0.749486064,0.266,0.070077008,0.168038504,-0.559090918,-1.096492164,-0.749486064,1.13776198,0.568940323,0.904652629,GOOD,FAIR,GOOD,FAIR
NLA06608-0008,1,NA,2,3,EXCELLENT,0.534883721,0,0.534883721,0.467441861,-0.604952052,-1.148233457,-0.796662646,0.238340727,0.06108313,0.149711929,-0.604952052,-1.148233457,-0.796662646,1.436182491,0.561957464,1.071064115,GOOD,FAIR,GOOD,FAIR
NLA06608-0008,2,NA,2,2,FAIR,0.555555556,0,0.555555556,0.477777778,-0.471543147,-1.192597458,-0.696995506,0.327642303,0.054180418,0.19091136,-0.471543147,-1.192597458,-0.696995506,1.97429178,0.498453343,1.365811723,GOOD,FAIR,GOOD,FAIR
NLA06608-0010,1,NA,3,4,GOOD,0.773013871,0,0.773013871,0.786506936,-0.84924356,-1.113962464,-0.961738205,0.1315,0.066919692,0.099209846,-0.84924356,-1.113962464,-0.961738205,0.562465039,0.543306748,0.534106446,FAIR,FAIR,POOR,POOR
NLA06608-0010,2,NA,3,4,FAIR,0.714285714,0,0.714285714,0.757142857,-1.038578906,-1.186315012,-1.106195001,0.0815,0.055115591,0.068307796,-1.038578906,-1.186315012,-1.106195001,0.348600005,0.447471765,0.367742068,POOR,FAIR,POOR,POOR
NLA06608-0012,1,NA,3,3,EXCELLENT,0.393939394,0,0.393939394,0.396969697,-0.486067804,-0.793617802,-0.613169017,0.316536848,0.150835605,0.233686227,-0.486067804,-0.793617802,-0.613169017,1.907373048,1.387669463,1.671830253,GOOD,GOOD,GOOD,FAIR
NLA06608-0012,2,NA,2,2,GOOD,0.543147208,0,0.543147208,0.421573604,-0.830862655,-1.099268044,-0.944651983,0.13761733,0.069566812,0.103592071,-0.830862655,-1.099268044,-0.944651983,0.829248118,0.640006318,0.741114957,GOOD,GOOD,GOOD,FAIR
NLA06608-0013,1,NA,2,2,FAIR,0.75,0,0.75,0.725,-0.618884919,-0.769689942,-0.687774336,0.2305,0.159945652,0.195222826,-0.618884919,-0.769689942,-0.687774336,0.686526368,0.330896286,0.476956471,GOOD,POOR,POOR,FAIR
NLA06608-0013,2,NA,2,2,FAIR,0.743589744,0,0.743589744,0.721794872,-0.708853238,-0.455999398,-0.564278511,0.1855,0.339945652,0.262722826,-0.708853238,-0.455999398,-0.564278511,0.552497359,0.703281097,0.641868343,FAIR,GOOD,FAIR,FAIR
NLA06608-0014,1,NA,4,3,POOR,0.047619048,0.047619048,0,0.1,-1.370754214,-1.501452439,-1.431205166,0.032583935,0.021517195,0.027050565,-1.370754214,-1.501452439,-1.431205166,0.196342761,0.260761793,0.193524254,POOR,POOR,POOR,GOOD
NLA06608-0014,2,NA,4,3,POOR,0.333333333,0.333333333,0,0.357142857,-1.278435505,-1.509857563,-1.378910825,0.042670143,0.020913091,0.031791617,-1.278435505,-1.509857563,-1.378910825,0.257119765,0.253440801,0.227442532,POOR,POOR,POOR,FAIR
NLA06608-0015,1,NA,3,3,GOOD,0.35483871,0.090909091,0.310344828,0.243589744,-0.903462399,-1.54109219,-1.114467092,0.114892857,0.018767877,0.066830367,-0.903462399,-1.54109219,-1.114467092,0.45848483,0.163349995,0.364910373,FAIR,POOR,FAIR,FAIR
NLA06608-0015,2,NA,3,3,GOOD,0.2,0.058823529,0.157894737,0.166666667,NA,-1.849154093,NA,NA,0.004152915,NA,NA,-1.849154093,NA,NA,0.036145735,NA,NOT ASSESSED,POOR,NOT ASSESSED,GOOD
NLA06608-0016,1,NA,3,4,EXCELLENT,0.743589744,0,0.743589744,0.771794872,-1.108046597,-1.357754287,-1.215195437,0.067974644,0.033877888,0.050926266,-1.108046597,-1.357754287,-1.215195437,0.409598457,0.311672501,0.364335004,FAIR,FAIR,POOR,POOR
NLA06608-0016,2,NA,3,4,EXCELLENT,0.72972973,0,0.72972973,0.864864865,-1.087730125,-1.124938737,-1.105936067,0.071708996,0.065,0.068354498,-1.087730125,-1.124938737,-1.105936067,0.432100741,0.597992198,0.489019483,FAIR,GOOD,FAIR,POOR
NLA06608-0019,1,NA,4,3,FAIR,0.534883721,0.487179487,0.166666667,0.865966387,-0.897272014,-1.099726032,-0.986807132,0.116685814,0.069482948,0.093084381,-0.897272014,-1.099726032,-0.986807132,0.703119962,0.842047394,0.665941192,GOOD,GOOD,FAIR,POOR
NLA06608-0019,2,NA,3,2,FAIR,0.52631579,0.5,0.1,0.918181818,-1.665639581,-1.33564791,-1.470027559,0.011595359,0.036169173,0.023882266,-1.665639581,-1.33564791,-1.470027559,0.069870773,0.438325635,0.170857712,POOR,FAIR,POOR,POOR
NLA06608-0020,1,NA,3,5,EXCELLENT,0.262295082,0,0.262295082,0.231147541,-0.688465342,-0.98216417,-0.81094658,0.194896556,0.094192349,0.144544453,-0.688465342,-0.98216417,-0.81094658,1.17439862,0.866558306,1.034095129,GOOD,GOOD,GOOD,FAIR
NLA06608-0020,2,NA,4,4,EXCELLENT,0.307692308,0,0.307692308,0.209401709,-0.549408834,-0.762417728,-0.64298278,0.272222196,0.162815333,0.217518764,-0.549408834,-0.762417728,-0.64298278,1.640343871,1.497881517,1.556165529,GOOD,GOOD,GOOD,FAIR
NLA06608-0021,1,NA,4,4,EXCELLENT,0.689655172,0,0.689655172,0.67816092,-0.899246648,-1.759265906,-1.144122053,0.116111111,0.007407407,0.061759259,-0.899246648,-1.759265906,-1.144122053,0.448912069,0.080567629,0.302637899,POOR,POOR,POOR,FAIR
NLA06608-0021,2,NA,3,4,GOOD,0.685314685,0,0.685314685,0.692657343,-0.876148359,-1.912849824,-1.138996918,0.123,0.002222222,0.062611111,-0.876148359,-1.912849824,-1.138996918,0.475546086,0.024170289,0.306812215,POOR,POOR,POOR,FAIR
NLA06608-0023,1,NA,2,2,POOR,0.6,0,0.6,0.4,-0.494608249,-0.403402904,-0.446615731,0.310178194,0.128382838,0.219280516,-0.494608249,-0.858917766,-0.639632849,1.869057368,1.181106702,1.568769398,GOOD,GOOD,GOOD,FAIR
NLA06608-0023,2,NA,2,3,POOR,0.555555556,0,0.555555556,0.527777778,-1.001061019,-0.245120092,-0.475960001,0.08975599,0.155896111,0.12282605,-1.001061019,-0.780163794,-0.876716741,0.540847476,1.434225512,0.878718057,FAIR,GOOD,GOOD,FAIR
NLA06608-0024,1,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NOT ASSESSED,NOT ASSESSED,NOT ASSESSED,NOT ASSESSED
NLA06608-0024,2,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NOT ASSESSED,NOT ASSESSED,NOT ASSESSED,NOT ASSESSED
NLA06608-0025,1,NA,4,4,GOOD,0.285714286,0,0.285714286,0.242857143,-0.450996738,-0.615482964,-0.525498693,0.344,0.232391304,0.288195652,-0.450996738,-0.615482964,-0.525498693,1.346970349,0.927856095,1.180001614,GOOD,GOOD,GOOD,FAIR
NLA06608-0025,2,NA,3,3,FAIR,0.166666667,0,0.166666667,0.133333333,-0.567832731,-0.567805546,-0.567819138,0.2605,0.260516932,0.260508466,-0.567832731,-0.567805546,-0.567819138,1.020016791,1.040151756,1.066637918,GOOD,GOOD,GOOD,GOOD
NLA06608-0029,1,NA,2,2,FAIR,0.75,0,0.75,0.825,-0.904830649,-0.685720496,-0.781601511,0.1145,0.196195652,0.155347826,-0.904830649,-0.685720496,-0.781601511,0.325106744,0.311585478,0.295645332,POOR,POOR,POOR,POOR
NLA06608-0029,2,NA,3,3,GOOD,0.78021978,0,0.78021978,0.84010989,-0.730629452,-0.838794807,-0.78135334,0.175939024,0.134945652,0.155442338,-0.730629452,-0.838794807,-0.78135334,0.499554264,0.214312117,0.2958252,FAIR,POOR,POOR,POOR
NLA06608-0031,1,NA,4,4,GOOD,0.393939394,0.130434783,0.333333333,0.327777778,-0.380384994,-0.841972741,-0.55254048,0.4065,0.200833333,0.303666667,-0.380384994,-0.676060725,-0.503531631,1.598523236,0.803795452,1.246656491,GOOD,GOOD,GOOD,FAIR
NLA06608-0031,2,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NOT ASSESSED,NOT ASSESSED,NOT ASSESSED,NOT ASSESSED
NLA06608-0033,1,NA,4,3,FAIR,0.047619048,0,0.047619048,0.023809524,-1.023872444,-0.983225997,-1.003073872,0.084651512,0.093937916,0.089294714,-1.023872444,-0.983225997,-1.003073872,0.281059664,0.816245602,0.418980492,POOR,GOOD,POOR,GOOD
NLA06608-0033,2,NA,4,4,GOOD,0,0,0,0,-1.070785024,-0.914416262,-0.985600714,0.074960093,0.111782178,0.093371135,-1.070785024,-0.914416262,-0.985600714,0.248882245,0.971298019,0.438107505,POOR,GOOD,POOR,GOOD
NLA06608-0036,1,NA,5,4,GOOD,0.090909091,0,0.090909091,0.045454546,-0.802442363,-0.997239791,-0.889009674,0.177803959,0.115637586,0.146720772,-0.726295257,-0.900880418,-0.804873437,0.824917593,0.509190185,0.854832084,FAIR,FAIR,GOOD,GOOD
NLA06608-0036,2,NA,5,4,GOOD,0.090909091,0,0.090909091,0.045454546,-0.933681174,-0.856028767,-0.893121734,0.140419455,0.169306452,0.154862954,-0.82269599,-0.746404082,-0.782876924,0.651472999,0.745511793,0.902270477,FAIR,GOOD,GOOD,GOOD
NLA06608-0037,1,NA,2,3,FAIR,0.772727273,0,0.772727273,0.886363636,-0.715569266,-1.158815906,-0.882940963,0.1825,0.059371981,0.12093599,-0.715569266,-1.158815906,-0.882940963,0.545841862,0.499885937,0.451186934,POOR,FAIR,POOR,POOR
NLA06608-0037,2,NA,2,3,FAIR,0.794520548,0,0.794520548,0.897260274,-0.747146969,-1.202194062,-0.917613614,0.169,0.052777778,0.110888889,-0.747146969,-1.202194062,-0.917613614,0.505464519,0.444365652,0.413703295,POOR,FAIR,POOR,POOR
NLA06608-0038,1,NA,3,4,EXCELLENT,0.75,0,0.75,0.875,-0.774220957,-1.285474829,-0.958597186,0.158181818,0.041823313,0.100002566,-0.774220957,-1.285474829,-0.958597186,0.58487181,0.34993382,0.469766079,POOR,POOR,POOR,POOR
NLA06608-0038,2,NA,2,4,EXCELLENT,0.760609358,0,0.760609358,0.743941043,-0.795880017,-1.248695209,-0.965766044,0.15,0.046403336,0.098201668,-0.795880017,-1.248695209,-0.965766044,0.55461982,0.388254673,0.461306291,POOR,FAIR,POOR,FAIR
NLA06608-0041,1,NA,4,4,EXCELLENT,0.35483871,0,0.35483871,0.377419355,-0.614393726,-0.599286848,-0.606774604,0.233,0.241601457,0.237300729,-0.614393726,-0.599286848,-0.606774604,0.901542243,0.78852719,0.922352613,GOOD,GOOD,GOOD,FAIR
NLA06608-0041,2,NA,4,4,EXCELLENT,0.2,0,0.2,0.2,-0.577574324,-0.608330617,-0.592680261,0.2545,0.236416272,0.245458136,-0.577574324,-0.608330617,-0.592680261,0.984731763,0.771604032,0.954059242,GOOD,GOOD,GOOD,GOOD
NLA06608-0042,1,NA,3,5,EXCELLENT,0.333333333,0,0.333333333,0.316666667,-0.771935865,-0.904182341,-0.833044656,0.159069059,0.11468599,0.136877525,-0.771935865,-0.904182341,-0.833044656,1.150541661,2.255270602,1.323871731,GOOD,GOOD,GOOD,FAIR
NLA06608-0042,2,NA,3,4,GOOD,0.375,0,0.375,0.3875,-1.077942509,-1.110102999,-1.093725127,0.073571364,0.067606304,0.070588834,-1.077942509,-1.110102999,-1.093725127,0.532139437,1.32946064,0.682731239,FAIR,GOOD,FAIR,FAIR
NLA06608-0043,1,NA,3,4,GOOD,0.722222222,0,0.722222222,0.661111111,-0.482804102,-0.978111916,-0.663371102,0.319,0.095169082,0.207084541,-0.482804102,-0.978111916,-0.663371102,1.364458916,0.77265754,1.114861001,GOOD,GOOD,GOOD,FAIR
NLA06608-0043,2,NA,3,3,GOOD,0.701492537,0.047619048,0.696969697,0.80915493,-0.778585762,-0.986965379,-0.870395773,0.1565,0.093046826,0.124773413,-0.778585762,-0.986965379,-0.870395773,0.669397556,0.755427397,0.671730548,FAIR,GOOD,FAIR,POOR
NLA06608-0044,1,NA,2,2,FAIR,0.428571429,0.35483871,0.166666667,0.423417722,-1.021116585,-1.808114474,-1.256452617,0.085254042,0.005555556,0.045404799,-1.021116585,-1.808114474,-1.256452617,0.513719851,0.067326462,0.324833507,FAIR,POOR,POOR,FAIR
NLA06608-0044,2,NA,2,2,POOR,0.310344828,0.130434783,0.230769231,0.356097561,-1.254054859,-1.841624237,-1.455237781,0.045711537,0.00440044,0.025055989,-1.254054859,-1.841624237,-1.455237781,0.275446459,0.053327891,0.179254723,FAIR,POOR,POOR,FAIR
NLA06608-0045,1,NA,3,4,GOOD,0.545454546,0,0.545454546,0.422727273,-0.473267714,-0.915476811,-0.640364316,0.326304196,0.291207371,0.308755783,-0.473267714,-0.521134405,-0.496541927,1.175366207,1.345737814,1.100550109,GOOD,GOOD,GOOD,FAIR
NLA06608-0045,2,NA,3,3,GOOD,0.72972973,0,0.72972973,0.564864865,-0.707743929,-0.9963624,-0.828505955,0.186,0.286952217,0.236476109,-0.707743929,-0.527313428,-0.608225172,0.669982542,1.326073746,0.842911521,FAIR,GOOD,GOOD,FAIR
NLA06608-0048,1,NA,3,2,FAIR,0.622641509,0.310344828,0.545454546,0.537640449,-0.83202098,-0.807238676,-0.819453082,0.137224138,0.145869565,0.141546852,-0.83202098,-0.807238676,-0.819453082,0.545420729,0.432041562,0.482096853,FAIR,FAIR,POOR,FAIR
NLA06608-0048,2,NA,2,1,POOR,0.666666667,0.411764706,0.565217391,0.813793103,-1.082818637,-0.88280078,-0.971395081,0.072638298,0.120978261,0.096808279,-1.082818637,-0.88280078,-0.971395081,0.288713298,0.358317629,0.329720981,POOR,POOR,POOR,POOR
NLA06608-0049,1,NA,2,3,FAIR,0.523809524,0.45945946,0.2,0.759090909,-0.970357225,-1.499397649,-1.158858055,0.09706383,0.021666667,0.059365248,-0.970357225,-1.499397649,-1.158858055,0.741791824,0.357664191,0.58054351,FAIR,FAIR,FAIR,POOR
NLA06608-0050,1,NA,4,4,,0,0,0,0,-0.443149494,-0.93556744,-0.623014712,0.350454546,0.105993208,0.228223877,-0.443149494,-0.93556744,-0.623014712,1.147172536,0.688121075,0.940050838,GOOD,GOOD,GOOD,GOOD
NLA06608-0050,2,NA,4,5,,0.047619048,0,0.047619048,0.023809524,-0.38106033,-0.923104561,-0.572495304,0.405852839,0.109370067,0.257611453,-0.38106033,-0.923104561,-0.572495304,1.32851246,0.710044066,1.061097838,GOOD,GOOD,GOOD,GOOD
NLA06608-0053,1,NA,3,3,GOOD,0.555555556,0.047619048,0.545454546,0.445918367,-0.557520231,-1.077008053,-0.743822,0.267,0.073751375,0.170375688,-0.557520231,-1.077008053,-0.743822,0.943762318,0.659677445,0.761057356,GOOD,FAIR,FAIR,FAIR
NLA06608-0053,2,NA,3,3,FAIR,0.432176656,0,0.432176656,0.316088328,-0.438424555,-0.507955169,-0.471799863,0.354397547,0.300488008,0.327442777,-0.438424555,-0.507955169,-0.471799863,1.252685581,2.687748681,1.462666053,GOOD,GOOD,GOOD,FAIR
NLA06608-0057,1,NA,2,3,FAIR,0.393939394,0,0.393939394,0.296969697,-0.63638802,-0.744227219,-0.686969004,0.221,0.170207466,0.195603733,-0.63638802,-0.744227219,-0.686969004,0.84816146,0.734657018,0.803231052,GOOD,GOOD,GOOD,FAIR
NLA06608-0057,2,NA,3,3,GOOD,0.479768786,0,0.479768786,0.339884393,-0.818156412,-0.90228973,-0.858188917,0.142,0.115230545,0.128615272,-0.818156412,-0.90228973,-0.858188917,0.544972522,0.49736319,0.528148307,POOR,FAIR,POOR,FAIR
NLA06608-0061,1,NA,3,4,GOOD,0.230769231,0,0.230769231,0.265384615,-1.303878937,-0.521308058,-0.756019893,0.039673077,0.291086957,0.165380017,-1.303878937,-0.521308058,-0.756019893,0.127052974,2.52283612,0.774314573,POOR,GOOD,GOOD,FAIR
NLA06608-0061,2,NA,3,4,GOOD,0.230769231,0,0.230769231,0.265384615,-1.265490713,-1.255839346,-1.26063822,0.044263686,0.045483092,0.044873389,-1.265490713,-1.255839346,-1.26063822,0.141754392,0.394199686,0.210098653,POOR,FAIR,POOR,FAIR
NLA06608-0062,1,NA,3,2,POOR,0.471753485,0.455782313,0.052631579,0.704635762,-1.190294775,-1.263169775,-1.225205504,0.054521614,0.044554455,0.049538035,-1.190294775,-1.263169775,-1.225205504,0.328533813,0.539944894,0.354403366,FAIR,FAIR,POOR,FAIR
NLA06608-0062,2,NA,3,2,POOR,0.454545455,0.4,0.142857143,0.555555556,-1.227981503,-1.308785652,-1.266506995,0.049158683,0.039115023,0.044136853,-1.227981503,-1.308785652,-1.266506995,0.296218111,0.474025695,0.315762409,FAIR,FAIR,POOR,FAIR
NLA06608-0064,1,NA,4,3,GOOD,0.523809524,0.473684211,0.166666667,0.462280702,-1.317284077,NA,NA,0.038163265,NA,NA,-1.317284077,NA,NA,0.229962433,NA,NA,POOR,NOT ASSESSED,NOT ASSESSED,FAIR
NLA06608-0064,2,NA,3,3,FAIR,0.36,0.272727273,0.157894737,0.336734694,-1.399975474,-1.096193946,-1.222047924,0.029812965,0.070132013,0.049972489,-1.399975474,-1.096193946,-1.222047924,0.179645583,0.849913258,0.357511526,POOR,GOOD,POOR,FAIR
NLA06608-0065,1,NA,4,5,EXCELLENT,0.411764706,0,0.411764706,0.405882353,-0.601223162,-1.72480652,-0.870749995,0.240482182,0.008844885,0.124663533,-0.601223162,-1.72480652,-0.870749995,0.759289638,0.083690517,0.566441178,FAIR,POOR,FAIR,FAIR
NLA06608-0065,2,NA,5,5,EXCELLENT,0.166666667,0,0.166666667,0.083333333,-0.69101966,-1.588614332,-0.940283097,0.193694987,0.0157861,0.104740544,-0.69101966,-1.588614332,-0.940283097,0.61156546,0.149368474,0.475915893,FAIR,POOR,POOR,GOOD
NLA06608-0066,1,NA,4,5,EXCELLENT,0.473684211,0,0.473684211,0.386842105,-0.620694482,-0.903972059,-0.739634755,0.2295,0.114746377,0.172123188,-0.620694482,-0.903972059,-0.739634755,0.85691347,0.395949735,0.724328436,GOOD,FAIR,FAIR,FAIR
NLA06608-0066,2,NA,3,3,EXCELLENT,0.444444444,0,0.444444444,0.422222222,-0.987162775,-1.125148591,-1.050698403,0.093,0.064963768,0.078981884,-0.987162775,-1.125148591,-1.050698403,0.347245981,0.224167311,0.332371397,POOR,POOR,POOR,FAIR
NLA06608-0068,1,NA,5,5,GOOD,0.574468085,0,0.574468085,0.437234043,-0.777668969,-0.973069722,-0.864471301,0.156851852,0.096397219,0.126624536,-0.777668969,-0.973069722,-0.864471301,0.921344793,2.069683974,1.115638047,GOOD,GOOD,GOOD,FAIR
NLA06608-0068,2,NA,4,5,GOOD,0.622641509,0,0.622641509,0.461320755,-0.992110358,-1.56623403,-1.190497463,0.091833259,0.017149759,0.054491509,-0.992110358,-1.56623403,-1.190497463,0.539426815,0.368211661,0.480102849,FAIR,FAIR,POOR,FAIR
NLA06608-0069,1,NA,3,4,GOOD,0.523809524,0,0.523809524,0.361904762,-0.742721512,-0.683437134,-0.712068514,0.170833333,0.197282609,0.184057971,-0.742721512,-0.683437134,-0.712068514,0.495679088,0.388381149,0.429208151,FAIR,FAIR,POOR,FAIR
NLA06608-0069,2,NA,4,4,GOOD,0.444444444,0,0.444444444,0.372222222,-0.496890563,-0.604711601,-0.547463588,0.3085,0.238478261,0.27348913,-0.496890563,-0.604711601,-0.547463588,0.895123895,0.469481125,0.637754308,GOOD,FAIR,FAIR,FAIR
NLA06608-0071,1,NA,4,5,EXCELLENT,0.7,0,0.7,0.85,-0.853212214,-0.644612342,-0.736506542,0.13021284,0.216666667,0.173439753,-0.853212214,-0.644612342,-0.736506542,0.383117661,0.446957523,0.422599694,FAIR,FAIR,POOR,POOR
NLA06608-0071,2,NA,3,4,EXCELLENT,0.694397284,0.090909091,0.684763573,0.763842663,-1.012731077,-0.806331059,-0.89738321,0.087111111,0.146195652,0.116653382,-1.012731077,-0.806331059,-0.89738321,0.256301952,0.301584215,0.284235202,POOR,POOR,POOR,POOR
NLA06608-0072,1,NA,3,3,FAIR,0.574468085,0.487179487,0.285714286,0.868699187,-1.057453161,-0.813996444,-0.91888399,0.07760862,0.143462955,0.110535788,-1.057453161,-0.813996444,-0.91888399,0.46765042,1.319841966,0.790791465,FAIR,GOOD,GOOD,POOR
NLA06608-0072,2,NA,2,2,FAIR,0.534883721,0.45945946,0.230769231,0.85990991,-1.056870084,-1.092749503,-1.074439374,0.077726321,0.070770077,0.074248199,-1.056870084,-1.092749503,-1.074439374,0.468359657,0.651076214,0.531184003,FAIR,GOOD,FAIR,POOR
NLA06608-0073,1,NA,2,2,FAIR,0.607843137,0.047619048,0.6,0.618181818,-0.877636475,-1.334104163,-1.048471532,0.122545054,0.036333578,0.079439316,-0.877636475,-1.334104163,-1.048471532,0.724028641,0.505509782,0.640892236,GOOD,FAIR,GOOD,FAIR
NLA06608-0073,2,NA,1,1,POOR,0.565217391,0,0.565217391,0.632608696,-1.123783148,-1.035682792,-1.077502801,0.065199829,0.082112211,0.07365602,-1.123783148,-1.035682792,-1.077502801,0.385217861,1.142428809,0.594234365,FAIR,GOOD,FAIR,FAIR
NLA06608-0076,1,NA,3,4,GOOD,0.6,0,0.6,0.55,-0.883033349,-1.402156493,-1.069250428,0.12090814,0.029613527,0.075260833,-0.883033349,-1.402156493,-1.069250428,0.728562655,0.27244089,0.538428556,GOOD,FAIR,FAIR,FAIR
NLA06608-0076,2,NA,3,3,GOOD,0.534883721,0,0.534883721,0.517441861,-0.965137042,-1.052571014,-1.006657413,0.098358493,0.078599034,0.088478764,-0.965137042,-1.052571014,-1.006657413,0.592684044,0.723101677,0.632991836,FAIR,GOOD,FAIR,FAIR
NLA06608-0077,1,NA,3,2,FAIR,0.130434783,0,0.130434783,0.065217391,-0.474388738,-1.278780606,-0.712124921,0.325437229,0.042628306,0.184032768,-0.474388738,-1.278780606,-0.712124921,1.153083055,0.32062686,0.819076898,GOOD,POOR,GOOD,GOOD
NLA06608-0077,2,NA,3,2,GOOD,0.259259259,0,0.259259259,0.22962963,-0.445263338,-1.012814936,-0.642258794,0.348704365,0.087092361,0.217898363,-0.445263338,-1.012814936,-0.642258794,1.235522732,0.655061221,0.969802919,GOOD,FAIR,GOOD,FAIR
NLA06608-0078,1,NA,4,4,EXCELLENT,0.534883721,0.5,0.130434783,0.918699187,-1.316148746,-1.285635193,-1.300624039,0.038289338,0.04180418,0.040046759,-1.316148746,-1.285635193,-1.300624039,0.230722118,0.506614962,0.286501198,POOR,FAIR,POOR,POOR
NLA06608-0078,2,NA,4,4,FAIR,0.333333333,0.333333333,0,0.457142857,-0.936069773,-1.079232211,-1.001778435,0.10585912,0.073323555,0.089591337,-0.936069773,-1.079232211,-1.001778435,0.637880974,0.888590792,0.640951375,GOOD,GOOD,FAIR,FAIR
NLA06608-0079,1,NA,5,5,EXCELLENT,0,0,0,0,-0.634569864,-1.381082074,-0.863989624,0.221969099,0.031583202,0.126776151,-0.634569864,-1.381082074,-0.863989624,0.714158667,0.425814762,0.644332691,FAIR,FAIR,FAIR,GOOD
