SITE_ID,VISIT_NO,SAMPLE_CATEGORY,SAMPLE_ID_CHEM,PH_LAB,PHLAB_FLAG,COND,COND_FLAG,COND_RL_ALERT,ANC,ANC_FLAG,TURB,TURB_FLAG,TURB_RL_ALERT,TOC,TOC_FLAG,TOC_RL_ALERT,DOC,DOC_FLAG,DOC_RL_ALERT,NH4N_PPM,NH4_FLAG,NH4_RL_ALERT,NO3_NO2,NO3NO2_FLAG,NO3NO2_RL_ALERT,NO3N_PPM,NO3_FLAG,NO3_RL_ALERT,NTL,NTL_FLAG,NTL_RL_ALERT,PTL,PTL_FLAG,PTL_RL_ALERT,CHLA,CHLA_RL_ALERT,FLAG_FLD_CHLA,COMMENT_FLD_CHLA,FLAG_LAB_CHLA,CL_PPM,CL_FLAG,CL_RL_ALERT,SO4_PPM,SO4_FLAG,SO4_RL_ALERT,CA_PPM,CA_FLAG,CA_RL_ALERT,MG_PPM,MG_FLAG,MG_RL_ALERT,NA_PPM,NA_FLAG,NA_RL_ALERT,K_PPM,K_FLAG,K_RL_ALERT,COLOR,COLOR_FLAG,COLOR_RL_ALERT,SIO2,SIO2_FLAG,SIO2_RL_ALERT,CATSUM,ANSUM2,SOBC,SECMEAN,CLEAR_TO_BOTTOM,COMMENT_SECCHI,FLAG_SECCHI,COMMENT_FLD_CHEM,COMMENT_LAB_CHEM
NLA06608-0006,2,D,513971,7.49,NA,77.04,NA,N,307.15,NA,1.15,NA,Y,3.1,NA,N,2.97,NA,N,0.006,NA,Y,0,NA,Y,0,NA,Y,229,NA,N,6,NA,N,2.752,N,NA,NA,NA,7.453,NA,N,6.773,NA,N,5.389,NA,N,1.861,NA,N,4.391,NA,N,1.274,NA,N,12,NA,N,2.013,NA,N,646.06,658.4,645.63,NA,NA,NA,NA,NA,NA
NLA06608-0007,1,P,505211,6.07,NA,26.65,NA,N,96.04,NA,1.05,<RL (2),Y,6.99,NA,N,6.68,NA,N,0.013,<RL (0.02),Y,0.005,<RL (0.02),Y,0.005,<RL (0.02),Y,493,NA,N,8,NA,N,2.432,N,NA,NA,NA,1.45,NA,N,3.786,NA,N,1.537,NA,N,0.704,NA,N,0.606,NA,N,1.489,NA,N,10,NA,N,0.091,<RL (0.1),Y,200.85,217.26,199.07,3.15,NA,NA,NA,NA,NA
NLA06608-0007,2,P,515801,6.84,NA,25.5,NA,N,100.2,NA,1.02,<RL (2),Y,6.47,NA,N,6.52,NA,N,0.011,<RL (0.02),Y,0.005,<RL (0.02),Y,0.005,<RL (0.02),Y,523,NA,N,7,NA,N,4.088,N,NA,NA,NA,0.871,NA,N,2.53,NA,N,1.502,NA,N,0.705,NA,N,0.602,NA,N,1.49,NA,N,12,NA,N,0.138,NA,N,198.18,177.66,197.26,3.35,NA,NA,NA,NA,NA
NLA06608-0008,1,P,513441,8.48,NA,238.1,NA,N,1933.62,NA,8.62,NA,N,8.66,NA,N,7.6,NA,N,0.024,NA,N,0.005,<RL (0.02),Y,0.005,<RL (0.02),Y,801,NA,N,66,NA,N,30.24,N,NA,NA,NA,10.129,NA,N,9.985,NA,N,25.33,NA,N,8.795,NA,N,5.839,NA,N,3.218,NA,N,10,NA,N,3.789,NA,N,2325.47,2427.21,2323.98,0.79,NA,NA,NA,NA,NA
NLA06608-0008,2,P,513931,8.9,NA,197.8,NA,N,1571.2,NA,17.6,NA,N,9.13,NA,N,7.13,NA,N,0.014,<RL (0.02),Y,0.005,<RL (0.02),Y,0.005,<RL (0.02),Y,1525,NA,N,79,NA,N,148.2,N,NA,NA,NA,10.084,NA,N,6.656,NA,N,17.19,NA,N,7.999,NA,N,6.214,NA,N,3.536,NA,N,10,NA,N,5.898,NA,N,1877.45,1994.21,1876.74,0.41,NA,NA,NA,NA,NA
NLA06608-0010,1,P,503791,8.74,NA,650.1,NA,N,2089.55,NA,3.05,NA,N,4.96,NA,N,4.94,NA,N,0.017,<RL (0.02),Y,0.005,<RL (0.02),Y,0.005,<RL (0.02),Y,473,NA,N,10,NA,N,4.384,N,NA,NA,NA,128.635,NA,N,20.652,NA,N,25.57,NA,N,19.98,NA,N,63.93,NA,N,1.47,NA,N,4,<RL (5),Y,3.131,NA,N,5739.41,6147.81,5738.46,4.48,NA,NA,NA,NA,NA
NLA06608-0010,2,D,515411,8.59,NA,645.7,NA,N,1933.35,NA,2.13,NA,N,4.74,NA,N,4.54,NA,N,0.008,NA,Y,0,NA,Y,0,NA,Y,549,NA,N,10,NA,N,3.32,N,IM,CONFIRMED SAMP ID W/WRS STAFF-ADDED TO DB MG 12/19/07.,NA,129.445,NA,N,19.285,NA,N,26.3,NA,N,21.17,NA,N,61.18,NA,N,1.483,NA,N,4,NA,Y,3.611,NA,N,5754.02,5985.99,5753.52,NA,NA,NA,NA,NA,NA
NLA06608-0012,1,P,502611,7.64,NA,219.5,NA,N,1769.64,NA,50.3,NA,N,8.71,NA,N,8.01,NA,N,0.078,NA,N,0.279,NA,N,0.29,NA,N,1026,NA,N,159,NA,N,4.9,N,NA,NA,NA,8.369,NA,N,8.378,NA,N,19.09,NA,N,8.66,NA,N,7.725,NA,N,4.394,NA,N,40,NA,N,10.202,NA,N,2119.08,2200.85,2113.61,0.31,NA,NA,NA,NA,NA
NLA06608-0012,2,P,516811,8.31,NA,229.8,NA,N,1857.95,NA,45.1,NA,N,6.44,NA,N,6.14,NA,N,0.016,<RL (0.02),Y,0.136,NA,N,0.155,NA,N,1052,NA,N,142,NA,N,21.28,N,NA,NA,NA,7.669,NA,N,7.358,NA,N,19.88,NA,N,8.805,NA,N,6.97,NA,N,4.123,NA,N,23,NA,N,3.247,NA,N,2126.23,2238.53,2125.19,0.27,NA,NA,NA,NA,NA
NLA06608-0013,1,P,517181,5.64,NA,47.52,NA,N,14.87,NA,4.21,NA,N,6.12,NA,N,4.79,NA,N,0.01,<RL (0.02),Y,0.005,<RL (0.02),Y,0.005,<RL (0.02),Y,384,NA,N,28,NA,N,16.027,N,NA,NA,IM,7.836,NA,N,5.285,NA,N,1.732,NA,N,0.736,NA,N,4.118,NA,N,0.719,NA,N,19,NA,N,3.103,NA,N,347.51,348.22,344.5,0.65,NA,NA,NA,NA,NA
NLA06608-0013,2,D,517661,5.6,NA,48.74,NA,N,12.48,NA,3.59,NA,N,5.96,NA,N,4.29,NA,N,0.009,NA,Y,0,NA,Y,0,NA,Y,233,NA,N,20,NA,N,9.024,N,NA,NA,NA,7.668,NA,N,5.255,NA,N,1.642,NA,N,0.71,NA,N,3.956,NA,N,0.66,NA,N,11,NA,N,2.645,NA,N,331.22,339.43,329.32,NA,NA,NA,NA,NA,NA
NLA06608-0014,1,P,512401,9.39,NA,8722,NA,N,29010.66,NA,7.1,NA,N,43.8,NA,N,41.27,NA,N,0.036,NA,N,0.005,<RL (0.02),Y,0.005,<RL (0.02),Y,4147,NA,N,175,NA,N,8.748,N,NA,NA,NA,463.285,NA,N,3005.365,NA,N,8.905,NA,N,83.37,NA,N,2037,NA,N,37.83,NA,N,29,NA,N,7.661,NA,N,96878.06,104649.78,96876.9,0.85,NA,NA,NA,NA,NA
NLA06608-0014,2,D,503241,9.35,NA,8635,NA,N,28705.71,NA,6.81,NA,N,43.9,NA,N,40.53,NA,N,0.039,NA,N,0,NA,Y,0.495,NA,N,4325,NA,N,161,NA,N,24.48,N,NA,NA,NA,446.166,NA,N,2825.403,NA,N,8.996,NA,N,84.82,NA,N,1765,NA,N,28.26,NA,N,20,NA,N,7.712,NA,N,84925.88,100150.5,84924.64,NA,NA,NA,NA,NA,NA
NLA06608-0015,1,P,504781,8.36,NA,743.6,NA,N,2896.42,NA,32.7,NA,N,3.78,NA,N,3.78,NA,N,0.016,<RL (0.02),Y,0.005,<RL (0.02),Y,0.005,<RL (0.02),Y,470,NA,N,109,NA,N,20,N,NA,NA,NA,53.344,NA,N,143.325,NA,N,56.18,NA,N,11.17,NA,N,73.69,NA,N,5.379,NA,N,5,<RL (5),N,21.271,NA,N,7066.48,7385.07,7065.45,0.37,NA,NA,NA,NA,NA
NLA06608-0015,2,D,510091,8.47,NA,714.3,NA,N,3026.76,NA,19.1,NA,N,3.82,NA,N,3.51,NA,N,0.007,NA,Y,0.001,NA,Y,0,NA,Y,454,NA,N,100,NA,N,14.064,N,NA,NA,NA,51.536,NA,N,126.284,NA,N,56.82,NA,N,11.12,NA,N,72.52,NA,N,5.726,NA,N,5,NA,N,19.829,NA,N,7051.72,7109.62,7051.26,NA,NA,NA,NA,NA,NA
NLA06608-0016,1,P,514461,8.48,NA,1060,NA,N,3256.44,NA,16.5,NA,N,4.88,NA,N,4.69,NA,N,0.081,NA,N,0.021,NA,N,0.067,NA,N,490,NA,N,6,NA,N,13,N,NA,NA,NA,48.2,NA,N,316.901,NA,N,65.75,NA,N,28.23,NA,N,113.6,NA,N,11.44,NA,N,5,<RL (5),N,6.956,NA,N,10842.87,11218.63,10837.84,0.54,NA,NA,NA,NA,NA
NLA06608-0016,2,D,504741,8.47,NA,1085,NA,N,3028.77,NA,19.3,NA,N,4.77,NA,N,4.53,NA,N,0.034,NA,N,0.031,NA,N,0.135,NA,N,685,NA,N,39,NA,N,16.64,N,NA,NA,NA,49.005,NA,N,319.686,NA,N,65.16,NA,N,29.12,NA,N,109.4,NA,N,10.81,NA,N,0,NA,Y,10.672,NA,N,10685.09,11076.51,10682.83,NA,NA,NA,NA,NA,NA
NLA06608-0019,1,P,502671,8.4,NA,3327,NA,N,8136.31,NA,45.5,NA,N,47.22,NA,N,44.99,NA,N,1.709,NA,N,0.879,NA,N,0.819,NA,N,7047,NA,N,801,NA,N,4.032,N,NA,NA,NA,40.282,NA,N,1340.22,NA,N,41.05,NA,N,69.48,NA,N,609.4,NA,N,41.6,NA,N,57,NA,N,26.392,NA,N,35445.57,37234.36,35337.2,0.35,NA,VERY STIRRED,NA,NA,NA
NLA06608-0019,2,D,503881,9.15,NA,3952,NA,N,11426.86,NA,29.7,NA,N,55.69,NA,N,49.67,NA,N,0.086,NA,N,0,NA,Y,0,NA,Y,5603,NA,N,1414,NA,N,45.888,N,NA,NA,NA,48.685,NA,N,1488.675,NA,N,56.41,NA,N,78.49,NA,N,728.5,NA,N,51.26,NA,N,45,NA,N,36.206,NA,N,42276.67,43794.28,42272.71,NA,NA,NA,NA,NA,NA
NLA06608-0020,1,P,515211,8.43,NA,214.1,NA,N,1757.12,NA,4.55,NA,N,5.41,NA,N,5.03,NA,N,0.016,<RL (0.02),Y,0.005,<RL (0.02),Y,0.005,<RL (0.02),Y,605,NA,N,30,NA,N,20.24,N,NA,NA,NA,7.745,NA,N,11.625,NA,N,25.2,NA,N,7.356,NA,N,3.239,NA,N,4.379,NA,N,17,NA,N,0.732,NA,N,2116.69,2217.61,2115.68,0.69,NA,NA,NA,NA,Bar Code changed from 998731 to 515211.
NLA06608-0020,2,D,503431,8.33,NA,220.1,NA,N,1740.23,NA,3.98,NA,N,5.04,NA,N,4.68,NA,N,0.016,NA,Y,0.003,NA,Y,0,NA,Y,444,NA,N,20,NA,N,13.257,N,NA,NA,NA,7.642,NA,N,11.243,NA,N,26.19,NA,N,7.41,NA,N,3.166,NA,N,4.395,NA,N,8,NA,N,1.237,NA,N,2167.84,2189.87,2166.76,NA,NA,NA,NA,NA,NA
NLA06608-0021,1,P,504931,8.33,NA,366.8,NA,N,2238.28,NA,0.574,<RL (2),Y,2.74,NA,N,2.92,NA,N,0.012,<RL (0.02),Y,0.139,NA,N,0.219,NA,N,390,NA,N,7,NA,N,2.292,N,NA,NA,IM,31.892,NA,N,22.833,NA,N,35.41,NA,N,10.84,NA,N,18.82,NA,N,1.897,NA,N,4,<RL (5),Y,3.054,NA,N,3526.88,3628.85,3526.1,7.1,NA,NA,NA,NA,NA
NLA06608-0021,2,P,504661,8.48,NA,358.5,NA,N,2217.77,NA,2.36,NA,N,2.81,NA,N,2.7,NA,N,0.005,<RL (0.02),Y,0.096,NA,N,0.072,NA,N,463,NA,N,11,NA,N,3.952,N,IM,"THIS SEQUENCE IS A PRIMARY SAMPLE SEQUENCE FOR VISIT 2, AND NOT A DUPLICATE SERIES, AS NO OTHER SAMPLE SERIES WAS REPORTED FOR VISIT 2.",NA,31.931,NA,N,22.111,NA,N,35.83,NA,N,11.01,NA,N,16.4,NA,N,1.9,NA,N,6,NA,N,2.495,NA,N,3456.36,3583.91,3455.86,4.75,NA,NA,NA,"THIS SEQUENCE IS A PRIMARY SAMPLE SEQUENCE FOR VISIT 2, AND NOT A DUPLICATE SERIES, AS NO OTHER SAMPLE SERIES WAS REPORTED FOR VISIT 2.",NA
NLA06608-0023,1,P,508951,8.16,NA,175.7,NA,N,1461.71,NA,3.79,NA,N,4.08,NA,N,3.88,NA,N,0.005,<RL (0.02),Y,0.005,<RL (0.02),Y,0.005,<RL (0.02),Y,349,NA,N,12,NA,N,2.776,N,F1,DID NOT FREEZE. SHIPPED IMMEDIATELY AFTER FILTERING. CHECK WITH LAB FOR VOLUME FILTERED.,NA,4.133,NA,N,6.961,NA,N,26.19,NA,N,2.339,NA,N,4.298,NA,N,1.217,NA,N,7,NA,N,4.215,NA,N,1717.64,1723.22,1717.43,0.95,NA,NA,NA,NA,NA
NLA06608-0023,2,P,516881,7.5,NA,191.7,NA,N,1480.11,NA,2.81,NA,N,4.67,NA,N,4.7,NA,N,0.016,<RL (0.02),Y,0.005,<RL (0.02),Y,0.005,<RL (0.02),Y,562,NA,N,24,NA,N,2.816,N,F1,DID NOT FREEZE AS SHIPPING WAS IMMEDIATELY DONE AFTER FILTERING.,NA,5.052,NA,N,9.691,NA,N,26.94,NA,N,2.734,NA,N,4.23,NA,N,2.007,NA,N,8,NA,N,1.214,NA,N,1805.76,1824.4,1804.61,1.3,NA,NA,NA,TEAM INDICATED SAMPLE TYPE OF D FOR ALL SAMPLES EVEN THOUGH THERE WAS ONLY ONE SET OF SAMPLES FOR THIS SITE/VISIT 2.,NA
NLA06608-0024,1,P,514771,7.69,NA,181.4,NA,N,592.55,NA,5.68,NA,N,8.54,NA,N,8.2,NA,N,0.026,NA,N,0.005,<RL (0.02),Y,0.005,<RL (0.02),Y,860,NA,N,35,NA,N,44.151,N,F1,F1--SEE SAMPLE LABEL FOR VOLUME FILTERED,NA,19.446,NA,N,20.651,NA,N,11.09,NA,N,3.634,NA,N,12.35,NA,N,4.095,NA,N,26,NA,N,9.619,NA,N,1496.19,1571.02,1494.36,0.9,NA,NA,NA,NA,NA
NLA06608-0024,2,P,504161,7.33,NA,142.5,NA,N,557.66,NA,3.83,NA,N,10.75,NA,N,9.85,NA,N,0.014,<RL (0.02),Y,0.005,<RL (0.02),Y,0.005,<RL (0.02),Y,943,NA,N,29,NA,N,25.403,N,NA,NA,NA,13.186,NA,N,13.295,NA,N,9.643,NA,N,3.117,NA,N,10.36,NA,N,4.355,NA,N,29,NA,N,9.574,NA,N,1300.73,1206.43,1299.7,1.08,NA,NA,NA,NA,NA
NLA06608-0025,1,P,514331,7.63,NA,84.96,NA,N,669.69,NA,1.56,<RL (2),Y,3.5,NA,N,3.43,NA,N,0.012,<RL (0.02),Y,0.005,<RL (0.02),Y,0.005,<RL (0.02),Y,195,NA,N,10,NA,N,1.304,N,NA,NA,NA,3.661,NA,N,3.32,NA,N,7.9,NA,N,2.797,NA,N,3.514,NA,N,0.644,NA,N,15,NA,N,5.669,NA,N,794.55,842.1,793.69,3.55,NA,NA,NA,NA,NA
NLA06608-0025,2,D,509251,7.75,NA,89.23,NA,N,694.47,NA,1.12,NA,Y,3.39,NA,N,3.1,NA,N,0.014,NA,Y,0,NA,Y,0,NA,Y,89,NA,N,5,NA,N,2.304,N,NA,NA,NA,3.722,NA,N,3.313,NA,N,8.394,NA,N,2.961,NA,N,3.35,NA,N,0.589,NA,N,7,NA,N,6.666,NA,N,824.3,868.45,823.3,NA,NA,NA,NA,NA,NA
NLA06608-0029,1,P,505091,7.37,NA,141.7,NA,N,604.66,NA,25.1,NA,N,7.06,NA,N,4.12,NA,N,0.015,<RL (0.02),Y,0.005,<RL (0.02),Y,0.005,<RL (0.02),Y,2106,NA,N,247,NA,N,123.12,N,F1,TOO MUCH CHLOROPHYLL CLOGGING FILTER,NA,17.338,NA,N,7.892,NA,N,7.842,NA,N,3.966,NA,N,10.23,NA,N,2.11,NA,N,12,NA,N,2.111,NA,N,1217.72,1258.05,1216.62,0.27,NA,NA,NA,NA,NA
NLA06608-0029,2,D,505351,8.76,NA,142.4,NA,N,549.97,NA,16.8,NA,N,11.1,NA,N,5.54,NA,N,0.014,NA,Y,0,NA,Y,0,NA,Y,2232,NA,N,157,NA,N,150.24,N,NA,NA,NA,17.687,NA,N,9.346,NA,N,7.235,NA,N,3.889,NA,N,10.29,NA,N,2.352,NA,N,17,NA,N,7.704,NA,N,1189.18,1243.43,1188.79,NA,NA,NA,NA,NA,NA
NLA06608-0031,1,P,515041,8.28,NA,357.1,NA,N,2761.85,NA,8.82,NA,N,4.17,NA,N,3.83,NA,N,0.011,<RL (0.02),Y,0.005,<RL (0.02),Y,0.005,<RL (0.02),Y,428,NA,N,32,NA,N,5.264,N,NA,NA,NA,8.729,NA,N,36.592,NA,N,46.52,NA,N,9.883,NA,N,8.4,NA,N,2.158,NA,N,9,NA,N,4.167,NA,N,3555.9,3769.91,3555.17,0.98,NA,NA,NA,NA,NA
NLA06608-0031,2,P,509321,8.19,NA,347.9,NA,N,2636.53,NA,6.24,NA,N,3.97,NA,N,3.99,NA,N,0.012,<RL (0.02),Y,0.005,<RL (0.02),Y,0.005,<RL (0.02),Y,394,NA,N,24,NA,N,8.496,N,NA,NA,NA,9.128,NA,N,30.95,NA,N,44.58,NA,N,9.278,NA,N,8.149,NA,N,2.425,NA,N,12,NA,N,3.211,NA,N,3405.3,3538.81,3404.5,0.9,NA,NA,NA,NA,NA
NLA06608-0033,1,P,506231,7.54,NA,109.5,NA,N,1040.1,NA,12.2,NA,N,12.04,NA,N,10.11,NA,N,0.049,NA,N,0.005,<RL (0.02),Y,0.005,<RL (0.02),Y,835,NA,N,67,NA,N,8.92,N,NA,NA,NA,0.767,NA,N,0.125,<RL (0.5),Y,14.09,NA,N,3.003,NA,N,1.996,NA,N,0.469,NA,N,61,NA,N,10.543,NA,N,1052.49,1061.76,1049.02,0.7,NA,SAMPLED 1M DOWN TO AVOID SEDIMENT,NA,NA,NA
NLA06608-0033,2,D,508891,8,NA,100.6,NA,N,948.5,NA,3.29,NA,N,11.33,NA,N,10.66,NA,N,0.007,NA,Y,0.008,NA,Y,0,NA,Y,439,NA,N,34,NA,N,5.32,N,F2,FROM SAME FIELD BOTTLE AS P.,NA,0.683,NA,N,0,NA,Y,13.66,NA,N,3.043,NA,N,2.506,NA,N,0.243,NA,N,35,NA,N,7.982,NA,N,1047.91,967.92,1047.26,NA,NA,NA,NA,NA,NA
NLA06608-0036,1,P,513201,8.23,NA,133.5,NA,N,1147.2,NA,1.57,<RL (2),Y,4.09,NA,N,4.07,NA,N,0.016,<RL (0.02),Y,0.005,<RL (0.02),Y,0.005,<RL (0.02),Y,178,NA,N,8,NA,N,5.069,N,NA,NA,IM,0.377,NA,N,9.038,NA,N,18.85,NA,N,3.723,NA,N,1.59,NA,N,0.375,NA,N,7,NA,N,1.376,NA,N,1326.78,1346.01,1325.73,2.23,NA,NA,NA,NA,NA
NLA06608-0036,2,D,513171,8.64,NA,130.1,NA,N,1144.28,NA,1.33,NA,Y,4.72,NA,N,4.79,NA,N,0.023,NA,N,0,NA,Y,0,NA,Y,348,NA,N,9,NA,N,3.302,N,NA,NA,NA,0.44,NA,N,8.919,NA,N,18.14,NA,N,3.707,NA,N,1.554,NA,N,0.424,NA,N,5,NA,N,1.493,NA,N,1290.22,1342.39,1288.67,NA,NA,NA,NA,NA,NA
NLA06608-0037,1,P,508831,7.15,NA,98.02,NA,N,468.8,NA,2.59,NA,N,3.37,NA,N,3.38,NA,N,0.019,<RL (0.02),Y,0.005,<RL (0.02),Y,0.005,<RL (0.02),Y,239,NA,N,14,NA,N,8.016,N,NA,NA,NA,9.949,NA,N,6.33,NA,N,7.14,NA,N,2.664,NA,N,5.489,NA,N,1.048,NA,N,7,NA,N,0.644,NA,N,842.48,881.28,841.06,2.9,NA,NA,NA,NA,NA
NLA06608-0037,2,D,516691,7.72,NA,103.2,NA,N,498.03,NA,2.2,NA,N,3.36,NA,N,3.22,NA,N,0.011,NA,Y,0,NA,Y,0,NA,Y,301,NA,N,11,NA,N,6.816,N,NA,NA,NA,10.009,NA,N,5.889,NA,N,7.32,NA,N,2.885,NA,N,5.809,NA,N,1.228,NA,N,9,NA,N,0.087,NA,Y,887.4,902.96,886.75,NA,NA,NA,NA,NA,NA
NLA06608-0038,1,P,505561,7.62,NA,59.7,NA,N,341.07,NA,0.549,<RL (2),Y,3.59,NA,N,3.27,NA,N,0.017,<RL (0.02),Y,0.028,NA,N,0.036,NA,N,158,NA,N,4,<RL (4),N,4.328,N,NA,NA,NA,4.228,NA,N,3.598,NA,N,6.693,NA,N,0.704,NA,N,2.7,NA,N,0.572,NA,N,10,NA,N,3.54,NA,N,525.2,537.83,523.98,4.45,NA,NA,NA,NA,NA
NLA06608-0038,2,D,509791,7.48,NA,61.5,NA,N,350.05,NA,0.447,NA,Y,3.74,NA,N,3.31,NA,N,0.01,NA,Y,0.002,NA,Y,0,NA,Y,101,NA,N,3,NA,Y,2.68,N,NA,NA,NA,4.126,NA,N,3.51,NA,N,6.913,NA,N,0.801,NA,N,3.319,NA,N,0.795,NA,N,10,NA,N,3.093,NA,N,576.34,539.57,575.57,NA,NA,NA,NA,NA,NA
