SITE_ID,VISIT_NO,sixDepth,sivDepth,L_sixDepth,L_sivDepth,bsfcBedrock,bsfcBoulders,bsfcCobble,bsfcGravel,bsfcSand,bsfcSilt,bsfcOrganic,bsfcWood,bsiStaVariety,bsiSiteVariety,bsiStStaVariety,bsxLdia,bsvLdia,amfcEmergent,amfcFloating,amfcSubmergent,amfcAll,amfcFltEmg,fcfcAquatic,fcfcBoulders,fcfcBrush,fcfcLedges,fcfcLiveTrees,fcfcOverhang,fcfcSnag,fcfcStructures,fciAll,fciBig,fciNatural,fciRipVeg,rvfcCanBig,rvfcCanSmall,rvfcUndNonw,rvfcUndWoody,rvfcGndBare,rvfcGndInundated,rvfcGndNonw,rvfcGndWoody,rviCanopy,rviUnderstory,rviGround,rviWoody,rviTallWood,rviHerbs,rviCanUnd,rviTotalVeg
NLA06608-0006,2,4.97,3.040486072,0.705007959,0.496996872,0.041666667,0.153470202,0.153318813,0.075123324,0.16044176,0.216203872,0.068184702,0.131590661,5.8,8,1.379310345,0.126055152,0.270889708,0.03,0.005,0.075,0.075,0.035,0.075,0.16,0.1525,0.015,0,0.02,0.01,0,0.4325,0.195,0.4325,0.1625,0.247777778,0.424722222,0.055,0.425,0.294074074,0,0.331043771,0.374882155,0.715,0.48,0.4125,1.3375,1.14,0.27,1.195,1.6075
NLA06608-0007,1,1.64,0.668663676,0.240549248,-0.114263642,0,0,0.010006254,0.164717222,0.239251981,0.438507703,0.106187049,0.04132979,4.6,6,1.304347826,-0.175125514,0.153522317,0.015,0.1525,0.225,0.275,0.1675,0.24,0.025,0.065,0.055,0,0,0.055,0.005,0.445,0.085,0.44,0.12,0.2325,0.3675,0.2375,0.29,0.196369367,0.005128205,0.624713003,0.173789424,0.6,0.5275,0.7175,1.035,0.89,0.805,1.1275,1.84
NLA06608-0007,2,1.75,0.579750904,0.267171728,-0.167650206,0,0,0.013203463,0.048877692,0.510026999,0.218376124,0.161349411,0.04816631,4.8,6,1.25,-0.144484714,0.102820806,0.055,0.1625,0.3675,0.485,0.2175,0.4025,0,0.045,0.055,0,0,0,0.015,0.5175,0.07,0.5025,0.045,0.2925,0.3975,0.17,0.38,0.13131118,0,0.619281931,0.249406889,0.72,0.55,0.8,1.33,1.1,0.74,1.27,2.07
NLA06608-0008,1,1.92024,0.557412824,0.305402966,-0.182161829,0,0,0.015411659,0.005128205,0.02594527,0.943231412,0,0.010283454,2.1,5,2.380952381,-0.330912848,0.021674743,0.1225,0,0.3275,0.4,0.1225,0.3275,0.005,0.015,0,0.005,0.1025,0.005,0,0.46,0.1075,0.46,0.025,0.334722222,0.200277778,0.209444444,0.448055556,0.005405405,0.081271044,0.669410888,0.243912663,0.5475,0.6825,0.9025,1.2325,1.015,0.8325,1.23,2.065
NLA06608-0008,2,1.61544,0.498772188,0.234375533,-0.22273838,0,0,0.010006254,0,0,0.887484666,0.05071341,0.05179567,2.9,4,1.379310345,-0.344229766,0.016003155,0.105,0.015,0.0925,0.2275,0.12,0.2275,0,0.055,0,0,0.07,0,0,0.3525,0.07,0.3525,0.055,0.2525,0.18,0.01,0.4625,0.033602834,0.094594595,0.353095053,0.518707519,0.4325,0.4725,0.87,1.36,0.895,0.3275,0.905,1.6875
NLA06608-0010,1,0.86,0.267498702,-0.017728767,-0.434744191,0,0,0,0.007407407,0.27023912,0.631850288,0.06890075,0.021602434,2.2,5,2.272727273,-0.268749762,0.124038596,0.01,0.1275,0.5925,0.6225,0.1375,0.5925,0,0.03,0.005,0.005,0.125,0,0.07,0.8275,0.2,0.7575,0.035,0.19,0.06,0.07,0.24,0.19984985,0,0.605047775,0.195102375,0.25,0.325,0.71,0.6575,0.4975,0.6275,0.575,1.285
NLA06608-0010,2,0.77,0.182878223,-0.060480747,-0.548400485,0,0,0,0.008,0.369185185,0.527978836,0.089121693,0.005714286,1.9,5,2.631578947,-0.241968397,0.137745763,0.005,0.0925,0.3575,0.325,0.0975,0.3875,0,0.03,0,0,0.0925,0.005555556,0.06,0.575555556,0.1525,0.515555556,0.035555556,0.2,0.03,0.0775,0.065,0.096359788,0.008,0.719398827,0.176241384,0.23,0.1425,0.49,0.3875,0.295,0.47,0.3725,0.8575
NLA06608-0012,1,1.375296,0.206874902,0.168879165,-0.51303863,0,0.016652941,0.239068524,0.101618847,0.050517795,0.464866533,0.066649611,0.060625749,3.7,7,1.891891892,-0.068497765,0.288249772,0.4775,0.01,0,0.5075,0.4875,0.52,0.005,0.07,0.01,0.015,0.07,0.005,0.005,0.7,0.09,0.695,0.09,0.124652778,0.384722222,0.171944444,0.485555556,0,0.292166667,0.596801587,0.111031746,0.525,0.6825,0.8025,1.005,0.925,0.645,1.1025,1.65
NLA06608-0012,2,1.95,1.258084964,0.311753861,0.132926941,0,0.024358974,0.128691424,0.09563529,0.109074725,0.42173754,0.198085482,0.022416565,3.5,7,2,-0.153439982,0.258260712,0.2225,0,0,0.2225,0.2225,0.2225,0.016666667,0.045,0,0,0.005,0.005,0,0.294166667,0.021666667,0.294166667,0.05,0.1725,0.2025,0.1225,0.3275,0.240524291,0,0.605315055,0.154160654,0.375,0.45,0.37,0.7775,0.7025,0.4175,0.825,1.195
NLA06608-0013,1,1.46,0.589161363,0.193124598,-0.161679079,0,0,0,0.020812096,0.267534633,0.596118976,0.037698391,0.07552345,3.4,5,1.470588235,-0.230563428,0.118582986,0.06,0,0.2125,0.2175,0.06,0.1775,0,0.055,0,0,0.065,0.005,0.025,0.3275,0.09,0.3025,0.06,0.3575,0.1,0.03,0.345,0.41175092,0,0.214684385,0.373564694,0.4575,0.375,0.5425,1.1525,0.8025,0.2225,0.8325,1.375
NLA06608-0013,2,1.45,0.704351554,0.190331698,-0.094554095,0,0,0.013058056,0.026172811,0.552331064,0.296987509,0.060134195,0.051316365,4.3,6,1.395348837,-0.151877824,0.081828791,0.055,0,0.5275,0.5475,0.055,0.5475,0,0.065,0,0,0.045,0.005,0,0.6625,0.045,0.6625,0.07,0.352777778,0.0825,0.015,0.238888889,0.407516437,0,0.27860394,0.313879623,0.4,0.23,0.5775,0.9275,0.615,0.28,0.63,1.2075
NLA06608-0014,1,1.01,0.381371793,0.045322979,-0.317519362,0,0,0.008230453,0.102880658,0.476592593,0.423407407,0,0,2,4,2,-0.232643086,0.310572767,0.025,0.01,0.116666667,0.06,0.035,0.05,0,0.005,0.005,0,0,0.01,0,0.07,0.005,0.07,0.015,0,0,0.1775,0.035,0.164956957,0,0.75599927200000006,0.079043771,0,0.2125,0.625,0.075,0.035,0.7625,0.2125,0.8375
NLA06608-0014,2,0.73,0.286937856,-0.080921908,-0.412358779,0,0.005128205,0.058974359,0.031355311,0.173124357,0.701462097,0.02995567,0,2.8,6,2.142857143,-0.240289186,0.178037707,0.09,0,0.51,0.25,0.09,0.5425,0.005,0,0,0,0,0,0,0.5475,0.005,0.5475,0,0,0,0.815,0,0.075334435,0.085340285,0.839325279,0,0,0.815,0.83,0,0,1.57,0.815,1.57
NLA06608-0015,1,0.83,0.312872001,-0.031517051,-0.384184568,0,0.007407407,0.317989768,0.393948104,0.221382371,0.014444444,0.014444444,0.03038346,3.6,7,1.944444444,0.165189474,0.137955094,0.055,0,0.03,0.075,0.055,0.055,0.005,0.02,0,0,0.005,0,0,0.085,0.01,0.085,0.02,0.01875,0.0125,0.01,0.085,0.667841196,0,0.191689792,0.040469012,0.03125,0.095,0.1,0.14,0.11,0.08,0.12,0.22
NLA06608-0015,2,0.925,0.882771609,0.010723865,-0.007547398,0,0.006097561,0.28784143,0.110219859,0.230138558,0.353507471,0,0.012195122,3.25,6,1.846153846,-0.017838002,0.275146968,0.00625,0,0,0.00625,0.00625,0.00625,0.00625,0.00625,0,0,0,0,0,0.01875,0.00625,0.01875,0.00625,NA,NA,NA,0.05,0.878058878,0.114615115,0,0.007326007,NA,0.05,0.103571429,0.014285714,0.05,0,0.05,0.014285714
NLA06608-0016,1,1.08864,1.561666292,0.075050341,0.22054381,0.1,0.046900302,0.07099142,0.018181818,0.757773999,0,0,0.010842491,2.2,6,2.727272727,0.054785419,0.210312838,0.005,0,0.1075,0.1075,0.005,0.1025,0.045,0.015,0,0,0.0875,0,0.1375,0.3875,0.27,0.25,0.015,0.18,0.1275,0.122222222,0.1125,0.183321633,0,0.691267111,0.125411255,0.3075,0.2225,0.565,0.4875,0.42,0.6075,0.53,1.095
NLA06608-0016,2,1.462896,1.374312934,0.19393008,0.168589676,0.119607843,0.132927928,0.04215486,0.004444444,0.461689379,0.180448966,0.049399605,0.009326974,2.8,8,2.857142857,0.048828938,0.295975371,0,0,0,0,0,0.005,0.1375,0.02,0.105,0,0.03,0,0.05,0.3475,0.3225,0.2975,0.02,0.1225,0.0725,0.12,0.025,0.14342415,0.074468085,0.686445427,0.095662338,0.195,0.145,0.68,0.2975,0.22,0.635,0.34,0.9325
NLA06608-0019,1,0.45,0.554276305,-0.259637311,-0.184238808,0,0.130528231,0.159346335,0.186682242,0.23393734,0.289505852,0,0,4.6,5,1.086956522,0.03406628,0.181956593,0.235,0,0.295,0.3575,0.235,0.1875,0.08,0,0,0,0,0,0,0.2675,0.08,0.2675,0,0,0,0.0925,0.01,0.05125,0.197322027,0.698341171,0.053086802,0,0.1025,1.015,0.07,0.01,0.815,0.1025,0.885
NLA06608-0019,2,0.233333333,0.122474487,-0.477121255,-0.652719786,0,0.02213015,0.038848354,0.046235556,0.094486753,0.798299187,0,0,3.111111111,5,1.607142857,-0.255314294,0.085387034,0.102777778,0.011111111,0.575,0.544444444,0.113888889,0.575,0.022222222,0,0,0,0.027777778,0,0,0.625,0.05,0.625,0,0,0,0,0,0.164387307,0.010233153,0.802703803,0.022675737,0,0,0.913888889,0.027777778,0,0.875,0,0.902777778
NLA06608-0020,1,3.07848,1.744741512,0.502219483,0.265935521,0,0,0.023809524,0.062408917,0.243235259,0.699302848,0.0453149,0.0453149,3.4,6,1.764705882,-0.698307243,0.811052186,0.069444444,0,0.395,0.4825,0.069444444,0.03,0,0.06,0.02,0.005,0.0875,0.035,0.025,0.2625,0.1325,0.2375,0.1,0.1025,0.36,0.3375,0.34,0.110214785,0.025,0.566397269,0.298387945,0.4625,0.6775,0.445,0.9125,0.8025,0.6675,1.14,1.58
NLA06608-0020,2,3.894666667,1.053411221,0.601480546,0.061984172,0.048303623,0.021276596,0.106382979,0.210739615,0.353281853,0.583976834,0,0.422273337,2.833333333,7,2.470588235,-0.316076886,0.434981676,0.005555556,0.038888889,0.466666667,0.366666667,0.044444444,0.177777778,0.008333333,0.083333333,0.182142857,0,0.125,0.055555556,0.005555556,0.637698413,0.321031746,0.632142857,0.138888889,0.286111111,0.386111111,0.125,0.5,0.12960763,0.006349206,0.42237659,0.441666573,0.672222222,0.625,0.647222222,1.486111111,1.172222222,0.452777778,1.297222222,1.938888889
NLA06608-0021,1,1.055555556,0.35394601,0.06279083,-0.342995797,0,0.01010101,0.098585112,0.593638022,0.227730922,0.066113516,0.003831418,0,2.555555556,6,2.347826087,0.103872592,0.11842278,0,0,0.25,0.116666667,0,0.027777778,0.005555556,0,0,0,0.027777778,0,0.05,0.111111111,0.083333333,0.061111111,0,0.197222222,0.152777778,0.066666667,0.133333333,0.237347015,0,0.392870504,0.369782481,0.35,0.2,0.311111111,0.580555556,0.483333333,0.280555556,0.55,0.861111111
NLA06608-0021,2,3.13,3.052157707,0.509202522,0.498607938,0,0,0.254593555,0.508128908,0.145277537,0.092,0,0,2.6,4,1.538461538,0.134907649,0.17215706,0,0,0.38,0.3125,0,0.38,0,0,0,0,0.01,0,0.08,0.47,0.09,0.39,0,0.125,0.225,0.015,0.145,0.225757576,0,0.295454545,0.478787879,0.35,0.16,0.2575,0.615,0.495,0.1525,0.51,0.7675
NLA06608-0023,1,1.64,0.68019605,0.240549248,-0.107796253,0,0.010533611,0,0,0,0.968676369,0.010533611,0.01025641,1.6,4,2.5,-0.342611856,0.019414008,0.4675,0.015,0.7625,0.5475,0.4825,0.67,0.01,0.015,0.03,0,0.045,0,0.005,0.775,0.09,0.77,0.015,0,0.165,0.5175,0.1275,0.010978184,0.500263899,0.206096059,0.082661858,0.165,0.66,0.59,0.3925,0.3,0.7325,0.825,1.125
NLA06608-0023,2,1.32,0.482585629,0.152288344,-0.234640233,0,0,0,0,0.005405405,0.994594595,0,0,1.1,2,1.818181818,-0.350333779,0.00470215,0.3725,0.0875,0.845,0.5825,0.46,0.875,0.01,0.015,0.05,0,0.145,0.005,0,1.1,0.205,1.1,0.02,0,0.155,0.5125,0.045,0.108922559,0.112921986,0.306622967,0.071532488,0.155,0.5575,0.39,0.265,0.2,0.77,0.7125,1.035
NLA06608-0024,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NLA06608-0024,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NLA06608-0025,1,3.81,2.198711744,0.592176757,0.361484515,0,0,0,0,0,0.891219802,0.077247192,0.031533006,2.3,3,1.304347826,-0.351820729,0,0,0,0.37,0.365,0,0.37,0,0.045,0,0,0.215,0.015,0,0.645,0.215,0.645,0.06,0.315,0.3525,0.155,0.535,0.103801106,0,0.216901756,0.679297138,0.6675,0.705,0.705,1.72,1.21,0.3575,1.3725,2.0775
NLA06608-0025,2,2.94,1.035159676,0.482873584,0.055056956,0,0,0,0,0,0.846576877,0.054069649,0.099353474,2.7,3,1.111111111,-0.351820729,0,0.015,0.03,0.7225,0.7225,0.045,0.4375,0,0.105,0,0.005,0.07,0.03,0,0.6475,0.07,0.6475,0.14,0.34,0.255,0.03,0.285,0.21975413,0,0.173745394,0.606500475,0.595,0.315,0.5325,1.3025,0.88,0.14,0.91,1.4425
NLA06608-0029,1,1.14,0.343834586,0.093421685,-0.352778859,0,0,0,0.03125,0.395821329,0.239338525,0.200044946,0.133545199,3.6,5,1.388888889,-0.18508311,0.117780817,0.1775,0.01,0,0.14,0.1875,0.1125,0,0.085,0,0.0575,0.115,0.005,0.05,0.425,0.165,0.375,0.1475,0.1125,0.22,0.2325,0.1675,0.201424501,0,0.678039886,0.120535613,0.3325,0.4,0.5375,0.5725,0.5,0.6975,0.7325,1.27
NLA06608-0029,2,0.98,0.382390144,0.033423755,-0.316601574,0.005882353,0,0.004878049,0.065714286,0.443840298,0.119209879,0.285997064,0.074478071,3.3,7,2.121212121,-0.11417295,0.140634049,0.0775,0,0.035,0.1025,0.0775,0.0925,0,0.125,0,0.005,0.025,0.005,0.035,0.2875,0.06,0.2525,0.135,0.222222222,0.350277778,0.07,0.18,0.247971622,0.004878049,0.605975244,0.141175085,0.585,0.25,0.6025,0.8675,0.765,0.565,0.835,1.4325
NLA06608-0031,1,4.18,3.198541334,0.631443769,0.518321931,0.004192872,0.009612926,0.070588536,0.009612926,0,0.855445812,0.011396011,0.049691243,2.8,7,2.5,-0.464121862,0.588987297,0,0,0,0,0,0,0.11,0.13,0.2425,0,0.12,0,0,0.6025,0.4725,0.6025,0.13,0.14,0.5125,0.217222222,0.667777778,0,0,0.307780508,0.692219492,0.6525,0.9225,0.995,2.0325,1.3425,0.5375,1.575,2.57
NLA06608-0031,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NLA06608-0033,1,1.01,0.310733898,0.045322979,-0.386439453,0,0,0,0,0,0.53974359,0.455128205,0.005128205,2.1,3,1.428571429,-0.351820729,0,0.085,0.255,0.12,0.4575,0.34,0.4575,0,0.005,0,0.005,0.05,0.005,0,0.5225,0.05,0.5225,0.015,0,0.005,0.5825,0.0725,0.006896552,0.278606048,0.610931736,0.103565664,0.005,0.655,0.75,0.15,0.0775,1.0375,0.66,1.1875
NLA06608-0033,2,0.91,0.490917508,0.004321374,-0.228473142,0,0,0,0,0,0.680808081,0.319191919,0,1.9,2,1.052631579,-0.351820729,0,0.1775,0.275,0.035,0.36,0.4525,0.36,0,0.005,0,0,0.05,0,0,0.415,0.05,0.415,0.005,0.005,0.005,0.72,0.125,0.004,0.09384037,0.775060729,0.127098901,0.01,0.845,0.9725,0.265,0.135,1.4725,0.855,1.7375
NLA06608-0036,1,1.051752,0.788652037,0.061358975,-0.051268259,0,0,0.006060606,0.020364565,0.132750387,0.775465454,0.025514902,0.047106196,3.5,6,1.714285714,-0.296322996,0.081869852,0.07,0.255,0.845,0.875,0.325,0.05,0,0.015,0,0,0.045,0.005,0,0.115,0.045,0.115,0.02,0.2525,0.16,0.466666667,0.291666667,0.039450409,0.028607918,0.757070388,0.174871285,0.4125,0.758333333,0.735,0.8175,0.675,0.9925,1.095,1.81
NLA06608-0036,2,1.060896,0.781754289,0.064793315,-0.054652419,0,0,0.004255319,0,0,0.944846463,0.008,0.042898217,1.7,4,2.352941176,-0.348025248,0.012002366,0.08,0.345,0.845,0.845,0.425,0.07,0,0.045,0,0,0.09,0.005,0,0.21,0.09,0.21,0.05,0.125,0.175,0.380277778,0.219722222,0.072410338,0.043838909,0.807447732,0.076303022,0.3,0.6125,0.865,0.5925,0.5225,1.145,0.9125,1.7375
NLA06608-0037,1,4.6863,2.455406321,0.679999916,0.407459965,0,0.186179989,0.151678059,0.107976108,0.430351458,0.222058929,0,0,3.3,5,1.515151515,0.174199133,0.494602773,0,0,0.3525,0.2325,0,0.352777778,0.04,0.005,0.0575,0,0.1125,0.01,0.1625,0.740277778,0.3725,0.577777778,0.015,0.219444444,0.3125,0.0875,0.197222222,0.246525974,0,0.531695527,0.305497835,0.525,0.275,0.6075,0.9125,0.7025,0.4675,0.7725,1.38
NLA06608-0037,2,3.22,2.813380726,0.521138084,0.464397243,0,0.118522518,0.093463192,0.031706191,0.607416235,0.024900623,0.091182671,0.032808569,5.2,7,1.346153846,0.045478816,0.15758851,0,0,0.395,0.395,0,0.395,0.1325,0.04,0.02,0,0.045,0,0.06,0.6925,0.2575,0.6325,0.04,0.14,0.265,0.1,0.23,0.19561973,0,0.556901508,0.247478762,0.405,0.33,0.725,0.845,0.635,0.615,0.735,1.46
NLA06608-0038,1,1.572727273,1.190874392,0.223425138,0.110883986,0,0.016172288,0.077145117,0.178231816,0.38485916,0.276362937,0,0.067228681,4.454545455,6,1.346938776,-0.061088791,0.09471514,0.009090909,0.004545455,0.204545455,0.204545455,0.013636364,0.204545455,0.018181818,0.077272727,0.009090909,0,0.022727273,0.009090909,0.009090909,0.35,0.059090909,0.340909091,0.086363636,0.318434343,0.154292929,0.036363636,0.184090909,0.45900076,0,0.398173215,0.142826025,0.484090909,0.220454545,0.481818182,0.790909091,0.668181818,0.395454545,0.704545455,1.186363636
NLA06608-0038,2,1.74,1.072069649,0.264817823,0.06895342,0,0.011961008,0.151575797,0.185487859,0.466131666,0.058710756,0.1104744,0.015658514,4.545454545,7,1.54,0.026218422,0.170018357,0.093181818,0.004545455,0.177272727,0.177272727,0.097727273,0.177272727,0.013636364,0.013636364,0,0,0.013636364,0.013636364,0.095454545,0.327272727,0.122727273,0.231818182,0.027272727,0.36,0.1575,0.109090909,0.202272727,0.402825057,0,0.388003979,0.209170964,0.5175,0.311363636,0.365909091,0.75,0.672727273,0.397727273,0.781818182,1.147727273
NLA06608-0041,1,3.2792,3.344536799,0.528813897,0.537130829,0,0.125538329,0.204652302,0.16648229,0.262268131,0.081819048,0.088240292,0.070999607,5.222222222,7,1.340425532,0.112450761,0.22837597,0.015,0,0,0.015,0.015,0.016666667,0.133333333,0.138888889,0.055,0.011111111,0.111111111,0.055555556,0.005555556,0.527222222,0.305,0.521666667,0.205555556,0.07,0.7775,0.05,0.241666667,0.024029468,0,0.643388874,0.332581657,0.8625,0.291666667,0.436111111,1.165,1.08,0.391666667,1.125,1.5175
NLA06608-0041,2,3.25944,2.968611637,0.526266889,0.486941928,0.094594595,0.090283533,0.073888034,0.143319353,0.089272649,0.298536741,0.086052432,0.124052663,6.1,8,1.31147541,0.025034037,0.29404808,0.015,0,0.145,0.165,0.015,0.06,0.155,0.165,0.06,0.005,0.12,0.03,0,0.595,0.335,0.595,0.2,0.099444444,0.678055556,0.04,0.3325,0.104743405,0,0.567785918,0.227470677,0.8025,0.3725,0.4575,1.2725,1.135,0.36,1.175,1.6325
NLA06608-0042,1,1.21,0.674042531,0.117271296,-0.111235176,0.029089302,0.248820806,0.224540028,0.212678042,0.248456994,0.023922807,0.010006254,0.004878049,4.6,8,1.739130435,0.231025132,0.175868632,0,0,0.03,0.03,0,0.05,0.34,0.005,0.125,0,0.02,0.005,0,0.545,0.485,0.545,0.01,0.005,0.195,0,0.2775,0.326015498,0.023116157,0.381227046,0.2696413,0.2,0.2775,0.5625,0.675,0.4775,0.345,0.4775,1.02
NLA06608-0042,2,0.77,0.249666444,-0.060480747,-0.456346043,0.026570048,0.116861619,0.237269647,0.261732884,0.261947139,0.050001637,0.02995137,0.015665656,5.2,8,1.538461538,0.169921899,0.16026886,0.045,0,0.1275,0.1475,0.045,0.1525,0.1525,0.01,0.025,0,0.02,0.01,0.025,0.395,0.2225,0.37,0.02,0.005,0.125,0.005,0.2,0.344032307,0.012285456,0.497721757,0.145960481,0.13,0.205,0.5775,0.455,0.33,0.4475,0.335,0.9025
NLA06608-0043,1,1.4,0.714920353,0.176091259,-0.088884835,0,0,0,0.023059867,0.132062084,0.058957303,0.736630849,0.049289897,3.4,5,1.470588235,-0.282214366,0.118612099,0.0925,0.16,0.64,0.6725,0.2525,0.6725,0,0.045,0.005,0.005,0.045,0.015,0.1075,0.895,0.1575,0.7875,0.065,0.365,0.2925,0.1,0.5,0.20250394,0,0.368639158,0.428856902,0.7025,0.6,0.7525,1.595,1.2025,0.46,1.3025,2.055
