SITE_ID,VISIT_NO,ssfcBedrock,ssfcBoulders,ssfcCobble,ssfcGravel,ssfcSand,ssfcSilt,ssfcOrganic,ssfcWood,ssfcOther,ssiStaVariety,ssiSiteVariety,ssiStStaVariety,ssxLdia,ssvLdia,hipwBuildings,hipwCommercial,hipwRoads,hipwWalls,hipwDocks,hipwPowerlines,hipwLandfill,hipwLawn,hipwPark,hipwCrops,hipwOrchard,hipwPasture,hiiAll,hiiNonAg,hiiAg,hiiAllCirca,hiiNonAgCirca,hiiAgCirca,hifpAny,hifpAnyCirca,bffFlat,bffGradual,bffSteep,bffVertical,bfoAngle,bfnAngle,bfxHorizDist,bfxVertHeight,bfnHorizDist,bfnVertHeight,L_RtHzVrt,RDisInEx1a
NLA06608-0001,1,0.101023788,0.06038772,0.553962928,0.196061141,0.072436382,0.00617284,0,0.009955202,0,3.555555556,7,1.96875,0.318347498,0.137468411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111,0.333333333,0.333333333,0.222222222,"GRADUAL, STEEP",9,0.044444444,0.022222222,9,9,0.009340026,0
NLA06608-0002,1,0,0,0,0,0,0.042486635,0.273282967,0,0.684230398,2.6,2,0.769230769,-0.316638656,0.111255483,0.05,0,0.1,0.25,0.05,0,0,0,0,0,0.65,0,1.1,0.45,0.65,0.8,0.2,0.6,0.8,0.7,0.7,0,0.3,0,FLAT,10,0,0,10,10,0,0.611904762
NLA06608-0002,2,0,0,0,0,0,0.041789416,0.030173545,0,0.928037039,2.1,2,0.952380952,-0.175910365,0.185425805,0,0,0,0.2,0.05,0,0,0,0,0,0.35,0,0.6,0.25,0.35,0.4,0.2,0.2,0.7,0.4,0.8,0.2,0,0,FLAT,10,0.1,0.1,10,10,0,0.3875
NLA06608-0003,1,0,0,0,0,0.06927955,0.317108113,0.195795369,0.057354678,0.36046229,4.444444444,4,0.9,-0.298637468,0.063983333,0,0,0.15,0,0,0.1,0.1,0.55,0.2,0,0,0,1.1,1.1,0,0.9,0.9,0,0.8,0.6,0.2,0.6,0.2,0,GRADUAL,10,0,0,10,10,0,0.561904762
NLA06608-0003,2,0,0,0,0,0.518505132,0.391010849,0.064706979,0.040441057,0.093081116,4.1,4,0.975609756,-0.406435424,0.606415007,0.5,0.055555556,0.6,0,0.55,0.5,0.1,0.35,0.35,0,0,0,3.005555556,3.005555556,0,0.8,0.8,0,1,0.5,0.222222222,0.666666667,0.111111111,0,GRADUAL,9,0,0,10,10,0,0.62517337
NLA06608-0004,1,0,0.062162162,0.032155232,0.010842491,0,0.531226851,0.005128205,0.011119691,0.347365367,2.6,6,2.307692308,-0.25607778,0.25175609,0.2,0,0.15,0.1,0.05,0.05,0.1,0,0.05,0,0,0.4,1.1,0.7,0.4,0.3,0.2,0.1,1,0.3,0.1,0.9,0,0,GRADUAL,10,11.26,1.04,10,10,0.778860303,0.411904762
NLA06608-0010,2,0,0.191310345,0.026896552,0.02,0.245601852,0.094062813,0.0125,0.095646552,0.313981887,3,7,2.333333333,0.025157331,0.306424834,0.35,0,0.2,0.25,0.65,0.15,0,0.8,0.1,0,0,0,2.5,2.5,0,1.6,1.6,0,1,0.8,0,0.6,0.1,0.3,GRADUAL,10,0.05,0.05,10,10,0,0.757142857
NLA06608-0012,1,0,0.009302326,0.182317201,0.048240906,0.052773426,0.245517924,0.013383958,0.026512163,0.421952096,3.7,7,1.891891892,-0.008223465,0.255225194,0.05,0,0.15,0,0,0,0.3,0,0.15,0,0,0,0.65,0.65,0,0.4,0.4,0,0.6,0.4,0.1,0.7,0.2,0,GRADUAL,10,0.23,0.09,10,10,0.052478613,0.396969697
NLA06608-0012,2,0,0.029365079,0.041596639,0.005128205,0.00957265,0.136652302,0.187063372,0.109090234,0.481531519,4.1,7,1.707317073,-0.149580355,0.246147499,0.3,0.05,0.25,0.05,0,0,0.388888889,0,0.15,0,0,0,1.188888889,1.188888889,0,0.533333333,0.533333333,0,0.9,0.3,0.1,0.7,0.1,0.1,GRADUAL,10,0,0.02,10,10,-0.008600172,0.421573604
NLA06608-0013,1,0,0,0,0,0.005128205,0.015939016,0,0.01025641,0.968676369,1.6,3,1.875,-0.113219708,0.166344588,0.45,0.05,0.75,0.15,0.15,0.6,0,0.75,0.1,0,0,0,3,3,0,2,2,0,1,0.7,0,0.4,0.6,0,STEEP,10,0.04,0.04,10,10,0,0.725
NLA06608-0013,2,0,0,0,0,0.070842491,0.005714286,0,0.032155232,0.891287991,1.9,3,1.578947368,-0.017547666,0.03735561,0.45,0.05,0.65,0.2,0.15,0.65,0.2,0.45,0.1,0,0,0,2.9,2.9,0,1.5,1.5,0,1,0.7,0,0.3,0.6,0.1,STEEP,10,0.38,0.1,10,10,0.098486401,0.721794872
NLA06608-0014,1,0,0.006060606,0.08211591,0.0912399,0.454636447,0.312495448,0.034638656,0.027937024,0,4.3,7,1.627906977,-0.104658496,0.155977419,0,0,0,0,0,0,0,0,0,0.05,0,0,0.05,0,0.05,0,0,0,0.1,0,0.3,0.7,0,0,GRADUAL,10,1.61,0.32,10,10,0.296066576,0.023809524
NLA06608-0014,2,0,0.008959681,0.110654038,0.029541531,0.078118789,0.682475504,0.004255319,0,0.095550153,3.8,6,1.578947368,-0.220856351,0.161800227,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0.5,0,0,0,1,0,0.1,0.6,0.3,0,GRADUAL,10,1.3,0.22,10,10,0.275368005,0.166666667
NLA06608-0015,1,0,0.028571429,0.338340409,0.281599589,0.225956138,0.003636364,0.045070465999999997,0.048417595,0.028408011,4.4,7,1.590909091,0.176498923,0.15967859,0.05,0,0,0.05,0,0.05,0.3,0,0,0,0,0.1,0.55,0.45,0.1,0,0,0,0.8,0,0.2,0.5,0.3,0,GRADUAL,10,15.3,1.5,10,10,0.814247596,0.177419355
NLA06608-0015,2,0,0,0.287325852,0.141466531,0.28049732,0.269478768,0.006756757,0.014474773,0,3.375,6,1.777777778,0.005952816,0.245099442,0.0625,0,0.0625,0,0,0.0625,0,0,0,0,0,0.0625,0.25,0.1875,0.0625,0,0,0,0.25,0,0.625,0.375,0,0,FLAT,8,48.375,1.075,8,8,1.376489008,0.1
NLA06608-0016,1,0.2,0.169535835,0.199843837,0.018181818,0.05,0,0,0.103558201,0.258880309,2.2,6,2.727272727,0.353077231,0.231303732,0.3,0,0.3,0.35,0.2,0.2,0.2,0.8,0.55,0,0,0,2.9,2.9,0,2.2,2.2,0,0.8,0.8,0.1,0.4,0.4,0.1,"GRADUAL, STEEP",10,1.15,0.45,10,10,0.171070458,0.771794872
NLA06608-0016,2,0.15,0.242,0.279536282,0,0.092,0.023394868,0,0.022303959,0.19076489,2.3,6,2.608695652,0.348835846,0.241376559,0.2,0,0.25,0.6,0.35,0,0.7,0.5,0.1,0,0,0,2.7,2.7,0,2.3,2.3,0,1,1,0,0.1,0.5,0.4,STEEP,10,0.27,0.2,10,10,0.024622475,0.864864865
NLA06608-0019,1,0,0.107102004,0.197689091,0.206362561,0.159140339,0.11909626,0,0,0.210609745,5.3,5,0.943396226,0.13687799,0.121103976,0,0,0.05,0,0,0.15,0,0,0,0,0,0.95,1.15,0.2,0.95,0.9,0,0.9,1,0.9,0.2,0.4,0.4,0,"GRADUAL, STEEP",10,9.83,2.02,10,10,0.554621514,0.71744186
NLA06608-0019,2,0,0.127043876,0.1716767,0.144182369,0.215537578,0.043651289,0,0,0.297908187,5.555555556,5,0.9,0.164583026,0.119080862,0,0,0.111111111,0,0,0,0,0,0,0,0,1,1.111111111,0.111111111,1,1,0,1,1,1,0,0.777777778,0.222222222,0,GRADUAL,9,4.455555556,1.4,9,9,0.356627741,0.763157895
NLA06608-0020,1,0,0.008333333,0.093357964,0.04162876,0.291172023,0.298590221,0.051072422,0.106033464,0.109811813,5.2,7,1.346153846,-0.133504345,0.20750149,0,0,0.05,0.1,0.055555556,0.05,0.1,0,0,0,0,0,0.355555556,0.355555556,0,0.2,0.2,0,0.3,0.2,0,0.4,0.3,0.3,GRADUAL,10,0.28,0.23,10,10,0.017304858,0.231147541
NLA06608-0020,2,0.022663809,0.019157088,0.027458714,0.015836747,0.136692323,0.364380327,0.010367365,0.129096563,0.274347063,5.111111111,8,1.565217391,-0.190970988,0.188278871,0.111111111,0,0,0.166666667,0.166666667,0,0,0,0,0,0,0,0.444444444,0.444444444,0,0.111111111,0.111111111,0,0.333333333,0.111111111,0,0.444444444,0,0.555555556,NEAR_VERTICAL,9,0.122222222,0.133333333,9,9,-0.004278798,0.209401709
NLA06608-0021,1,0,0.113335558,0.029131354,0.746421978,0,0,0,0,0.111111111,1.555555556,3,1.928571429,0.197946074,0.126513496,0.722222222,0,0.055555556,0.222222222,0.611111111,0.222222222,0,0.388888889,0,0,0,0,2.222222222,2.222222222,0,1.333333333,1.333333333,0,1,0.666666667,0.333333333,0.111111111,0.222222222,0.333333333,"FLAT, NEAR_VERTICAL",9,1.333333333,0.455555556,9,9,0.204947999,0.67816092
NLA06608-0021,2,0,0.055714286,0.163433381,0.634050986,0.046801347,0,0,0,0,2.1,4,1.904761905,0.192863522,0.107848232,0.8,0,0,0.277777778,0.6,0,0,0.5,0,0,0,0,2.177777778,2.177777778,0,1.511111111,1.511111111,0,1,0.7,0.3,0.2,0.2,0.3,"FLAT, NEAR_VERTICAL",10,1.05,0.5,10,10,0.135662602,0.692657343
NLA06608-0023,1,0,0.057517966,0.018629077,0.018629077,0.002985075,0.469976506,0.015432099,0.007431976,0.411684632,3.4,7,2.058823529,-0.268874569,0.175304485,0.2,0.25,0.35,0.2,0.1,0.4,0,0,0,0,0,0,1.5,1.5,0,0.5,0.5,0,0.8,0.2,0.8,0.2,0,0,FLAT,10,0,0,10,10,0,0.4
NLA06608-0023,2,0,0.015078496,0.015078496,0.012048193,0.012048193,0.525260666,0.008510784,0.020558976,0.391416197,3.2,7,2.1875,-0.306446939,0.118168253,0.1,0.1,0.25,0.5,0,0.3,0,0,0,0,0,0,1.25,1.25,0,0.5,0.5,0,0.8,0.5,0.5,0.1,0.4,0,FLAT,10,0.09,0.12,10,10,-0.011791525,0.527777778
NLA06608-0024,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NLA06608-0024,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NLA06608-0025,1,0,0,0,0,0.063013956,0.201858683,0.024635923,0.070237407,0.640254031,4,4,1,-0.264710215,0.054889664,0.05,0,0,0.1,0,0.05,0,0.2,0,0,0,0,0.4,0.4,0,0.3,0.3,0,0.2,0.2,0.1,0.6,0.2,0.1,GRADUAL,10,0,0,10,10,0,0.242857143
NLA06608-0025,2,0,0,0,0,0.034079889,0.347030077,0.062933074,0.083029094,0.472927866,4.3,4,0.930232558,-0.322111459,0.021781569,0.05,0,0,0.05,0,0,0,0.1,0,0,0,0,0.2,0.2,0,0.1,0.1,0,0.1,0.1,0.1,0.4,0.5,0,STEEP,10,0,0,10,10,0,0.133333333
NLA06608-0029,1,0,0.058333333,0.205405405,0,0.003125,0.024818122,0.050223214,0.193206019,0.294321008,2,6,3,0.063311072,0.311200018,0.75,0,0.15,0.6,0.7,0.05,0,0.75,0,0,0,0,3,3,0,2.4,2.4,0,1,0.9,0,0.1,0.5,0.4,STEEP,10,0.1,0.2,10,10,-0.037788561,0.825
NLA06608-0029,2,0.004651163,0,0.228164711,0,0,0.051950121,0.116958345,0.077222865,0.521052795,3.5,5,1.428571429,0.001043731,0.288710524,0.65,0,0.5,0.7,0.8,0,0,0.9,0,0,0,0,3.55,3.55,0,2.5,2.5,0,1,0.9,0.1,0.5,0.1,0.3,GRADUAL,10,0,0.1,10,10,-0.041392685,0.84010989
NLA06608-0031,1,0.247232643,0.128178645,0.236658181,0.138795032,0,0.120096546,0,0.051400876,0.077638079,4.8,6,1.25,0.309560627,0.238812835,0.05,0,0.2,0.1,0,0.05,0,0.05,0.05,0,0,0.15,0.65,0.5,0.15,0.2,0.1,0.1,0.4,0.1,0.1,0.2,0.3,0.4,NEAR_VERTICAL,10,0.57,0.2,10,10,0.116718406,0.246969697
NLA06608-0031,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NLA06608-0033,1,0,0,0,0,0,0.176257544,0.157414921,0.005405405,0.660922129,3.1,3,0.967741935,-0.351820729,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0.05,0.05,0,0,0,0,0.1,0,1,0,0,0,FLAT,10,NA,NA,0,0,NA,0.023809524
NLA06608-0033,2,0,0,0,0,0,0.242737729,0.126618038,0,0.630644233,2.9,2,0.689655172,-0.351820729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0.1,0,0,FLAT,10,0.02,0.1,10,10,-0.032792513,0
NLA06608-0036,1,0,0.004081633,0.029896034,0.022737417,0.034067078,0.10839742,0.039753488,0.025245485,0.735821445,4.6,7,1.52173913,-0.173889906,0.125733633,0,0,0,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0.2,0,0,0.9,0.1,0,GRADUAL,10,0.07,0.05,10,10,0.008194479,0.045454545
NLA06608-0036,2,0,0.005128205,0.057796258,0,0,0.092373692,0,0.036760717,0.807941128,3.1,4,1.290322581,-0.195875411,0.260528375,0,0,0,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0.2,0,0,1,0,0,GRADUAL,10,0.06,0.04,10,10,0.008272526,0.045454545
NLA06608-0037,1,0,0.571469685,0.066200016,0.026669037,0.099499687,0,0.005128205,0.041781737,0.194585439,3.6,6,1.666666667,0.428550719,0.185493257,0.5,0,0.45,0.55,0.75,0.3,0,0.65,0.2,0,0,0,3.4,3.4,0,2.9,2.9,0,1,1,0,0.3,0.5,0.2,STEEP,10,0.1,0.1,10,10,0,0.886363636
NLA06608-0037,2,0,0.477762225,0.08325661,0.015607228,0.19958923,0,0.032758475,0.042538244,0.148487989,5.1,6,1.176470588,0.328552972,0.17913126100000001,0.5,0,0.5,0.8,0.333333333,0.4,0.15,0.85,0.333333333,0,0,0,3.866666667,3.866666667,0,3.277777778,3.277777778,0,1,1,0,0.5,0.4,0.1,GRADUAL,10,0.79,0.6,10,10,0.048733048,0.897260274
NLA06608-0038,1,0,0.101430875,0.122096555,0.122096555,0.426743693,0.037539792,NA,NA,0.19009253,3.636363636,NA,NA,0.090394637,0.17513854,0.318181818,0.136363636,0.318181818,0.272727273,0.5,0,0.636363636,0.636363636,0.181818182,0,0,0,3,3,0,2.181818182,2.181818182,0,1,1,0,0.545454545,0.181818182,0.272727273,GRADUAL,11,0,0,11,11,0,0.875
NLA06608-0038,2,0,0.049006899,0.071068775,0.059105681,0.524013216,0,0.023827536,0.079466593,0.193511299,4.090909091,6,1.466666667,0.082522213,0.194770929,0.5,0.136363636,0.181818182,0.272727273,0.681818182,0.227272727,0.409090909,0.45,0.318181818,0,0,0,3.177272727,3.177272727,0,2.4,2.4,0,0.909090909,0.727272727,0,0.6,0.1,0.3,GRADUAL,10,0.718181818,0.209090909,11,11,0.152610163,0.743941043
NLA06608-0041,1,0.153568954,0.033974359,0.035549676,0.134946358,0.074435775,0.022167201,0.084273179,0.203387249,0.257697249,5,8,1.6,0.158330505,0.261447379,0,0,0,0,0,0,0.45,0,0.1,0,0,0,0.55,0.55,0,0.5,0.5,0,0.5,0.4,0,0.5,0.1,0.4,GRADUAL,10,0.35,0.31,10,10,0.013062473,0.377419355
NLA06608-0041,2,0.126607069,0.050339387,0.043806779,0.113014907,0.058563562,0.116100609,0.070868405,0.099951541,0.320747741,6.2,8,1.290322581,0.063046944,0.311151603,0,0,0,0,0,0,0.2,0,0.05,0,0,0,0.25,0.25,0,0.2,0.2,0,0.3,0.2,0,0.5,0.2,0.3,GRADUAL,10,0.11,0.25,10,10,-0.051587034,0.2
NLA06608-0042,1,0.030252833,0.212907245,0.211284982,0.138267421,0.094068433,0.017699139,0.007557932,0.033569325,0.254392689,6.1,8,1.31147541,0.286870305,0.111477292,0,0,0.4,0.05,0,0,0,0,0.05,0,0,0,0.5,0.5,0,0.3,0.3,0,0.5,0.3,0.4,0.4,0.2,0,"FLAT, GRADUAL",10,0.03,0.02,10,10,0.004237053,0.316666667
NLA06608-0042,2,0.025641026,0.210627275,0.181586495,0.117620287,0.040665486,0.01731411,0.004166667,0.036070031,0.366308624,5.2,8,1.538461538,0.283974475,0.15988823,0,0,0.4,0.2,0,0,0,0,0,0,0,0,0.6,0.6,0,0.5,0.5,0,0.6,0.4,0.2,0.6,0.2,0,GRADUAL,10,0.08,0.09,10,10,-0.004002742,0.3875
NLA06608-0043,1,0,0.004878049,0.053610459,0.028970058,0.079575385,0.046430124,0.008518036,0.047011568,0.731006321,3.7,7,1.891891892,-0.060878595,0.199021494,0.45,0,0.2,0.25,0.7,0.1,0.25,0.55,0.1,0,0,0,2.6,2.6,0,1.8,1.8,0,0.8,0.6,0.4,0.4,0.2,0,"FLAT, GRADUAL",10,0.15,0.11,10,10,0.015374862,0.661111111
NLA06608-0043,2,0,0,0.136630247,0.004255319,0.063678633,0.259406154,0.02491598,0.097861752,0.413251915,3.8,6,1.578947368,-0.222789823,0.242872744,0.45,0,0.1,0.2,0.5,0.05,0.4,0.6,0,0.05,0,0,2.35,2.3,0.05,1.8,1.8,0,0.9,0.9,0.2,0.7,0.1,0,GRADUAL,10,0.36,0.11,10,10,0.08821593,0.800746269
NLA06608-0044,1,0,0,0,0,0.425102375,0,0,0,0.574897625,1.9,1,0.526315789,-0.069061407,0.024265705,0,0,0.2,0,0,0,0,0,0,0,0,0.55,0.75,0.2,0.55,0.1,0,0.1,1,0.1,0.8,0.2,0,0,FLAT,10,6.6,1,10,10,0.579783597,0.264285714
NLA06608-0044,2,0,0,0,0,0.472927147,0.062271062,0.007407407,0.007407407,0.449986976,2.5,4,1.6,-0.107161056,0.051162162,0.05,0,0,0,0,0,0.25,0,0,0,0,0.15,0.45,0.3,0.15,0.2,0.2,0,0.5,0.2,0.8,0.2,0,0,FLAT,10,0.61,0,10,10,0.206825876,0.255172414
NLA06608-0045,1,0,0,0,0.03125,0.041533454,0.036526181,0.052971432,0.073435647,0.764283285,2.9,5,1.724137931,-0.115949901,0.167036186,0.3,0,0.15,0.2,0.2,0,0,0.35,0,0,0,0,1.2,1.2,0,0.3,0.3,0,0.8,0.3,0.4,0.4,0.2,0,"FLAT, GRADUAL",10,0,0,10,10,0,0.422727273
NLA06608-0045,2,0,0.065714286,0.071428571,0.005714286,0,0,0.009383524,0.031810206,0.815949127,1.9,5,2.631578947,0.08243914,0.177435242,0.55,0,0.5,0.2,0.55,0.35,0,0.55,0,0,0,0,2.7,2.7,0,1.9,1.9,0,0.7,0.4,1,0,0,0,FLAT,10,0.2,0.2,10,10,0,0.564864865
NLA06608-0048,1,0,0,0,0,0,0.90657194,0.051937841,0.029715618,0.011774601,2.3,3,1.304347826,-0.351820729,0,0,0,0.35,0.4,0,0,0.45,0,0,0.1,0,0.35,1.65,1.2,0.45,0.4,0.2,0.2,0.9,0.3,0.6,0.1,0.1,0.2,FLAT,10,8.27,1,10,10,0.666049738,0.461320755
NLA06608-0048,2,0,0,0.004081633,0,0.004081633,0.835003814,0.004878049,0.084488074,0.067466798,2.9,5,1.724137931,-0.346538297,0.012394574,0,0,0.3,0.3,0,0,0.7,0,0,0.1,0,0.6,2,1.3,0.7,1.3,0.7,0.6,1,0.8,0.5,0.3,0.1,0.1,FLAT,10,75.57,1.47,10,10,1.491361694,0.733333333
NLA06608-0049,1,0.052567007,0.073476098,0.151430292,0.123345877,0.014285714,0.417787754,0,0.007675439,0.159431818,3.9,7,1.794871795,-0.038900825,0.254483081,0,0,0,0.1,0,0,0.1,0,0.05,0,0,0.85,1.1,0.25,0.85,0.8,0.1,0.7,1,0.7,0.1,0.6,0.3,0,GRADUAL,10,11.47,2.8,10,10,0.516082857,0.611904762
NLA06608-0050,1,0,0.073138528,0.058333333,NA,0.030714286,0.179522055,NA,NA,0.658291798,2.6,NA,NA,-0.234499123,0.312563423,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,GRADUAL,10,0.25,0.22,10,10,0.010550182,0
NLA06608-0050,2,0.039655172,0.077438175,0.054740958,NA,0.039589443,0.325373507,0.396551724,NA,0.470608414,3.3,NA,NA,-0.113618117,0.370930352,0,0,0.05,0,0,NA,0,0,0,0,0,0,0.05,0.05,0,0,0,0,0.1,0,0,0.9,0.1,0,GRADUAL,10,0.38,0.2,10,10,0.06069784,0.023809524
NLA06608-0053,1,0,0.035096154,0.170966035,0.221951272,0.237538692,0.057241725,0.008799617,0.008799617,0.259606887,4.4,7,1.590909091,0.081132293,0.189501962,0.15,0,0.15,0.35,0.15,0.2,0,0.2,0,0,0,0.05,1.25,1.2,0.05,0.7,0.7,0,0.5,0.3,0.4,0.5,0.1,0,GRADUAL,10,5.73,0.93,10,10,0.542457755,0.427777778
NLA06608-0053,2,0.010460369,0.044395604,0.024846265,0.029675117,0.013987953,0.39741412,0.270003676,0.089056967,0.199642753,6.1,8,1.31147541,-0.14640151,0.152460804,0.1,0,0.15,0.2,0.111111111,0.1,0,0.1,0,0,0,0,0.761111111,0.761111111,0,0.711111111,0.711111111,0,0.2,0.2,0.6,0.3,0.1,0,FLAT,10,NA,1.7,0,10,NA,0.316088328
NLA06608-0057,1,0,0,0.018617512,0.024014337,0.041577061,0.355675779,0.040096958,0.068542706,0.451475647,4.3,6,1.395348837,-0.214587882,0.173154482,0.2,0,0.05,0.05,0,0.05,0,0.3,0,0,0,0,0.65,0.65,0,0.2,0.2,0,0.5,0.2,0.5,0.3,0.2,0,FLAT,10,0,0,10,10,0,0.296969697
NLA06608-0057,2,0,0,0,0.010056568,0.108803627,0.215060434,0.032153032,0.046296254,0.590845387,4.1,5,1.219512195,-0.235665105,0.085238121,0.15,0,0.222222222,0.05,0.05,0.05,0,0.35,0.05,0,0,0,0.922222222,0.922222222,0,0.2,0.2,0,0.5,0.2,0.2,0.6,0.2,0,GRADUAL,10,0.14,0.13,10,10,0.003826408,0.339884393
NLA06608-0061,1,0,0.007692308,0.280634292,0.276661208,0.273400487,0,0,0.085112732,0.104562402,3.9,5,1.282051282,0.165120058,0.11722883,0,0,0,0,0,0,0.3,0,0,0,0,0,0.3,0.3,0,0.3,0.3,0,0.3,0.3,0,0.888888889,0.111111111,0,GRADUAL,9,34,4.45,10,10,0.807671542,0.265384615
