SITE_ID,VISIT_NO,IRT,PRT,ORT,MRT,Lake_Vol,ELEV_PT,Max_WSelev,Mean_WSelev,Stdev_WSelev,DOM_GEOL,GEOL_PT,Precip_WS,Precip_PT,P_WY,E,RH_WS,RH_PT,RH_COLMO,RH_FW,T_FW,TMAX_WS,TMEAN_WS,TMIN_WS,TMAX_PT,TMEAN_PT,TMIN_PT,POP_DEN,FarmFert,LvStckCon,LvStckUnC,NnFarmFert,ATM_N,Hum_N,Fert,manure,largest_source,AN
NLA06608-0025,1,0.42,0.04,0.42,0.1,220715.1953,245.48,488,292,34,Sedimentary,Sedimentary,1219.22,1225,0.83,0.81,67,67,0.42,0.51,22.71,31.46,15.06,-1.44,31.5,15.1,-1.4,113.9866151,754.788,661.416,675.2,259.648,8423.97515,4239.54412,1014.436,1336.616,Atmospheric,12.31886891
NLA06608-0029,1,0.06,0.02,0.06,0.03,330188.6154,1.87,12,7,2,Quaternary,Quaternary,1149.87,1152,1.01,0.76,70,70,0.47,0.57,21.52,30.06,13.4,-2.74,29.9,13.4,-2.6,368.4777747,83040.3,107037.252,1496.704,11.808,30765.08571,37617.69303,83052.108,108533.956,Manure,16.3906557
NLA06608-0031,1,0.06,0.02,0.06,0.06,276678.9426,241.93,370,289,27,Sedimentary,Sedimentary,1008.73,1007,0.94,0.67,68,68,0.39,0.55,19.34,29.36,10.84,-6.95,29.4,10.9,-6.8,93.98921334,8019.471,1313.694,9216.246,49.808,17688.50556,6217.003141,8069.279,10529.94,Atmospheric,14.54477908
NLA06608-0033,1,0.15,0.01,0.15,0.01,84761.52314,732.43,1440,903,189,Sedimentary,Sedimentary,1910.67,1766,1.87,0.45,74,74,0.37,0.56,12.38,22.08,5.65,-5.9,23,6,-6.1,2.1,0,0,276.108,8.773,2773.564701,63.03835157,8.773,276.108,Atmospheric,5.025413557
NLA06608-0036,1,0.4,0.13,0.4,0.23,186378.3105,113.39,185,141,17,Sedimentary,Sedimentary,1213,1214,1.13,0.78,69,69,0.45,0.55,22.6,31.55,13.85,-4.3,31.5,13.8,-4.3,37.3,0,0,0,0,1647.114528,248.4415135,0,0,Atmospheric,13.45016222
NLA06608-0037,1,0.05,0.18,0.18,0.32,8398109.105,211.27,450,325,65,Sedimentary,Sedimentary,1295.64,1283,1.22,0.59,66.86,66,0.51,0.6,17.21,26.53,8.38,-9.73,27.1,8.6,-9.6,61.09796229,5317.781,9398.234,3939.318,1144.532,40421.98553,12380.85252,6462.313,13337.552,Atmospheric,10.84957876
NLA06608-0038,1,1.61,0.27,1.61,0.44,8944497.28,358.73,831,454,110,Granitic,Sedimentary,1158.78,1126,1.3,0.5,67.8,68,0.51,0.59,14.15,24.26,3.97,-17.45,24.7,4.2,-17.6,23.3,1130.304,2224.416,630.288,67.574,21329.53378,3277.876778,1197.878,2854.704,Atmospheric,8.246387129
NLA06608-0041,1,1.47,0.04,1.47,0.08,103613570,501.84,1436,887,206,Sedimentary,Sedimentary,1423.36,1224,1.13,0.64,72.8,73,0.45,0.6,18.66,25.73,9.05,-7.81,27.3,10.5,-6.6,28.92553405,76009.008,10663.776,210054.983,4721.231,2451235.224,327831.8635,80730.239,220718.759,Atmospheric,11.76343809
NLA06608-0042,1,0.64,0.07,0.64,0.11,3833918.613,2626,3998,3095,277,Gneiss,Gneiss,840.38,670,0.65,0.38,58.78,59,0.32,0.42,11.03,16.9,-1.08,-15.91,19.6,0.8,-14.2,0.500052018,0,0,18453.354,0,24072.12535,238.7959549,0,18453.354,Atmospheric,2.741711247
NLA06608-0043,1,1.98,0.01,1.98,0.02,1238233.769,273.03,327,291,11,Sedimentary,Sedimentary,936.77,938,1.04,0.64,70.48,70,0.41,0.57,19.06,28.66,9.37,-9.08,28.6,9.4,-9.1,78.01552448,645293.566,197649.666,134130.756,6267.852,204360.7615,64031.96892,651561.418,331780.422,Fertilizer,13.54255935
NLA06608-0044,1,0.4,0.01,0.4,0.24,1190427.278,1097.9,1261,1162,32,Sedimentary,Sedimentary,476.75,489,0.44,0.61,59.61,60,0.31,0.46,19.5,30.38,8.17,-12.08,30.6,8.2,-12.1,0.324077254,0,0,0,14.012,73139.46823,356.5868826,14.012,0,Atmospheric,3.615380775
NLA06608-0045,1,0.04,0,0.04,0.01,137981.0264,65.73,136,100,13,Gneiss,Gneiss,1141.92,1140,1.11,0.77,66.89,67,0.46,0.55,21.93,31.37,13.82,-3.58,31.5,13.9,-3.5,31.74572462,63427.858,86075.028,28959.402,275.848,52937.8223,7282.796493,63703.706,115034.43,Manure,12.55082288
NLA06608-0048,1,0.56,0.11,0.56,0.19,51745.64392,92.55,98,93,1,Quaternary,Quaternary,1272,1272,1.08,0.82,71,71,0.38,0.55,23.32,32.4,14.6,-3.3,32.4,14.6,-3.3,4.9,1769.604,12.78,11.502,11.222,626.2224235,12.05543563,1780.826,24.282,Fertilizer,13.84397623
NLA06608-0049,1,0.12,0.03,0.12,0.03,144251.4866,2107.88,2432,2222,70,Sedimentary,Sedimentary,1536.6,1480,1.18,0.36,63,63,0.25,0.44,10.44,20.48,1.88,-11.28,21.6,2.4,-10.9,1.667207629,0,0,1287.036,0,1088.352797,36.67312822,0,1287.036,Manure,2.691104041
NLA06608-0050,1,0.14,0.19,0.19,0.32,188792.7263,196.17,359,224,31,Sedimentary,Sedimentary,1142,1142,1.15,0.55,69,69,0.5,0.58,16.23,27,6.8,-13.2,27,6.8,-13.2,37.5,0,0,0,0,606.744728,173.9373364,0,0,Atmospheric,7.114813537
NLA06608-0053,1,0.11,0,0.11,0,6627799.154,28.85,1145,226,152,Sedimentary,Mafic_UltraMafic,1070.56,1119,1.16,0.61,67.24,68,0.44,0.59,17.31,27.09,7,-12.97,27.7,7.3,-12.9,70.68320024,942980.741,1709737.946,591191.522,35549.8,2652348.105,1215284.735,978530.541,2300929.468,Atmospheric,8.390498083
NLA06608-0057,1,0.23,0,0.23,0.01,518304.4094,149.57,239,189,14,Sedimentary,Sedimentary,1230.68,1236,0.95,0.86,67,67,0.44,0.51,23.24,32.17,16.08,-0.2,32.3,16.1,-0.3,207.7676885,208677.816,625393.332,65656.177,7337.103,228142.0922,152533.8919,216014.919,691049.509,Manure,16.90192364
NLA06608-0061,1,1.11,0.05,1.11,0.26,28400509.74,335,2555,1189,398,Granitic,Gneiss,386.61,201,0.05,1.21,45.65,40,0.07,0.21,30.63,35.35,15.97,-0.72,42.3,21.3,1.7,1.733957023,53255.11,313759.529,648506.797,962.865,2915668.41,107569.946,54217.975,962266.326,Atmospheric,2.556257318
NLA06608-0062,1,1.28,0.12,1.28,1.13,514208.3073,562.29,625,582,14,Sedimentary,Sedimentary,446.5,447,0.52,0.57,66,66,0.39,0.53,17.29,28.29,4.58,-19.5,28.3,4.6,-19.5,1.103984406,7192.634,158.268,3927.628,14.752,3936.494068,48.95292888,7207.386,4085.896,Fertilizer,4.828507586
NLA06608-0064,1,0.9,0.05,0.9,1.02,235773.0131,1208,1304,1252,21,Sedimentary,Sedimentary,376.32,377,0.29,0.49,60,59,0.31,0.41,15.43,25.54,4.86,-13.32,25.8,5,-13.4,2.4,16729.564,578.102,3031.371,6.84,4229.635512,192.4974493,16736.404,3609.473,Fertilizer,2.868192297
NLA06608-0065,1,0.72,0.44,0.72,7.2,4510619.027,766.43,1216,820,64,Gneiss,Gneiss,410.03,373,0.31,0.55,62.33,62,0.18,0.4,17.61,28.42,6.36,-10.15,28.9,6.7,-10,4.190345526,575.4,5.985,3333.15,196.54,8290.273854,749.7275985,771.94,3339.135,Atmospheric,2.520195739
NLA06608-0066,1,0.31,0.04,0.31,0.09,54404316.04,439.26,1018,744,98,Sedimentary,Sedimentary,1252.78,1166,1.14,0.61,74.13,71,0.43,0.58,17.63,25.89,8.66,-8.03,27.8,9.4,-7.8,55.57769066,1050486.741,406876.94,507569.245,17065.416,1428592.572,337210.0007,1067552.157,914446.185,Atmospheric,12.80641283
NLA06608-0068,1,0.57,0.13,0.57,0.14,3588108.266,2959.6,4228,3421,299,Sedimentary,Sedimentary,1074.52,821,0.81,0.34,53.13,53,0.22,0.34,9.92,16.98,-0.08,-15.42,21,2.1,-14.8,3.48307533,0,0,1964.205,3.47,9586.149585,668.2360423,3.47,1964.205,Atmospheric,2.71766694
NLA06608-0069,1,0.39,0.07,0.39,0.61,303357.98,11.26,19,15,2,Quaternary,Quaternary,1326.2,1326,1.06,1.08,73,73,0.53,0.6,25.86,33.08,21.86,8.86,33.1,21.9,8.8,287.4573704,1165.638,60.915,1067.436,2814.735,3740.220344,6054.604812,3980.373,1128.351,Sewage,9.658371223
NLA06608-0071,1,0.9,0.17,0.9,0.45,6804871.274,15.17,26,18,1,Quaternary,Quaternary,1555.49,1555,1.36,0.96,73.13,74,0.53,0.61,24.69,33.52,18.7,2.75,33.6,18.7,2.8,27.35215171,104897.947,28.17931,3135.853,220.13,25356.90191,4294.929216,105118.077,3164.03231,Fertilizer,8.783158808
NLA06608-0072,1,0.29,0.02,0.29,0.07,163475.5727,429.56,482,451,12,Sedimentary,Sedimentary,757.55,759,1.23,0.92,62,62,0.56,0.62,23.47,35.19,17.8,0,35.2,17.8,0,20.2,18685.952,19683.328,12195.654,19.84,7418.316499,763.6840504,18705.792,31878.982,Manure,10.67239931
NLA06608-0073,1,10.7,146.95,146.95,181.45,16107896.55,1216.87,1250,1219,7,Quaternary,Quaternary,125.5,126,0.06,0.67,50,50,0.11,0.23,21.78,33.5,11.1,-6.9,33.5,11.1,-6.9,2.7,0,0,46.644,4.545,299.2126053,27.87938588,4.545,46.644,Atmospheric,1.576084528
NLA06608-0076,1,1.04,0.11,1.04,0.42,55925978.67,264.36,333,296,17,Sedimentary,Sedimentary,985.41,980,0.93,0.74,65.38,66,0.47,0.56,21.73,31.33,11.6,-8.81,31.5,11.8,-8.5,39.56074491,1494341.846,156541.562,618165.379,22173.81524,539755.4939,116840.0221,1516515.661,774706.941,Fertilizer,9.940058961
NLA06608-0077,1,0.35,0.07,0.35,0.11,402424.686,238.18,346,266,26,Sedimentary,Sedimentary,1332.17,1330,1.3,0.61,66,66,0.44,0.56,18.16,28.03,9.22,-8.23,28.2,9.2,-8.2,540.6364383,0,0,77.529,850.436,6018.059345,13910.32897,850.436,77.529,Sewage,12.72164983
NLA06608-0078,1,0.61,0.49,0.61,0.82,56659.91522,456.67,460,457,1,Sedimentary,Sedimentary,433,433,0.44,0.57,66,66,0.39,0.55,17.02,28,4.1,-20.4,28,4.1,-20.4,1.2,33.408,0.696,20.524,0.054,109.5053428,1.682382415,33.462,21.22,Atmospheric,4.248258094
NLA06608-0079,1,1.22,0.52,1.22,0.68,19900029.63,2934,3646,3289,189,Volcanic,Volcanic,1162.64,1032,0.72,0.34,56.6,56,0.24,0.36,10.43,18.53,-0.04,-15.55,20.2,0.2,-16.7,4.2,0,0,14471.072,0,15358.84604,1200.628964,0,14471.072,Atmospheric,2.922255066
NLA06608-0080,1,0.26,0.12,0.26,0.34,629107.0062,51.5,60,54,1,Quaternary,Quaternary,1330.83,1330,1.11,0.9,70,70,0.51,0.6,24.06,33.7,17.1,0.1,33.7,17,0.1,3.6,26181.144,859.482,521.566,57.04,4836.873855,91.19523526,26238.184,1381.048,Fertilizer,10.38518345
NLA06608-0081,1,0.65,0.16,0.65,0.27,236291.6129,42.78,94,61,12,Quaternary,Quaternary,1232,1232,1.13,0.6,74,74,0.47,0.62,15.32,23.4,10.3,0.6,23.4,10.3,0.6,81.4,0,0,35.784,55,886.4269861,563.1741876,55,35.784,Atmospheric,6.968570395
NLA06608-0083,1,0.54,0.03,0.54,0.4,257813.1778,590.81,634,601,7,Sedimentary,Sedimentary,486.95,485,0.54,0.59,66,66,0.46,0.54,17.79,28.66,5.06,-18.52,28.7,5.1,-18.5,1.3,26107.278,1504.947,10333.336,30.532,8976.678936,121.9884719,26137.81,11838.283,Fertilizer,5.203065728
NLA06608-0085,1,0.5,0.01,0.5,0.17,211028.5087,973.07,1624,1150,128,Volcanic,Volcanic,481.93,360,0.25,0.64,56.11,55,0.16,0.32,20.71,31.85,9.07,-7.23,32.6,9.8,-6.8,24.96595172,3425.643,2603.754,47511.945,2491.879,49059.0103,13651.67782,5917.522,50115.699,Manure,4.879776571
NLA06608-0086,1,0.29,0.02,0.29,0.04,5016418.078,55.6,679,172,131,Volcanic,Volcanic,1720.7,1389,1.38,0.62,67.78,68,0.39,0.56,16.61,25.8,10.84,0.05,26.3,11.1,0.2,444.3728337,74526.72,106586.31,68371.484,22567.608,113141.1783,371643.3236,97094.328,174957.794,Sewage,7.358019287
NLA06608-0089,1,0.19,0.01,0.19,0.03,28681160.16,301.83,1805,547,245,Sedimentary,Sedimentary,1301.81,1253,0.83,0.77,69.63,68,0.4,0.5,22.27,29.74,13.42,-2.96,30.7,14.3,-2.3,139.1132358,637979.267,478243.909,414324.743,116622.436,2517461.64,2137346.071,754601.703,892568.652,Atmospheric,8.912007141
NLA06608-0090,1,0.88,0.31,0.88,0.86,223397.304,2812,2953,2884,38,Gneiss,Gneiss,716,710,0.51,0.36,55,55,0.24,0.43,11.93,21.05,0.85,-14.8,21,0.9,-14.6,1.1,0,0,321.732,0,247.5293092,8.385459514,0,321.732,Manure,1.766084616
NLA06608-0091,1,0.07,0.16,0.16,0.32,3915155.845,211.77,237,219,6,Sedimentary,Sedimentary,998.5,997,1.12,0.65,67.2,67,0.45,0.57,19.35,29.03,9.69,-9.87,29.1,9.7,-9.9,484.124488,53127.537,2323.753,1488.425,14925.378,29080.65002,56144.92167,68052.915,3812.178,Fertilizer,13.63859833
NLA06608-0099,1,1.59,0.08,1.59,0.26,19033640.36,262.37,403,300,23,Sedimentary,Sedimentary,856.95,866,1.05,0.62,70.07,70,0.46,0.59,18.26,28.17,7.82,-12.62,28.5,8.1,-12.4,286.3185841,316256.291,190966.429,64636.657,28444.939,263364.955,359689.5548,344701.23,255603.086,Sewage,11.40246518
NLA06608-0101,1,0.78,0.26,0.78,0.44,1969469.825,532.8,746,582,43,Sedimentary,Sedimentary,1368.25,1360,1.19,0.56,66,66,0.51,0.6,16.01,24.7,6.31,-11.4,24.9,6.5,-11.3,38.19888622,0,0,21.661,24.644,6237.126873,1304.453529,24.644,21.661,Atmospheric,9.934035906
NLA06608-0102,1,0.94,0.52,0.94,0.69,6405770.742,330.37,803,441,99,Granitic,Sedimentary,1219.8,1164,1.28,0.53,67.67,67,0.46,0.6,15.03,24.96,5,-15.42,25.7,5.5,-15.1,9.24067293,85.896,26.808,64.44,11.96,5405.578126,480.3214582,97.856,91.248,Atmospheric,5.656304969
NLA06608-0104,1,0.18,0.22,0.22,0.46,341861.5957,479.33,506,484,6,Sedimentary,Sedimentary,767.5,768,0.89,0.82,63,63,0.49,0.57,22.55,34.5,13.75,-6.45,34.5,13.8,-6.4,3.1,36.516,0.804,800.088,12.81,1590.91503,29.59660071,49.326,800.892,Atmospheric,9.063290576
NLA06608-0105,1,0.6,0.01,0.6,0.02,17301289.41,1820,3542,2443,309,Volcanic,Volcanic,458.65,222,0.24,0.57,51.91,49,0.13,0.25,18.87,25.84,5.44,-11.58,31.1,8.7,-10.1,2.839778616,245066.226,228106.141,676744.6,1053.384,1352007.152,95164.98566,246119.61,904850.741,Atmospheric,2.194347205
NLA06608-0107,1,0.72,0.26,0.72,0.52,169966.6317,300.77,325,309,7,Sedimentary,Sedimentary,940,938,1.06,0.63,71,71,0.43,0.59,18.59,28.6,9.2,-9.3,28.6,9.3,-9.2,92.9,1562.368,172.679,170.166,16.16,761.3713946,307.0968244,1578.528,342.845,Fertilizer,12.52725746
NLA06608-0110,1,3.42,0.47,3.42,2.11,5021435.353,437.86,495,453,8,Gneiss,Gneiss,642.7,641,0.64,0.56,68.67,69,0.44,0.56,17.46,26.78,4.2,-20.91,26.8,4.2,-20.9,26.1,10832.38,4066.504,1388.034,33.748,11061.38847,2400.066179,10866.128,5454.538,Atmospheric,6.542534085
NLA06608-0111,1,0.32,0.14,0.32,0.28,29435178,286.66,399,339,20,Sedimentary,Sedimentary,1014.5,1004,1.03,0.62,69.83,69,0.5,0.57,18.16,28.28,9.7,-7.53,28.6,9.8,-7.4,176.664843,302423.76,56151.78,37711.352,7793.532,347030.3841,198138.6761,310217.292,93863.132,Atmospheric,16.82935357
NLA06608-0112,1,0.17,0.1,0.17,0.33,5287479.531,160.22,206,172,6,Sedimentary,Sedimentary,1001.82,1001,0.85,0.73,69,69,0.45,0.54,21.67,31.05,12.03,-6.95,31.1,12.1,-6.9,29.86837642,410748.485,16769.718,26415.077,475.416,74937.58495,10606.24009,411223.901,43184.795,Fertilizer,11.47807118
NLA06608-0113,1,NA,0.15,0.15,0.24,4247277.254,396.91,651,499,60,Sedimentary,Sedimentary,1181.67,1144,1.29,0.49,67.2,66,0.55,0.64,13.74,24.03,3.78,-17.48,24.3,3.8,-17.5,24.62768947,8245.125,29805.3,6215.438,88.792,21176.32677,2945.482775,8333.917,36020.738,Manure,9.630234673
NLA06608-0115,1,0.16,2.84,2.84,5.8,415879.5961,271.25,283,275,3,Sedimentary,Sedimentary,828,828,0.78,0.59,70,70,0.44,0.58,17.75,28.2,6.9,-14.5,28.2,6.9,-14.5,80.2,0,0,0,4.26,198.8287695,81.52119325,4.26,0,Atmospheric,10.63903221
NLA06608-0116,1,1.09,0,1.09,0,26189246.83,1625.22,4358,2618,472,Volcanic,Sedimentary,516.2,276,0.3,0.68,51.96,45,0.16,0.34,21.45,24.99,5.23,-13.22,33.4,12,-7.5,17.69428354,8975592.675,384847.631,5284275.994,29686.323,5676965.072,2750973.281,9005278.998,5669123.625,Fertilizer,1.986012103
NLA06608-0120,1,0.3,0,0.3,0.12,504047779,220.49,4394,1062,710,Sedimentary,Sedimentary,583.33,1021,1.29,0.86,57.36,64,0.56,0.6,23.02,32.86,12.13,-7.84,33.9,15.2,-4.2,39.25017988,407406953.6,86089040.4,112045547.3,2440807.682,119627442.2,39760736.51,409847761.3,198134587.7,Fertilizer,6.422987943
NLA06608-0124,1,0.52,0.08,0.52,0.49,106568.4196,1140.27,1207,1158,15,Sedimentary,Sedimentary,486.33,486,0.51,0.61,60,60,0.33,0.47,19.49,30.73,8.27,-12,30.8,8.3,-12,0.3,0,0,0,0,1086.589289,4.119833914,0,0,Atmospheric,4.303541795
NLA06608-0126,1,0.95,0.16,0.95,1.15,103365.6422,569.53,598,580,7,Sedimentary,Sedimentary,457,457,0.56,0.57,66,66,0.46,0.57,17.27,28.2,4.5,-19.7,28.2,4.5,-19.7,1.3,3212.016,89.792,523.566,7.491,593.0666723,8.174609267,3219.507,613.358,Fertilizer,5.129782211
NLA06608-0127,1,1.55,0.07,1.55,1.14,594179.1902,2106.3,2288,2166,28,Volcanic,Volcanic,324.18,299,0.36,0.54,45,45,0.18,0.28,17.88,27.91,8.8,-9.1,28.3,9,-9.1,36.19468957,0,0,1795.462,6.942,5792.398329,4467.114531,6.942,1795.462,Atmospheric,2.552673367
NLA06608-0128,1,0.1,0,0.1,0.11,62613.090150000004,787.37,878,825,21,Sedimentary,Sedimentary,317.28,315,0.31,0.57,59,59,0.34,0.42,18.15,29.11,5.39,-16.8,29.5,5.7,-16.3,0.6,1331.68,28.768,15114.457,2.124,11760.8539,143.0570745,1333.804,15143.225,Manure,2.682871207
NLA06608-0129,1,12.82,6.11,12.82,19.14,238291225,1203,1895,1370,138,Gneiss,Gneiss,585.41,537,0.45,0.48,63.17,63,0.2,0.4,14.91,25.25,4.27,-10.36,26,4.9,-10.1,11.87200574,0,0,6272.2,0,20991.43894,5555.8549,0,6272.2,Atmospheric,2.43968902
NLA06608-0130,1,0.43,0.22,0.43,2.68,503629.4831,1168.89,1567,1278,76,Quaternary,Quaternary,502,488,0.37,0.86,39,39,0.41,0.32,23.63,34.13,16.54,-0.67,34.2,16.5,-0.9,22.8,0,0,1466.08,0.91,1455.801407,781.3132544,0.91,1466.08,Manure,2.310632346
NLA06608-0132,1,0.84,0.7,0.84,4.26,1686164.97,2222,2585,2264,50,Sedimentary,Sedimentary,338.56,317,0.35,0.56,54,54,0.35,0.36,17.48,27.54,8.47,-8.58,28.1,8.8,-8.5,3.1,0,0,167.314,2.223,1725.358748,118.4083646,2.223,167.314,Atmospheric,2.456845123
NLA06608-0134,1,2.35,1.98,2.35,2.74,7575929.754,285.96,341,300,16,Sedimentary,Sedimentary,1367.5,1368,1.29,0.58,66,66,0.49,0.58,16.98,26.3,7.55,-10.85,26.3,7.6,-10.8,177.5819755,26.887,47.518,22.428,155.136,3654.008419,2858.070446,182.023,69.946,Atmospheric,12.34850996
NLA06608-0137,1,0.28,0.33,0.33,0.8,11072853.94,2163.46,3745,2870,340,Sedimentary,Sedimentary,1033.34,533,0.43,0.38,58.47,57,0.37,0.42,9.96,19.37,2.61,-11.08,23.9,4.9,-10.7,1.094276261,0,0,2883.479,17.658,13227.90904,464.5157654,17.658,2883.479,Atmospheric,1.694871505
