SITE_ID,VISIT_NO,RES_PIPES,AGR_CROPLAND,AGR_PASTURE,AGR_LIVESTOCK,AGR_ORCHARDS,AGR_POULTRY,AGR_FEEDLOT,AGR_WITHDRAWL,IND_INDUSTRIAL,IND_MINES,IND_OIL,IND_POWER,IND_LOGGING,IND_FIRE,IND_ODORS,IND_COMMERCIAL,MAN_LEVEL_FLUCTUATIONS,RES_SCORE,REC_SCORE,AGR_SCORE,IND_SCORE,MAN_SCORE,HYDRO_TYPE,OUTLET_DAMS,SWIMMABILITY,LAKE_LEVEL,LEVEL_CHANGES,TROPHIC_STATE
NLA06608-0016,1,NA,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,L,9,3,3,0,2,RESERVOIR,ARTIFICIAL,GOOD,YES,0.3,MESOTROPHIC
NLA06608-0016,2,NA,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,L,9,3,3,0,2,RESERVOIR,ARTIFICIAL,GOOD,YES,0.3,MESOTROPHIC
NLA06608-0019,1,NA,L,H,M,NA,NA,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,L,2,0,10,0,1,SEEPAGE,NONE,FAIR,YES,1.7,EUTROPHIC
NLA06608-0019,2,NA,L,M,M,NA,NA,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,8,0,0,SEEPAGE,NONE,FAIR,YES,1.5,HYPEREUTROPHIC
NLA06608-0020,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,0,0,10,RESERVOIR,NONE,GOOD,NA,0.1,EUTROPHIC
NLA06608-0020,2,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,L,6,6,0,0,7,RESERVOIR,ARTIFICIAL,GOOD,NO,NA,EUTROPHIC
NLA06608-0021,1,NA,M,L,L,M,L,L,M,NA,NA,NA,NA,NA,NA,NA,L,NA,3,10,13,1,7,DRAINAGE,NONE,GOOD,YES,NA,OLIGOTROPHIC
NLA06608-0021,2,NA,M,M,NA,L,NA,NA,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,6,10,0,3,DRAINAGE,NONE,GOOD,NA,NA,OLIGOTROPHIC
NLA06608-0023,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,H,NA,0,0,0,5,0,RESERVOIR,ARTIFICIAL,UNSWIMMABLE,YES,NA,MESOTROPHIC
NLA06608-0023,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,H,NA,0,0,0,5,0,RESERVOIR,ARTIFICIAL,UNSWIMMABLE,NA,NA,MESOTROPHIC
NLA06608-0024,1,NA,L,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,L,12,11,2,0,10,RESERVOIR,ARTIFICIAL,GOOD,YES,2,EUTROPHIC
NLA06608-0024,2,NA,L,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,L,12,11,2,0,10,RESERVOIR,ARTIFICIAL,GOOD,YES,2,EUTROPHIC
NLA06608-0025,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,0,0,1,RESERVOIR,ARTIFICIAL,UNSWIMMABLE,NO,NA,MESOTROPHIC
NLA06608-0025,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,0,0,1,RESERVOIR,ARTIFICIAL,UNSWIMMABLE,NO,NA,EUTROPHIC
NLA06608-0029,1,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,0,0,0,0,RESERVOIR,ARTIFICIAL,FAIR,NO,NA,NA
NLA06608-0029,2,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,1,0,0,3,RESERVOIR,ARTIFICIAL,FAIR,NO,NA,EUTROPHIC
NLA06608-0031,1,NA,L,L,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,3,0,0,RESERVOIR,ARTIFICIAL,FAIR,YES,1,EUTROPHIC
NLA06608-0031,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NLA06608-0033,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M,NA,NA,NA,NA,1,6,0,3,0,DRAINAGE,NATURAL,UNSWIMMABLE,NO,NA,EUTROPHIC
NLA06608-0033,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M,NA,NA,NA,L,1,7,0,3,2,DRAINAGE,NATURAL,UNSWIMMABLE,YES,0.1,EUTROPHIC
NLA06608-0036,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,11,0,0,1,RESERVOIR,NONE,GOOD,NO,NA,EUTROPHIC
NLA06608-0036,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,11,0,0,1,RESERVOIR,NONE,GOOD,NO,NA,EUTROPHIC
NLA06608-0037,1,M,L,L,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,L,NA,17,8,3,1,6,DRAINAGE,ARTIFICIAL,GOOD,NO,NA,EUTROPHIC
NLA06608-0037,2,M,L,L,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,L,L,17,7,3,1,8,DRAINAGE,ARTIFICIAL,GOOD,YES,0.6,EUTROPHIC
NLA06608-0038,1,M,NA,NA,NA,NA,NA,NA,L,L,NA,NA,NA,L,NA,NA,L,L,14,9,1,3,8,DRAINAGE,ARTIFICIAL,GOOD,YES,1,MESOTROPHIC
NLA06608-0038,2,L,L,L,L,NA,NA,NA,L,L,NA,NA,NA,M,NA,NA,L,M,12,8,4,5,12,DRAINAGE,ARTIFICIAL,GOOD,NA,0.2,MESOTROPHIC
NLA06608-0041,1,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,M,M,10,15,7,10,15,RESERVOIR,ARTIFICIAL,GOOD,YES,10,MESOTROPHIC
NLA06608-0041,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,H,6,10,0,0,11,RESERVOIR,ARTIFICIAL,GOOD,YES,10,OLIGOTROPHIC
NLA06608-0042,1,NA,NA,NA,L,NA,NA,NA,L,NA,NA,NA,NA,NA,NA,NA,NA,L,3,2,2,0,3,RESERVOIR,ARTIFICIAL,GOOD,NO,NA,OLIGOTROPHIC
NLA06608-0042,2,NA,NA,NA,L,NA,NA,NA,L,NA,NA,NA,NA,L,NA,NA,NA,L,5,4,2,1,3,RESERVOIR,ARTIFICIAL,GOOD,YES,NA,OLIGOTROPHIC
NLA06608-0043,1,NA,M,M,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,3,9,0,4,DRAINAGE,NONE,GOOD,NO,NA,EUTROPHIC
NLA06608-0043,2,L,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,4,1,0,0,DRAINAGE,NONE,FAIR,NO,NA,EUTROPHIC
NLA06608-0044,1,NA,NA,H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,5,0,0,SEEPAGE,NONE,UNSWIMMABLE,NO,NA,EUTROPHIC
NLA06608-0044,2,NA,NA,H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,5,0,0,SEEPAGE,NONE,UNSWIMMABLE,NO,NA,EUTROPHIC
NLA06608-0045,1,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,6,0,0,1,RESERVOIR,ARTIFICIAL,FAIR,YES,0.2,MESOTROPHIC
NLA06608-0045,2,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,4,0,0,0,RESERVOIR,ARTIFICIAL,FAIR,NA,0.2,MESOTROPHIC
NLA06608-0048,1,NA,M,H,H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M,M,0,3,13,3,4,SEEPAGE,NONE,UNSWIMMABLE,YES,NA,EUTROPHIC
NLA06608-0048,2,NA,NA,H,H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,10,0,0,SEEPAGE,NONE,UNSWIMMABLE,YES,2,HYPEREUTROPHIC
NLA06608-0049,1,NA,NA,NA,M,NA,NA,NA,NA,NA,NA,NA,NA,L,H,NA,NA,H,0,2,3,6,5,RESERVOIR,ARTIFICIAL,FAIR,YES,3,MESOTROPHIC
NLA06608-0050,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,2,DRAINAGE,NONE,FAIR,NA,NA,NA
NLA06608-0050,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,0,1,NA,ARTIFICIAL,GOOD,NO,NA,NA
NLA06608-0053,1,NA,M,M,M,L,L,L,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,13,0,7,DRAINAGE,NATURAL,FAIR,YES,1,EUTROPHIC
NLA06608-0053,2,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,1,0,0,0,DRAINAGE,NONE,FAIR,NA,NA,EUTROPHIC
NLA06608-0057,1,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,3,0,0,3,RESERVOIR,ARTIFICIAL,UNSWIMMABLE,NO,NA,MESOTROPHIC
NLA06608-0057,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,3,0,0,1,RESERVOIR,ARTIFICIAL,FAIR,YES,0.2,EUTROPHIC
NLA06608-0061,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,H,0,10,0,0,7,RESERVOIR,ARTIFICIAL,FAIR,YES,NA,EUTROPHIC
NLA06608-0061,2,NA,NA,NA,NA,NA,NA,NA,M,NA,L,NA,NA,NA,L,NA,NA,M,2,4,3,2,7,RESERVOIR,ARTIFICIAL,FAIR,YES,10,EUTROPHIC
NLA06608-0062,1,NA,H,H,H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,15,0,0,SEEPAGE,NONE,UNSWIMMABLE,YES,-0.5,EUTROPHIC
NLA06608-0062,2,NA,H,H,H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,15,0,0,SEEPAGE,NONE,UNSWIMMABLE,YES,0.75,EUTROPHIC
NLA06608-0064,1,NA,H,H,M,NA,NA,NA,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,14,0,0,DRAINAGE,NONE,GOOD,YES,0.3,EUTROPHIC
NLA06608-0064,2,NA,H,H,M,NA,NA,NA,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,14,0,0,DRAINAGE,NONE,FAIR,YES,1,EUTROPHIC
NLA06608-0065,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,0,0,0,SEEPAGE,NONE,GOOD,YES,1,MESOTROPHIC
NLA06608-0065,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,L,4,3,0,0,1,SEEPAGE,NONE,GOOD,YES,2.5,EUTROPHIC
NLA06608-0066,1,NA,NA,L,NA,NA,NA,NA,NA,NA,NA,NA,L,NA,NA,NA,NA,H,3,11,1,1,13,RESERVOIR,ARTIFICIAL,GOOD,YES,20,MESOTROPHIC
NLA06608-0066,2,NA,NA,L,NA,NA,NA,NA,NA,NA,NA,NA,L,NA,NA,NA,NA,H,3,10,1,1,13,RESERVOIR,ARTIFICIAL,FAIR,YES,20,NA
NLA06608-0068,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,0,0,3,RESERVOIR,ARTIFICIAL,GOOD,NO,NA,MESOTROPHIC
NLA06608-0068,2,L,NA,NA,NA,NA,NA,NA,H,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,3,5,0,2,RESERVOIR,ARTIFICIAL,FAIR,NA,NA,MESOTROPHIC
NLA06608-0069,1,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,L,12,1,0,0,3,DRAINAGE,ARTIFICIAL,GOOD,NO,NA,MESOTROPHIC
NLA06608-0069,2,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,1,0,0,6,DRAINAGE,NONE,GOOD,NO,NA,MESOTROPHIC
NLA06608-0071,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,4,0,0,3,SEEPAGE,NATURAL,GOOD,NO,NA,MESOTROPHIC
NLA06608-0071,2,NA,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,3,3,0,3,SEEPAGE,NONE,GOOD,NO,NA,MESOTROPHIC
NLA06608-0072,1,NA,H,H,H,NA,NA,H,NA,NA,NA,NA,NA,NA,NA,NA,NA,L,3,2,20,0,1,DRAINAGE,ARTIFICIAL,FAIR,YES,1.5,EUTROPHIC
NLA06608-0072,2,NA,M,M,M,NA,NA,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,L,3,2,12,0,3,DRAINAGE,ARTIFICIAL,UNSWIMMABLE,YES,1,HYPEREUTROPHIC
NLA06608-0073,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,H,NA,NA,NA,NA,NA,NA,NA,1,1,0,5,0,RESERVOIR,NONE,FAIR,NO,NA,MESOTROPHIC
NLA06608-0073,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,H,NA,NA,NA,NA,NA,NA,NA,6,5,0,5,0,SEEPAGE,NONE,FAIR,NO,NA,OLIGOTROPHIC
NLA06608-0076,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,0,0,1,RESERVOIR,ARTIFICIAL,FAIR,NO,NA,EUTROPHIC
NLA06608-0076,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,L,NA,7,5,0,1,3,RESERVOIR,ARTIFICIAL,FAIR,NO,NA,EUTROPHIC
NLA06608-0077,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,H,NA,NA,NA,NA,L,NA,L,3,3,0,6,2,RESERVOIR,ARTIFICIAL,UNSWIMMABLE,YES,0.1,EUTROPHIC
NLA06608-0077,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,H,NA,NA,NA,NA,M,NA,L,3,3,0,8,2,RESERVOIR,ARTIFICIAL,UNSWIMMABLE,YES,0.2,EUTROPHIC
NLA06608-0078,1,NA,NA,L,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,2,0,0,DRAINAGE,NONE,FAIR,YES,0.5,EUTROPHIC
NLA06608-0078,2,NA,M,L,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,5,0,0,SEEPAGE,NONE,UNSWIMMABLE,NA,NA,EUTROPHIC
NLA06608-0079,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,0,0,1,DRAINAGE,NONE,GOOD,NO,NA,OLIGOTROPHIC
NLA06608-0079,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,0,0,4,DRAINAGE,NA,GOOD,NO,NA,MESOTROPHIC
NLA06608-0080,1,L,M,NA,NA,NA,NA,NA,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,3,6,0,2,SEEPAGE,NATURAL,UNSWIMMABLE,NO,NA,EUTROPHIC
NLA06608-0080,2,NA,M,NA,NA,NA,NA,NA,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,3,6,0,2,SEEPAGE,NATURAL,UNSWIMMABLE,YES,0,EUTROPHIC
NLA06608-0081,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,0,0,1,SEEPAGE,NONE,FAIR,NO,NA,EUTROPHIC
NLA06608-0081,2,NA,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M,NA,NA,NA,NA,5,7,1,3,5,DRAINAGE,NONE,GOOD,NO,NA,MESOTROPHIC
NLA06608-0083,1,NA,NA,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,0,SEEPAGE,NONE,GOOD,NO,NA,MESOTROPHIC
NLA06608-0083,2,NA,NA,L,M,NA,NA,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,5,0,0,SEEPAGE,NONE,FAIR,YES,0.8,MESOTROPHIC
NLA06608-0085,1,NA,NA,NA,H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,7,5,0,2,RESERVOIR,ARTIFICIAL,UNSWIMMABLE,NO,NA,EUTROPHIC
NLA06608-0085,2,NA,L,NA,H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,L,NA,NA,5,6,6,1,0,RESERVOIR,ARTIFICIAL,UNSWIMMABLE,YES,6,EUTROPHIC
NLA06608-0086,1,NA,M,NA,NA,NA,NA,NA,NA,L,NA,NA,NA,NA,NA,NA,L,NA,8,8,3,2,5,RESERVOIR,ARTIFICIAL,GOOD,NO,NA,EUTROPHIC
NLA06608-0086,2,L,NA,NA,NA,NA,NA,NA,NA,L,NA,NA,NA,NA,NA,NA,L,H,12,11,0,2,8,RESERVOIR,ARTIFICIAL,FAIR,YES,1.9,EUTROPHIC
NLA06608-0089,1,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,L,NA,NA,NA,NA,NA,14,3,0,1,1,RESERVOIR,ARTIFICIAL,GOOD,YES,0.5,MESOTROPHIC
NLA06608-0089,2,NA,NA,NA,NA,NA,NA,NA,L,NA,NA,NA,NA,NA,NA,NA,NA,L,5,4,1,0,3,RESERVOIR,ARTIFICIAL,GOOD,YES,0.3,EUTROPHIC
NLA06608-0090,1,NA,NA,NA,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,M,NA,NA,L,0,3,1,3,3,SEEPAGE,NONE,GOOD,YES,NA,MESOTROPHIC
NLA06608-0090,2,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,L,NA,NA,NA,1,2,0,1,2,SEEPAGE,NONE,FAIR,NO,NA,OLIGOTROPHIC
NLA06608-0091,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,L,NA,14,4,0,1,1,SEEPAGE,NONE,FAIR,NO,NA,EUTROPHIC
NLA06608-0091,2,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,L,L,NA,17,6,0,2,0,SEEPAGE,NONE,FAIR,NO,NA,EUTROPHIC
NLA06608-0099,1,L,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,L,NA,16,4,1,1,0,DRAINAGE,NONE,GOOD,YES,NA,MESOTROPHIC
NLA06608-0099,2,NA,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,L,NA,14,6,1,1,4,DRAINAGE,NONE,GOOD,YES,0.1,MESOTROPHIC
NLA06608-0101,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,L,3,3,0,0,1,RESERVOIR,ARTIFICIAL,GOOD,YES,0.2,OLIGOTROPHIC
NLA06608-0102,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,L,NA,NA,M,NA,7,1,0,4,3,NA,ARTIFICIAL,GOOD,YES,2.5,MESOTROPHIC
NLA06608-0104,1,NA,L,L,L,NA,NA,NA,NA,NA,NA,L,NA,NA,NA,NA,NA,NA,3,2,3,1,4,RESERVOIR,ARTIFICIAL,FAIR,NO,NA,MESOTROPHIC
NLA06608-0104,2,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,0,0,1,RESERVOIR,NONE,FAIR,NO,NA,EUTROPHIC
NLA06608-0105,1,NA,NA,NA,L,NA,NA,NA,M,NA,NA,NA,NA,NA,NA,NA,NA,M,2,4,4,0,9,RESERVOIR,ARTIFICIAL,GOOD,YES,5,MESOTROPHIC
NLA06608-0105,2,NA,NA,NA,M,NA,NA,NA,M,NA,NA,NA,NA,NA,NA,NA,NA,M,2,3,6,0,7,RESERVOIR,ARTIFICIAL,GOOD,YES,20,EUTROPHIC
NLA06608-0107,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,SEEPAGE,NONE,GOOD,NO,NA,MESOTROPHIC
NLA06608-0110,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,4,0,0,0,SEEPAGE,NONE,GOOD,NA,0.1,MESOTROPHIC
NLA06608-0111,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,13,0,0,0,RESERVOIR,ARTIFICIAL,GOOD,YES,1,EUTROPHIC
