,SITE_ID,DESIGN_YR,AGGR_ECO3_2015,AGGR_ECO9_2015,AREA_HA,AREACLS,BORD_LAKE,CAT_UNIQUE,CH0712_CAT,CH0712_USE,CH0712_WGT,CNTYNAME,COMID2007,COMID2012,COMIDS2007,DES_FTYPE,DSGN12,ELEVATION,EPA_REG,EVAL_NAME,EVALSTAT,FEOW_ID,FS_EW,FW_ECO3,FW_ECO9,GNIS_ID,GNIS_NAME,HUC2,HUC8,LAKE_ORIGIN,LAKE_ORIGIN12,LAT_DD83,LON_DD83,MAJ_BASIN,MDCATY,MISS_BASIN,NA_L1CODE,NA_L2CODE,NA_L3CODE,NARS_NAME,NES_LAKE,NESLAKE_ID,NESSTORET,OWN_TYPE,OWNSHP,PANEL,PERIM_KM,RCHCODE,RT_NLA12,SITEID_07,SITESAMP,SITETYPE,SIZE_CLASS,ST_DSGN,ST_MDCATY,ST_PANEL,ST_SITEID,ST_STRATUM,ST_WGT_ALL,ST_WGT_CAT,ST_WGT_DSGN,STATE,STATE_NLA,STATE_PCNT,STATECTY,STATUS,STATUS_ST,STRATUM,TNT,TNT_ST,URBAN,US_L3CODE,US_L3CODE_2015,US_L4CODE,US_L4CODE_2015,WGT_ALL,WGT_CAT,WGT_DSGN,XCOORD,YCOORD,RDis_IX,VERTDD,HORIZDD,LitCvrQc3OE,LitRipCvrQc3OE,RVegQc3OE,MICX,B_G_DENS,CHLA,PTL,NTL,TROPHIC_STATE,SEDHG_TOT_TOP,SEDHG_MTH_TOP,MMI_BENT_NLA12,DO2_2M,DIS_O2_CLS,TURB,RVEG_COND,LITCVR_COND,LITRIPCVR_COND,RDIS_COND,DRAWDOWN_COND,MICX_DETECT,MICX_REC,CYNX_REC,CHLX_REC,PTL_COND,NTL_COND,CHLA_COND,SEDHG_TOT_TOP_COND,SEDHG_MTH_TOP_COND,BENT_COND,TURB_COND,REVSAMP_0712
11,NLA06608-0024,2007,PLNLOW,CPL,9530.145377,NA,NA,NA,NLA07_RVT12,Include,2.1860872,SMITH,4451216,NA,NA,NA,NA,105.13,Region_6,NA,NA,141,NA,PLNLOW,CPL,NA,Lake Palestine,12,12020001,MAN_MADE,NA,32.18872936,-95.47435666,NA,0.12642225,NA,NA,NA,NA,Lake Palestine,NESLake,4824,NA,NA,NA,Panel_1,239.2874392,1.202E+13,S,NA,NA,PROB,>50,NA,NA,NA,NA,NA,NA,NA,NA,TX,NA,NA,NA,Target_Sampled,NA,NLALake,Target,NA,YES,NA,35,NA,35a,2.1860872,TX,NA,49316.2107,-593836.9228,NA,NA,NA,NA,NA,NA,0.26,18442.66667,44.15,35,860,Hypereutrophic,NA,1.22,NA,7,High (>=5 Ppm),5.68,Not Assessed,Not Assessed,Not Assessed,Not Assessed,Not Assessed,Detect,Low,Low,Moderate,Good,Poor,Poor,Not Assessed,High,Not Assessed,Poor,Y
12,NLA06608-0031,2007,EHIGH,SAP,24.24931458,NA,NA,NA,NLA07_RVT12,Include,28.8221929,NOBLE,15429940,NA,NA,NA,NA,241.93,Region_5,NA,NA,150,NA,EHIGH,SAP,NA,Caldwell Lake,5,5030201,MAN_MADE,NA,39.77597099,-81.52247236,NA,0.029431985,NA,NA,NA,NA,Caldwell Lake,,,NA,NA,NA,Panel_1,5.281604947,5.0302E+12,S,NA,NA,PROB,"(20,50]",NA,NA,NA,NA,NA,NA,NA,NA,OH,NA,NA,NA,Target_Sampled,NA,NLALake,Target,NA,YES,NA,70,NA,70b,28.8221929,OH,NA,1224202.64,348517.7093,0.327777778,0.2,0.57,0.803795452,1.246656491,1.598523236,0.05,15791.11111,5.26,32,428,Mesotrophic,57.66,NA,47,7.3,High (>=5 Ppm),8.82,Good,Good,Good,Fair,Medium,No Detect,No Detect,Low,Low,Fair,Poor,Fair,Medium,Not Assessed,Fair,Poor,Y
13,NLA06608-0033,2007,WMTNS,WMT,15.16452384,NA,NA,NA,NLA07_RVT12,Include,32.5493729,KITTITAS,24136857,NA,NA,NA,NA,732.43,Region_10,NA,NA,120,NA,WMTNS,WMT,NA,Swamp Lake,17,17030001,NATURAL,NA,47.31085035,-121.29956,NA,0.009077286,NA,NA,NA,NA,Swamp,,,NA,NA,NA,Panel_1,1.777964491,1.703E+13,T,NA,NA,PROB,"(10,20]",NA,NA,NA,NA,NA,NA,NA,NA,WA,NA,NA,NA,Target_Sampled,NA,NLALake,Target,NA,NO,NA,77,NA,77b,32.5493729,WA,NA,-1901277.508,1349868.011,0.023809524,NA,NA,0.816245602,0.418980492,0.281059664,0.05,16313.35531,8.92,67,835,Eutrophic,99.33,1.38,65.1,1.05,Low (<=3 Ppm),12.2,Poor,Good,Poor,Good,Not Assessed,No Detect,No Detect,Low,Low,Poor,Poor,Poor,Medium,High,Good,Poor,Y
14,NLA06608-0045,2007,EHIGH,SAP,28.83811387,NA,NA,NA,NLA07_RVT12,Include,18.6834939,AMELIA,8606221,NA,NA,NA,NA,65.73,Region_3,NA,NA,157,NA,EHIGH,SAP,NA,Beaver Pond,2,2080207,MAN_MADE,NA,37.29244811,-77.89349456,NA,0.027186658,NA,NA,NA,NA,Beaver Pond,,,NA,NA,NA,Panel_1,4.086384821,2.08021E+12,S,NA,NA,PROB,"(20,50]",NA,NA,NA,NA,NA,NA,NA,NA,VA,NA,NA,NA,Target_Sampled,NA,NLALake,Target,NA,NO,NA,45,NA,45f,18.6834939,VA,NA,1580433.544,127756.1372,0.422727273,0,0,1.345737814,1.100550109,1.175366207,0.05,253339.6667,20.16,54,648,Eutrophic,78.4,0.41,47.9,9.63,High (>=5 Ppm),9.45,Good,Good,Good,Fair,Small,No Detect,No Detect,High,Moderate,Poor,Poor,Poor,Medium,Low,Fair,Poor,Y
15,NLA06608-0064,2007,PLNLOW,NPL,25.20793107,NA,NA,NA,NLA07_RVT12,Include,5.4419336,TOOLE,12337192,NA,NA,NA,NA,1208,Region_8,NA,NA,142,NA,PLNLOW,NPL,NA,Fitzpatrick Lake,10,10050002,NATURAL,NA,48.89407384,-112.1682796,NA,0.039366136,NA,NA,NA,NA,Fitzpatrick Lake,,,NA,NA,NA,Panel_1,2.061274641,1.005E+13,T,NA,NA,PROB,"(20,50]",NA,NA,NA,NA,NA,NA,NA,NA,MT,NA,NA,NA,Target_Sampled,NA,NLALake,Target,NA,NO,NA,42,NA,42n,5.4419336,MT,NA,-1194057.633,1371618.713,0.462280702,0.48,3.09,NA,NA,0.229962433,0.65,13979.91288,19.04,2047,3366,Eutrophic,NA,0.35,34.8,8.4,High (>=5 Ppm),13.6,Poor,Not Assessed,Not Assessed,Fair,Large,Detect,Low,Low,Moderate,Poor,Poor,Poor,Not Assessed,Low,Fair,Poor,Y
16,NLA06608-0065,2007,WMTNS,WMT,89.52244797,NA,NA,NA,NLA07_RVT12,Include,7.594532,LINCOLN,22886879,NA,NA,NA,NA,766.43,Region_8,NA,NA,120,NA,WMTNS,WMT,NA,Sophie Lake,17,17010101,NATURAL,NA,48.96435342,-115.1157742,NA,0.028208177,NA,NA,NA,NA,Sophie Lake,,,NA,NA,NA,Panel_1,7.365627576,1.70101E+13,S,NA,NA,PROB,>50,NA,NA,NA,NA,NA,NA,NA,NA,MT,NA,NA,NA,Target_Sampled,NA,NLALake,Target,NA,NO,NA,15,NA,15d,7.594532,MT,NA,-1407479.75,1419555.623,0.405882353,1,1.55,0.083690517,0.566441178,0.759289638,0.05,93.3859338,0.57,1,71,Oligotrophic,63.71,0.05,69.3,8.633333333,High (>=5 Ppm),0.257,Fair,Poor,Fair,Fair,Medium,No Detect,No Detect,Low,Low,Good,Good,Good,Medium,Low,Good,Good,Y
17,NLA06608-0068,2007,WMTNS,WMT,50.09886464,NA,NA,NA,NLA07_RVT12,Include,9.1719403,SAN MIGUEL,18377442,NA,NA,NA,NA,2959.6,Region_8,NA,NA,130,NA,WMTNS,WMT,NA,,14,14030003,MAN_MADE,NA,37.8246388,-107.885134,NA,0.04653754,NA,NA,NA,NA,Trout Lake,,,NA,NA,NA,Panel_1,3.228831558,1.403E+13,S,NA,NA,PROB,>50,NA,NA,NA,NA,NA,NA,NA,NA,CO,NA,NA,NA,Target_Sampled,NA,NLALake,Target,NA,NO,NA,21,NA,21e,9.1719403,CO,NA,-1033543.435,101097.2201,0.437234043,0,0,2.069683974,1.115638047,0.921344793,0.05,5.202309562,0.95,1,168,Oligotrophic,26.86,0.28,58.5,7.666666667,High (>=5 Ppm),0.887,Good,Good,Good,Fair,Small,No Detect,No Detect,Low,Low,Good,Good,Good,Low,Low,Good,Fair,Y
18,NLA06608-0069,2007,PLNLOW,CPL,24.47050394,NA,NA,NA,NLA07_RVT12,Include,2.0828908,SEMINOLE,10994747,NA,NA,NA,NA,11.26,Region_4,NA,NA,156,NA,PLNLOW,CPL,NA,Horseshoe Lake,3,3080101,NATURAL,NA,28.63737421,-81.13770674,NA,0.12642225,NA,NA,NA,NA,Horseshoe Lake,NESLake,1219,NA,NA,NA,Panel_1,2.39891519,3.0801E+12,S,NA,NA,PROB,"(20,50]",NA,NA,NA,NA,NA,NA,NA,NA,FL,NA,NA,NA,Target_Sampled,NA,NLALake,Target,NA,YES,NA,75,NA,75c,2.0828908,FL,NA,1450151.157,-874756.2907,0.361904762,0,0,0.388381149,0.429208151,0.495679088,0.05,1268.170527,7.41,39,420,Eutrophic,465.46,0.27,45.1,6.75,High (>=5 Ppm),2.74,Fair,Fair,Poor,Fair,Small,No Detect,No Detect,Low,Low,Fair,Good,Good,High,Low,Fair,Good,Y
19,NLA06608-0071,2007,PLNLOW,CPL,460.2092131,NA,NA,NA,NLA07_RVT12,Include,1.8550434,CONCORDIA,19367808,NA,NA,NA,NA,15.17,Region_6,NA,NA,149,NA,PLNLOW,CPL,NA,"Concordia, Lake",8,8060100,NATURAL,NA,31.66739711,-91.50773471,NA,0.12642225,NA,NA,NA,NA,Lake Concordia,NESLake,2209,NA,NA,NA,Panel_1,30.1084479,8.04031E+12,T,NA,NA,PROB,>50,NA,NA,NA,NA,NA,NA,NA,NA,LA,NA,NA,NA,Target_Sampled,NA,NLALake,Target,NA,YES,NA,73,NA,73k,1.8550434,LA,NA,424056.9159,-642027.0744,0.85,0.488888889,1.011111111,0.446957523,0.422599694,0.383117661,1.1,2146.262424,198.72,415,2441,Hypereutrophic,68.49,0.37,14.4,4.513333333,Moderate (>3-<5 Ppm),14.4,Fair,Fair,Poor,Poor,Medium,Detect,Low,Low,High,Poor,Poor,Poor,Medium,Low,Poor,Poor,Y
20,NLA06608-0076,2007,PLNLOW,TPL,3008.069261,NA,NA,NA,NLA07_RVT12,Include,5.8251172,CLINTON,5108638,NA,NA,NA,NA,264.36,Region_7,NA,NA,143,NA,PLNLOW,TPL,NA,,10,10240012,MAN_MADE,NA,39.41430868,-94.49779458,NA,0.045232698,NA,NA,NA,NA,Smithville,,,NA,NA,NA,Panel_1,176.1627203,1.024E+13,R,NA,NA,PROB,>50,NA,NA,NA,NA,NA,NA,NA,NA,MO,NA,NA,NA,Target_Sampled,NA,NLALake,Target,NA,YES,NA,40,NA,40a,5.8251172,MO,NA,128152.7055,215571.4637,0.55,0.56,1.05,0.27244089,0.538428556,0.728562655,0.05,25012.44444,10.88,24,436,Eutrophic,36.43,NA,55.8,6.866666667,High (>=5 Ppm),3.88,Good,Fair,Fair,Fair,Medium,No Detect,No Detect,Moderate,Moderate,Good,Good,Good,Low,Not Assessed,Good,Fair,Y
21,NLA06608-0077,2007,EHIGH,NAP,65.32853198,NA,NA,NA,NLA07_RVT12,Include,47.7967401,MORRIS,6248768,NA,NA,NA,NA,238.18,Region_2,NA,NA,118,NA,EHIGH,NAP,NA,Mount Hope Lake,2,2030103,MAN_MADE,NA,40.92768105,-74.53808878,NA,0.050458037,NA,NA,NA,NA,Mount Hope Lake,,,NA,NA,NA,Panel_1,5.103482127,2.0301E+12,S,NA,NA,PROB,>50,NA,NA,NA,NA,NA,NA,NA,NA,NJ,NA,NA,NA,Target_Sampled,NA,NLALake,Target,NA,YES,NA,58,NA,58i,47.7967401,NJ,NA,1777495.931,585675.2478,0.065217391,0.02,0.04,0.32062686,0.819076898,1.153083055,0.05,38219.55556,67.97,116,1461,Hypereutrophic,125.14,0.35,44.9,NA,Not Assessed,17.4,Good,Poor,Good,Good,Small,No Detect,No Detect,Moderate,High,Poor,Poor,Poor,Medium,Low,Fair,Poor,Y
22,NLA06608-0083,2007,PLNLOW,NPL,48.33322448,NA,NA,NA,NLA07_RVT12,Include,54.0204397,MCINTOSH,14747730,NA,NA,NA,NA,590.81,Region_8,NA,NA,142,NA,PLNLOW,NPL,NA,,10,10130106,NATURAL,NA,45.95348274,-99.13577087,NA,0.016521101,NA,NA,NA,NA,Camp Lake,,,NA,NA,NA,Panel_1,4.992902549,1.01301E+13,S,NA,NA,PROB,"(20,50]",NA,NA,NA,NA,NA,NA,NA,NA,ND,NA,NA,NA,Target_Sampled,NA,NLALake,Target,NA,NO,NA,42,NA,42a,54.0204397,ND,NA,-243379.5475,948926.2871,0.640197152,1.2,21.27272727,0.21949275,0.235434126,0.287461779,1.2,2258.772274,3.74,50,3925,Mesotrophic,38.82,0.76,27.8,6.453333333,High (>=5 Ppm),1.37,Fair,Poor,Poor,Fair,Large,Detect,Low,Low,Low,Good,Poor,Good,Low,Medium,Poor,Good,Y
23,NLA06608-0085,2007,WMTNS,XER,33.42354611,NA,NA,NA,NLA07_RVT12,Include,9.2062365,ADA,23406359,NA,NA,NA,NA,973.07,Region_10,NA,NA,121,NA,WMTNS,XER,NA,,17,17050114,MAN_MADE,NA,43.46019017,-116.1413012,NA,0.033347399,NA,NA,NA,NA,Blacks Creek Reservoir,,,NA,NA,NA,Panel_1,2.786720526,1.70501E+13,T,NA,NA,PROB,"(20,50]",NA,NA,NA,NA,NA,NA,NA,NA,ID,NA,NA,NA,Target_Sampled,NA,NLALake,Target,NA,YES,NA,12,NA,12h,9.2062365,ID,NA,-1610246.671,838584.4776,0.936708861,2.4,104.57,1.083356477,0.28821418,0,0.14,4391.111111,4.04,417,1581,Mesotrophic,53.18,0.53,46.5,6.4,High (>=5 Ppm),137,Poor,Good,Poor,Poor,Large,Detect,Low,Low,Low,Poor,Poor,Good,Medium,Medium,Fair,Poor,Y
24,NLA06608-0086,2007,WMTNS,WMT,101.3084781,NA,NA,NA,NLA07_RVT12,Include,8.7410173,CLARK,23740719,NA,NA,NA,NA,55.6,Region_10,NA,NA,121,NA,WMTNS,WMT,NA,Lacamas Lake,17,17080001,MAN_MADE,NA,45.61684794,-122.4258001,NA,0.033801553,NA,NA,NA,NA,Lacamas Lake,,,NA,NA,NA,Panel_1,8.995293552,1.708E+13,S,NA,NA,PROB,>50,NA,NA,NA,NA,NA,NA,NA,NA,WA,NA,NA,NA,Target_Sampled,NA,NLALake,Target,NA,YES,NA,3,NA,3a,8.7410173,WA,NA,-2035310.964,1192340.713,0.711320755,NA,NA,1.146485398,1.406333322,1.536660978,0.44,52644.93051,18.24,20,288,Eutrophic,NA,1,42.7,10.36666667,High (>=5 Ppm),4.01,Good,Good,Good,Fair,Not Assessed,Detect,Low,Moderate,Moderate,Good,Fair,Poor,Not Assessed,High,Poor,Poor,Y
25,NLA06608-0099,2007,PLNLOW,TPL,314.752087,NA,NA,NA,NLA07_RVT12,Include,7.5279259,WAUKESHA,13290898,NA,NA,NA,NA,262.37,Region_5,NA,NA,148,NA,PLNLOW,TPL,NA,Oconomowoc Lake,7,7090001,NATURAL,NA,43.09787438,-88.4621617,NA,0.12642225,NA,NA,NA,NA,Lake Oconomowoc,NESLake,5532,NA,NA,NA,Panel_1,11.02082103,7.09E+12,S,NA,NA,PROB,>50,NA,NA,NA,NA,NA,NA,NA,NA,WI,NA,NA,NA,Target_Sampled,NA,NLALake,Target,NA,YES,NA,53,NA,53b,7.5279259,WI,NA,609735.7274,651043.1018,0.757142857,0.1,0.01,0.40661937,0.424998877,0.513747841,4.5,8843.561086,4.6,6,601,Mesotrophic,63.21,0.53,75.1,9.166666667,High (>=5 Ppm),4.98,Fair,Fair,Fair,Poor,Medium,Detect,Low,Low,Low,Good,Good,Good,Medium,Medium,Good,Fair,Y
