"SITE_ID","VISIT_NO","YEAR","DATE_COL","ECOREG_5","E_I","VertDD_m","HorizDD_m","LkArea_km2","DpthMx_m","SLD","bffFlat_grad","inflow","BFIWs","Temp_degC_avg_yr","Precip_mm_total_yr","Precip_mm_total_yr_sc","PHDI","Precip8110Ws","Precip8110Ws_grp_sc","HydrAP","hydrap_bin","hydrap_phdi","OUTLET_DAMS","damht_zmax","PctDEVELOPED_Cat","PCT_AG_URB_CAT","PctAgDrainageCat","PctIrrigated.AgLandCat"
"NLA06608-0020",1,2007,"6/11/2007","Midwest",0.05,0.23,0.28,2.961995854,14.9,6.030180581,0.4,7.13757729335329,26.1996283336961,14.63722222,1045.4,1.0454,0.063076923,1075.09104943,1.32551409272816,3,"Moderate",0.189230769,"NONE",NA,1.02040816326531,51.463700234192,39.48226832,2.814486
"NLA06608-0021",1,2007,"7/27/2007","Appalachians",0.07,0.455555556,1.333333333,42.26925272,84,2.436283229,0.444444444,2.51673642415271,51.4995839916237,10.92777778,871.03,0.87103,2.954615385,900.318719193,-2.23546019371649,2,"Low",5.90923077,"NONE",NA,1.42569914092488,15.7426024086599,0.441723024,0.4224294
"NLA06608-0023",1,2007,"8/9/2007","Great Plains",0.03,0,0,0.062071652,3,1.103575465,1,4.23154440942542,36.1520481927711,20.60722222,1254.91,1.25491,0.816153846,858.436374099,1.14303776969004,5,"Moderate",4.08076923,"DAM",1.7272,50.4819277108434,50.4819277108434,0,0
"NLA06608-0024",1,2007,"7/11/2007","Coastal Plains",0.21,NA,NA,95.30145377,12.9,6.914566362,NA,12.9744216911078,21.442548429699,20.23416667,1533.55,1.53355,1.410769231,1107.91194888,-0.983259367081564,5,"Moderate",7.053846155,"DAM",1.77209302325581,6.33842389410116,21.2903753547626,0,0.0529921
"NLA06608-0025",1,2007,"6/18/2007","Appalachians",0.18,0,0,0.114812351,8,1.65072122,0.7,17.8383409256117,48.9091028849954,18.10805556,825.7,0.8257,-0.978461538,1147.39967126,-0.471490344625719,5,"Moderate",-4.89230769,"DAM",1.3716,0.153609831029186,11.8279569892473,0,0
"NLA06608-0029",1,2007,"7/2/2007","Coastal Plains",0.1,0.2,0.1,0.731003742,1.7,3.814059886,0.1,13.4058975032169,64.1838984711878,16.30138889,1006.9,1.0069,0.479230769,1165.41265816,-0.633895659253105,6,"High",2.875384614,"DAM",1.88976,13.8938848920863,62.4925059952038,0.262290168,4.833633
"NLA06608-0031",1,2007,"6/13/2007","Appalachians",0.03,0.2,0.57,0.242493146,4.9,3.025585236,0.3,19.5791734815961,31.7219215657202,13.26,938.45,0.93845,0.496153846,1003.38200492,-1.49966681486729,7,"High",3.473076922,"DAM",4.08192941176471,0,16.6317260656883,0,0
"NLA06608-0033",1,2007,"7/17/2007","West",0.12,NA,NA,0.151645238,1.4,1.287962115,1,68.4692818768315,61,7.9975,1869.25,1.86925,-0.266923077,1920.89332168,1.99148585113179,1,"Low",-0.266923077,"NONE",NA,1.62986330178759,1.62986330178759,0,0
"NLA06608-0036",1,2007,"7/12/2007","Appalachians",0.2,0.05,0.07,0.120275476,5,1.450275832,0.9,6.09169560978,13,16.58138889,1134.12,1.13412,1.166923077,1202.98759267,-0.0746349151781359,0,"Low",0,"NONE",NA,0,0,0,0
"NLA06608-0037",1,2007,"7/13/2007","Appalachians",0.01,0.1,0.1,2.36955581,13,2.567710733,0.3,10.5470469034144,48.3817645921917,11.09361111,1221.98,1.22198,1.268461538,1264.33094686,0.363309921637589,NA,NA,NA,"DAM",NA,1.09834888729361,8.72218234027279,0,0
"NLA06608-0038",1,2007,"7/12/2007","Appalachians",0.2,0,0,2.206478779,11.3,1.514428724,0.545454545,8.64646916058648,47.90547694011,6.530555556,1302.16,1.30216,2.976923077,1148.48979572,-0.463707686095753,NA,NA,NA,"DAM",NA,2.87139065390493,4.70521997908791,0,0
"NLA06608-0041",1,2007,"6/12/2007","Appalachians",0.1,0.31,0.35,10.71509332,99.7,8.702685399,0.5,119.230146066362,33.8505870885455,13.17638889,1132.27,1.13227,-0.524615385,1406.81511931,1.38053841323857,5,"Moderate",-2.623076925,"DAM",1.19229689067202,1.58563820649373,4.83765676000687,0,0
"NLA06608-0042",1,2007,"6/22/2007","West",0.05,0.02,0.03,0.777184868,13.6,1.380559807,0.8,46.4538263804076,60.1283738087919,5.427777778,648.96,0.64896,-3.198461538,815.249804781,-0.0688635800147078,5,"Moderate",-15.99230769,"DAM",1.34273127753304,0,0,0,0
"NLA06608-0043",1,2007,"7/31/2007","Midwest",0.25,0.11,0.15,0.242471918,16.5,1.694262888,0.8,229.149598810614,59.0108764648437,11.79638889,1037.53,1.03753,1.610769231,972.736251617,0.727641338229825,4,"Moderate",6.443076924,"DAM",0.128452739313666,3.9060366020213,62.0049166894291,3.468997542,0
"NLA06608-0044",1,2007,"7/18/2007","Great Plains",0.44,1,6.6,2.198023543,1.6,2.358584436,1,1.80393749555029,74.2701308307522,11.63194444,444.22,0.44422,1.023846154,490.159878096,-0.481132668389996,1,"Low",1.023846154,"NONE",NA,0.105285698989971,0.642421214176095,0.008922517,0.353331668
"NLA06608-0045",1,2007,"6/26/2007","Appalachians",0.06,0,0,0.288381139,2.1,2.146587364,0.8,73.2911305539403,42.9938334826953,16.91472222,1106.54,1.10654,0.786923077,1130.50849255,-0.592080498220257,6,"High",4.721538462,"DAM",2.32228571428571,0.0459136822773186,33.8842975206611,0.183654729,0
"NLA06608-0048",1,2007,"8/2/2007","Coastal Plains",0.5,1,8.27,0.056179483,3,1.285149741,0.7,4.44456343309532,26,17.21,1075.29,1.07529,0.767692308,1282.40647792,0.0769372187438376,2,"Low",1.535384616,"NONE",NA,0,40.2097902097902,4.195804196,6.993007
"NLA06608-0049",1,2007,"8/15/2007","West",0.04,2.8,11.47,0.128905475,3.7,1.537226093,0.7,36.6007359274616,68.9159577210621,5.496111111,1175.93,1.17593,-2.154615385,1557.91130961,1.31507453893743,5,"Moderate",-10.773076925,"DAM",1.12541538461538,0,0,0,0
"NLA06608-0050",1,2007,"7/2/2007","Appalachians",0.05,0.22,0.25,0.119790709,4.9,1.118625739,1,4.39100284356778,60,9.346111111,1146.33,1.14633,4.053846154,1171.22409338,-0.301402112651061,0,"Low",0,"NONE",NA,0,0,0,0
"NLA06608-0053",1,2007,"8/23/2007","Appalachians",0.05,0.93,5.73,4.7073915,5.3,3.049064182,0.9,371.219255212574,48.6543793433381,9.613055556,1162.38,1.16238,3.342307692,1088.13289283,-0.89461001179826,5,"Moderate",16.71153846,"DAM",1.02741573033708,1.74216930965515,22.8119208788171,0.593970444,0.119658
"NLA06608-0057",1,2007,"6/16/2007","Appalachians",0.2,0,0,0.530283936,3.7,3.753349865,0.8,85.399108663269,27.0793062055757,18.76138889,949.49,0.94949,-0.978461538,1158.61714742,-0.391406106793542,7,"High",-6.849230766,"DAM",3.21275675675676,6.14235055724418,20.3774062816616,0.063323202,0
"NLA06608-0061",1,2007,"6/12/2007","West",0.27,4.45,34,5.723287327,15.3,2.822098378,0.888888889,19.1319504137836,25.3055166180886,24.96444444,52,0.052,-2.716923077,361.556532989,-0.914313908411133,7,"High",-19.018461539,"DAM",4.36751392405063,0.092050423176251,0.092050423176251,0,0
"NLA06608-0062",1,2007,"8/9/2007","Great Plains",0.77,0.67,2.77,0.542985616,2.7,1.127406005,0.6,0.333319968899139,25,7.415277778,524.49,0.52449,-0.023846154,468.605408779,-0.576192038871487,2,"Low",-0.047692308,"NONE",NA,0,24.1465351026427,0.079392083,0
"NLA06608-0064",1,2007,"6/18/2007","Great Plains",0.47,0.48,3.09,0.252079311,2.5,1.158143269,1,0.631802341256003,67,8.441388889,294.85,0.29485,-2.512307692,392.094399123,-0.913620360851391,4,"Moderate",-10.049230768,"NONE",NA,0,66.1676646706587,0,0
"NLA06608-0065",1,2007,"7/17/2007","West",0.08,1,1.55,0.89522448,17.1,2.196030517,0.8,0.400524560387357,72.0991868430686,10.07833333,310.04,0.31004,-1.3,893.835934304,0.0775804453731864,1,"Low",-1.3,"NONE",NA,0.869141813755326,2.15946439440049,0,0.119294
"NLA06608-0066",1,2007,"6/12/2007","Appalachians",0.04,1.15,5.14,10.94588775,20.5,5.109532133,0.8,54.176989931438,38.9282714552946,11.71,1144.76,1.14476,0.931538462,1247.13990055,0.240578941724009,7,"High",6.520769234,"DAM",2.5904480369515,0.555135500815791,11.3076525130328,0.049743324,0
"NLA06608-0068",1,2007,"7/9/2007","West",0.03,0,0,0.500988646,18.6,1.286853909,0.5,52.8409702348224,64.2080459770115,5.645,812.34,0.81234,0.813076923,1062.00775315,0.390966004098331,5,"Moderate",4.065384615,"DAM",0.704645161290323,0,0,0,0
"NLA06608-0069",1,2007,"7/18/2007","Coastal Plains",0.34,0,0,0.244705039,3.4,1.368011421,1,1.04130097635873,51.1317424807358,24.0325,1061.34,1.06134,-3.962307692,1320.36656531,0.307575710792412,NA,NA,NA,"DAM",NA,12.139011257954,12.139011257954,0.538423886,0
"NLA06608-0071",1,2007,"9/6/2007","Coastal Plains",0.58,0.488888889,1.011111111,4.602092131,5.3,3.959180663,0.777777777,2.31544351954826,31,20.84416667,1363.42,1.36342,0.114615385,1512.52296485,1.47508256534892,2,"Low",0.22923077,"NONE",NA,0.383342045652553,28.4892838473602,5.122843701,0.6708486
"NLA06608-0072",1,2007,"7/26/2007","Great Plains",0.15,0,0,0.091270764,5.7,1.237490457,1,23.3498318174569,11.8136645962733,19.43166667,1231.63,1.23163,0.816153846,842.027483568,1.07067139493794,6,"High",4.896923076,"DAM",2.24589473684211,0,17.1969696969697,0,0
"NLA06608-0073",1,2007,"6/12/2007","West",0.68,0.4,0.83,1.522446927,28,1.121536715,0.222222222,0.00286804561391453,55,15.25888889,57.74,0.05774,-2.944615385,119.959718562,-1.36452580000489,1,"Low",-2.944615385,"NONE",NA,1.42247510668563,1.42247510668563,0,0
"NLA06608-0076",1,2007,"7/27/2007","Midwest",0.42,0.56,1.05,30.08069261,9.2,9.06076578,0.6,3.69339629079239,21.0616433022452,14.64416667,925.31,0.92531,-0.662307692,990.657570291,0.832322978844681,7,"High",-4.636153844,"DAM",3.27909836065574,2.1814587158009,53.7478724274024,0.098109898,0
"NLA06608-0077",1,2007,"9/8/2007","Appalachians",0.34,0.02,0.04,0.65328532,2.4,1.78119424,1,5.0970758311546,52.7936384794414,12.12916667,1297.96,1.29796,1.750769231,1279.69234394,0.472978599301107,6,"High",10.504615386,"DAM",2.26710743801653,4.03806584362139,4.03806584362139,0,0
"NLA06608-0078",1,2007,"8/8/2007","Midwest",0.92,0.5,9.7,0.150711676,1.1,1.086533851,1,0.0383111805299014,24,6.735,444.64,0.44464,-1.06,461.315604293,-2.25965850170093,1,"Low",-1.06,"NONE",NA,0,3.57142857142857,0,0
"NLA06608-0079",1,2007,"7/12/2007","West",0.03,0.18,0.09,1.309079857,55,1.624350983,0.5,22.1622272670261,66.089482938154,5.147222222,723.18,0.72318,0.813076923,1120.65910992,0.500261891705908,0,"Low",0,"NONE",NA,0,0,0,0
"NLA06608-0080",1,2007,"9/9/2007","Coastal Plains",0.3,0,0,0.797977042,3,2.014322107,1,1.46323649894015,32,19.33388889,1108.23,1.10823,-2.180769231,1284.01604545,0.0867166542903257,5,"Moderate",-10.903846155,"NONE",NA,0,68.0408542246982,0,39.05292
"NLA06608-0081",1,2007,"7/3/2007","West",0.16,0,0,0.100070393,8.5,1.436176396,0.9,8.23190807873014,46.0694029850746,12.23777778,1132.6,1.1326,0.696923077,1184.89048999,0.619956065611211,1,"Low",0.696923077,"NONE",NA,1.56716417910448,1.56716417910448,0,0
"NLA06608-0083",1,2007,"6/13/2007","Great Plains",0.59,1.2,21.27272727,0.483332245,2,2.025928873,1,0.813852042079253,28.1039026862646,8.131111111,539.65,0.53965,2.536923077,521.639829904,-0.342300004145463,2,"Low",5.073846154,"NONE",NA,0,12.2133333333333,0,0
"NLA06608-0085",1,2007,"7/10/2007","West",0.5,2.4,104.57,0.334235461,1.6,1.359756856,1,3.51926671556852,67.7149613493251,13.72027778,252.06,0.25206,-2.218461538,442.794000361,-0.762929156337403,7,"High",-15.529230766,"DAM",3.429,0,0,0,0
"NLA06608-0086",1,2007,"8/2/2007","West",0.04,NA,NA,1.013084781,14.2,2.521082646,0.5,122.805038461564,46.7399294299894,12.90444444,1376.1,1.3761,0.690769231,1606.29094299,1.40522923038186,3,"Moderate",2.072307693,"NONE",NA,26.0818289032024,33.4754604009798,0,0
"NLA06608-0089",1,2007,"6/17/2007","Appalachians",0.05,0.23,0.27,8.792648891,15,8.262907323,0.2,126.676011777143,57.7620362446241,17.55861111,825.12,0.82512,-1.859230769,1280.20910677,0.476667892399685,5,"Moderate",-9.296153845,"DAM",1.4409455022981,2.00780498840563,8.70802933469072,0,0.2827894
"NLA06608-0090",1,2007,"6/26/2007","West",0.12,0.12,0.29,0.085285109,7.8,1.338380586,0.9,2.70174108304417,60,5.488611111,514.73,0.51473,-3.546923077,724.002057896,-0.238902331668766,0,"Low",0,"NONE",NA,0,0,0,0
"NLA06608-0091",1,2007,"7/10/2007","Midwest",0.03,0.22,0.1,3.055679078,3.7,1.489174569,0.7,3.43244393783914,32.6692572302204,12.16277778,1122.74,1.12274,2.278461538,992.545153141,0.843348689236246,5,"Moderate",11.39230769,"DAM",0.544285714285714,23.3229076790337,51.6231665228645,11.31363244,2.518335
"NLA06608-0099",1,2007,"7/3/2007","Midwest",0.16,0.1,0.01,3.14752087,18.8,1.75236817,0.333333333,22.454947183432,49.7345562230856,10.27916667,1053.65,1.05365,2.117692308,870.171374985,0.128541475624586,2,"Low",4.235384616,"DAM",0.112888888888889,9.91795954837138,29.4208431484039,0.048736902,0
"NLA06608-0101",1,2007,"8/21/2007","Appalachians",0.14,0.2,0.36,0.614149297,10.1,1.644913844,0.4,6.73296908475204,48.744784224064,9.738333333,1187.59,1.18759,1.268461538,1284.33568598,0.506128525627094,4,"Moderate",5.073846152,"DAM",0.414291262135922,0,0,0,0
"NLA06608-0102",1,2007,"8/3/2007","Appalachians",0.04,0.2,0.42,0.515526812,36.3,1.567271028,0.3,17.8166747244256,47.6537155790268,7.758888889,1283.56,1.28356,3.421538462,1255.77078148,0.302196859269851,2,"Low",6.843076924,"DAM",0.0584547945205479,0,0.914634146341463,0,0
"NLA06608-0104",1,2007,"6/22/2007","Great Plains",0.25,0.1,0.1,0.567939513,1.9,1.765878561,1,0.606707404989799,38,15.75555556,891.74,0.89174,1.024615385,784.316426251,0.816154491844975,NA,NA,NA,"DAM",NA,0.901378579003181,0.954400848356309,0,0
"NLA06608-0105",1,2007,"7/5/2007","West",0.18,4,47.9,9.065113613,6,2.845325609,0.7,76.3273435858371,73.7392115787469,12.26361111,240.43,0.24043,-0.866923077,465.473940247,-0.720665442465489,6,"High",-5.201538462,"DAM",2.19456,2.26060191518468,13.4610123119016,0,12.9788
"NLA06608-0107",1,2007,"6/25/2007","Midwest",0.33,0.1,0.2,0.12420786,4,1.14916066,0.8,1.97929259182954,59,11.41583333,1058.04,1.05804,1.610769231,966.169092291,0.689281381301979,4,"Moderate",6.443076924,"NONE",NA,1.73661360347323,54.5586107091172,0,0
"NLA06608-0110",1,2007,"7/31/2007","Midwest",0.53,0.34,0,1.390504772,12.4,2.514193631,0.4,1.16967777888935,64.6719954176213,7.819722222,636.5,0.6365,-1.368461538,656.426226245,-1.11998232168009,2,"Low",-2.736923076,"NONE",NA,0,11.6568914956012,0.146627566,0
"NLA06608-0111",1,2007,"8/1/2007","Appalachians",0.07,1,7.3,10.64647066,12.8,5.598502401,1,9.41693037257288,38.8182948390899,11.78055556,1033.57,1.03357,3.170769231,999.949711519,-1.52417077610731,5,"Moderate",15.853846155,"DAM",1.83321739130435,2.40468135686203,9.53643595135778,1.081954223,0
"NLA06608-0112",1,2007,"7/9/2007","Midwest",0.06,0.13,0.14,2.763794065,9,5.158017968,0.5,5.11190007162419,13.1496651139715,14.98222222,845.92,0.84592,0.063076923,1047.72986757,1.16569251607032,6,"High",0.378461538,"DAM",1.66922234392114,1.21915987750621,44.814237013925,10.1288496,0.2311204
"NLA06608-0113",1,2007,"7/16/2007","Appalachians",0,0.22,0.25,0.833521902,13.1,1.314320285,0.4,20.4824673049803,45,6.155555556,1289.52,1.28952,2.976923077,1178.61003642,-0.248672103637139,NA,NA,NA,"DAM",NA,0.209424083769633,16.2513089005235,1.298429319,0
"NLA06608-0115",1,2007,"7/18/2007","Midwest",0.02,0,0,0.067371548,17,1.073466669,0.9,0.438840856419092,74,9.437222222,783.19,0.78319,-0.973076923,820.508415265,-0.161548790379192,0,"Low",0,"NONE",NA,0,0,0,0
"NLA06608-0116",1,2007,"6/28/2007","West",0.12,1.88,3.05,4.062048459,25.8,4.792333649,0.6,1421.47949918881,62.1791546454549,15.22,295.75,0.29575,0.299230769,527.879531873,-0.604373596819244,7,"High",2.094615383,"DAM",2.76390173410405,0.791577932253787,0.859886687828987,0,0
"NLA06608-0120",1,2007,"6/18/2007","Great Plains",0.05,NA,NA,101.3604452,20.6,12.99925592,NA,39.1385565325043,27.7066424873776,17.55888889,1288.75,1.28875,-0.196153846,582.80171998,-0.0725642624495528,6,"High",-1.176923076,"DAM",1.79033009708738,2.05145180318964,2.80147231487847,0.041306298,0
"NLA06608-0124",1,2007,"7/19/2007","Great Plains",0.9,0.53,4.2,0.305325653,1.1,1.24066406,1,0.228236543824243,80,11.70166667,507.56,0.50756,1.023846154,494.284187786,-0.462943666515897,0,"Low",0,"NONE",NA,0,0,0,0
"NLA06608-0126",1,2007,"6/21/2007","Great Plains",0.6,0.16,0.2,0.115350092,2.5,1.224661738,1,0.23954358667785,27,7.362222222,560.88,0.56088,-0.023846154,501.705471502,-0.430214372751698,4,"Moderate",-0.095384616,"NONE",NA,0,75.8832565284178,0,0
"NLA06608-0127",1,2007,"7/11/2007","West",0.51,0.22,0.47,0.358599305,5.2,1.313501266,1,1.11369532507042,54.1069671662281,13.15833333,359.07,0.35907,-4.141538462,324.943907475,-0.982540964417504,1,"Low",-4.141538462,"NONE",NA,0.987682568737368,0.987682568737368,0,0
"NLA06608-0128",1,2007,"6/21/2007","Great Plains",0.11,0,0,0.123779984,2.2,2.485480217,0.8,4.4623039952243,33.8815669046312,9.181666667,310.65,0.31065,-2.512307692,327.023261436,-1.20059663913824,NA,NA,NA,"DAM",NA,0,23.0660042583392,0,0
"NLA06608-0129",1,2007,"7/21/2007","West",0.3,0.5,0.47,11.38974069,69,2.152888899,1,0.737299126311189,75.0621682063286,8.001666667,453.21,0.45321,-1.3,568.886165455,-0.527958375382528,2,"Low",-2.6,"DAM",0.0441739130434783,0,0,0,0
"NLA06608-0130",1,2007,"8/13/2007","West",0.15,0,0,0.204717688,9.7,2.716593558,0.2,0.566283282644341,20.294959145848,20.04944444,369.53,0.36953,-2.207692308,500.073415653,-0.65618986025373,6,"High",-13.246153848,"DAM",1.88536082474227,0,0,0,0
"NLA06608-0132",1,2007,"8/28/2007","West",0.25,0.43,1.85,0.88380695,6,1.407345433,1,0.117599624018797,39.0665164966212,11.97527778,345.08,0.34508,-4.141538462,408.815477443,-0.826247603282807,7,"High",-28.990769234,"DAM",3.17598755832037,0.100502512562814,0.100502512562814,0,0
"NLA06608-0134",1,2007,"7/24/2007","Appalachians",0.18,0.1,0.09,0.999845032,19.8,1.412742482,0.1,2.22319662077713,50.7135432589422,10.67666667,1293.22,1.29322,1.268461538,1344.578252,0.936214573143717,2,"Low",2.536923076,"DAM",0.153165829145729,0.886579027820238,1.55915622133904,0,0
"NLA06608-0137",1,2007,"9/17/2007","West",0.01,1.1,8.63,1.160372371,34.2,1.591183248,0.8,11.6965188251565,71.5575957240934,6.180277778,428.64,0.42864,-3.613846154,1027.55764355,0.326768762733981,2,"Low",-7.227692308,"DAM",0.120883852691218,0.0958657878969443,0.0958657878969443,0,0
"NLA06608-0139",1,2007,"7/11/2007","Midwest",0.06,0.1,0.15,0.946879691,7.9,2.712692704,1,34.550366826782,47.8511874307154,12.09194444,1044.63,1.04463,2.144615385,992.744445613,0.844512792353358,4,"Moderate",8.57846154,"DAM",0.381,1.52102594691321,26.0363853265732,1.550849985,3.847301
"NLA06608-0140",1,2007,"6/20/2007","Midwest",0.3,0.41,0.85,0.268644927,1.7,2.187879545,1,15.4065688448009,20.0656237226413,14.34,922.39,0.92239,0.328461538,925.901984698,0.454073974842232,7,"High",2.299230766,"DAM",5.7781990521327,0,62.5168539325842,0,0
"NLA06608-0141",1,2007,"8/23/2007","Coastal Plains",0.09,0.13,0.01,0.654747537,1.6,3.429169942,0.5,17.8294797441491,51.2184068970599,15.43166667,980.25,0.98025,1.278461538,1084.92016558,-1.12295320327691,6,"High",7.670769228,"DAM",2.46658959537572,2.33223637144084,61.5467162684218,0,0.07154099
"NLA06608-0142",1,2007,"8/13/2007","Midwest",0.26,0.05,0.2,4.221658539,16.8,2.011962837,0.7,1.68730695060271,69.5053084397314,7.111666667,554.11,0.55411,-2.315384615,795.858837109,-0.305531402862823,1,"Low",-2.315384615,"NONE",NA,0.25780264384839,0.307169107564039,0,0
"NLA06608-0144",1,2007,"8/2/2007","Great Plains",0.29,0,0,7.061356995,12,3.837421693,0.9,4.02616430742856,9.57710033390165,19.21444444,892.18,0.89218,0.816153846,670.965297462,0.316254133010788,5,"Moderate",4.08076923,"DAM",1.905,0,20.1462589884093,0,0
"NLA06608-0148",1,2007,"7/26/2007","Midwest",0.1,0.1,0.04,0.28966523,7.3,2.538370017,0.6,15.0773917828039,27.824347595708,14.05333333,1100.77,1.10077,2.760769231,1133.6344217,1.66747644314609,5,"Moderate",13.803846155,"DAM",1.64756756756757,0.172208239501921,11.4319777453967,1.854550272,0
"NLA06608-0149",1,2007,"7/18/2007","Appalachians",0.18,0.2,0.66,0.139443979,10.4,1.213479105,1,4.87076514979539,37,9.891388889,842.98,0.84298,2.177692308,985.238880082,-1.62919491047639,3,"Moderate",6.533076924,"DAM",0.258792452830189,0,26.0809883321894,0.13726836,0
"NLA06608-0150",1,2007,"8/2/2007","Appalachians",0.04,0.36,0.79,18.87921208,18,3.030263675,0.6,17.6641395646656,46.1457709615549,8.373333333,1139.93,1.13993,3.08,1118.69017664,-0.676454274336422,4,"Moderate",12.32,"DAM",0.249019607843137,3.32544526092913,9.59735245449531,0.183264239,0
"NLA06608-0152",1,2007,"7/17/2007","Great Plains",0.35,0.15,1.39,3.995586351,8.7,3.129408697,0.7,8.91297254966897,30.1238442348533,18.07416667,1320.63,1.32063,0.264615385,948.242607703,1.53910059574055,5,"Moderate",1.323076925,"DAM",1.75647457627119,0.662983425414364,3.13443830570902,0,0
