Order,SITE_ID,VISIT_NO,UID,dD,d18O,E_I,Water_yield_m,Modeled_Water_yield_m,RT_iso,RT_modeled,Volume_Corrected_m3,Lake_precip_m,Lake_evap_m,P_E_deficit_m,Wyield_P_E_m
50,NLA12_CA-111,2,7937,-82.6,-11.38,0.024399154,0.141457981,0.785021154,0.049866396,0.0089457,2475416.986,0.84148001,0.826477671,0.015002339,0.126455642
51,NLA12_CA-112,1,7424,-56.38,-7.73,0.079815152,0.017290746,0.790276667,0.190313576,0.004155846,426873.0478,0.924019984,0.828612932,0.095407052,-0.078116307
52,NLA12_CA-116,1,6559,-80.24,-11,0.040244241,2.677457221,0.88734,0.95077583,2.253972211,2613855.962,1.269039995,0.56488279,0.704157205,1.973300016
53,NLA12_CA-119,1,7740,-84.29,-11.13,0.074964365,0.232159165,0.50225897,0.554518923,0.252130202,295866808.7,0.428570013,0.894655375,-0.466085362,0.698244527
54,NLA12_CA-121,1,6659,-68.18,-9.23,0.06362909,0.152730917,0.191637042,0.255977482,0.201226165,39115330.41,0.263590003,0.966571368,-0.702981365,0.855712282
55,NLA12_CA-123,1,7989,-94.66,-11.57,0.141138597,0.22597275,0.44829,0.606755013,0.278199849,217331.2038,0.677350003,0.484835303,0.1925147,0.03345805
56,NLA12_CA-128,1,7563,-72.61,-9.79,0.072592357,0.052608828,0.5046,0.235883449,0.024351792,20238.51204,0.788310005,0.602712222,0.185597783,-0.132988955
57,NLA12_CA-132,1,6596,-72.88,-10.42,0,,1.083585,,0.040437851,1352631.373,0.940179987,0.73272377,0.207456217,
58,NLA12_CA-135,1,7988,-97.42,-13.11,0.041645684,0.921036055,0.649353333,0.480611307,0.624859141,13143151.77,0.71352,0.463380982,0.250139019,0.670897036
59,NLA12_CA-138,1,8424,-50.63,-1.95,0.623451124,0.016117838,0.34622,0.647887177,0.028882408,47465.80676,0.782500017,0.512799461,0.269700556,-0.253582718
60,NLA12_CA-141,1,8148,-31.96,-2.47,0.313171903,0.055321136,0.22657,0.777879619,0.179095583,28585.4716,0.564479989,0.713292563,-0.148812574,0.20413371
61,NLA12_CA-143,1,6160,NA,NA,,,0.01471,,11.59109783,84048.12517,0.277570003,0.713182662,-0.435612659,
62,NLA12_CA-145,1,7529,-47.1,-6.06,0.042411003,16.7704472,0.01252,0.081492665,5.581013451,66589.1027,0.242549998,0.742448761,-0.499898764,17.27034596
63,NLA12_CA-154,1,7229,-99.86,-11.72,0.076723945,0.010382117,0.005214091,0.132836637,0.25682043,414167.3508,0.126289999,0.645233134,-0.518943135,0.529325252
64,NLA12_CA-156,1,8265,-44.16,-4.82,0.215553387,0.818754578,0.005,0.184593171,6.285122642,635393.8384,0.104210002,0.965601857,-0.861391855,1.680146433
65,NLA12_CA-157,1,6642,-96.01,-13.13,0.012969234,13.01758005,0.01089,0.036038382,9.398601756,4296283.457,0.212190001,0.917962648,-0.705772647,13.7233527
66,NLA12_CA-166,1,7423,-77.15,-9.85,0.140579854,0.412688682,0.79882,0.71472085,0.324738289,363652.6646,1.070350013,0.567241795,0.503108218,-0.090419536
67,NLA12_CA-167,1,7263,-76.9,-10.03,0.110715024,0.367216967,1.20374,0.66323261,0.185273188,347607.7546,1.566649978,0.57482421,0.991825768,-0.624608801
68,NLA12_CA-168,1,6235,-44.96,-6.21,0.095345984,0.028237074,0.0156425,0.867132562,1.502944113,5766351.21,0.218039999,0.904443211,-0.686403213,0.714640287
69,NLA12_CA-172,1,6279,-74.58,-9.13,0.184234158,0.138372679,0.01591,1.066001182,5.85290454,1224674.353,0.301220003,0.826400949,-0.525180946,0.663553625
70,NLA12_CA-174,1,6558,-70.34,-9.04,0.133899891,-7.161202604,0.01071,0.372479856,10.3592547,359563.493,0.23575,0.842867358,-0.607117358,-6.554085246
71,NLA12_CA-179,1,6623,12.03,4.69,,,0.02029,,0,0,,,,
72,NLA12_CA-180,1,7064,-76.36,-10.63,0.021184625,0.386934456,0.640631059,0.158400225,0.095006419,293005622.7,0.479229996,0.875175282,-0.395945286,0.782879743
73,NLA12_CA-181,1,8333,-63.66,-8.35,0.004980267,228.6131587,0.0163,0.01629547,7.624997288,353156.2596,0.311550004,0.751085842,-0.439535838,229.0526945
74,NLA12_CA-188,1,7712,-28.44,-3.52,0.282932312,0.096250867,0.130221667,3.401957893,2.16549172,24613982.38,0.509359995,0.660935364,-0.15157537,0.247826237
75,NLA12_CA-190,1,7208,-1.49,3.31,0.91025104,0.023633604,0.01677,0.754805073,0.734933547,346667.1536,0.302859994,0.868400327,-0.565540333,0.589173937
76,NLA12_CA-200,1,7366,-88.21,-11.72,0.081772184,0.937848077,0.91226,0.698327231,0.598408799,560146.5038,1.120300005,0.4715877,0.648712305,0.289135771
77,NLA12_CA-206,1,8076,-76.81,-10.23,0.07513575,0.087958074,0.278484149,2.437405787,0.747342736,3304286540,1.169280008,0.921598411,0.247681596,-0.159723522
78,NLA12_CA-208,1,8149,-35.28,0.01,0.910845252,0.02180905,0.136524,0.859035751,0.128690859,918263.6525,0.246570001,0.540889013,-0.294319012,0.316128062
79,NLA12_CA-212,1,8398,-72.22,-9.08,0.169804213,0.201409089,1.32167,1.59899019,0.226571346,862527.8249,1.639400014,0.56212872,1.077271294,-0.875862205
80,NLA12_CA-223,1,8779,-106.06,-13.72,0.031083002,0.241830354,0.809955,0.764915814,0.225121815,3610837.663,0.654769995,0.419487259,0.235282736,0.006547618
81,NLA12_CA-R01,1,7338,-25.02,-3.71,0.1482432,0.182300869,0.58076,1.388526246,0.411283023,6409430.456,0.881699989,0.686618629,0.19508136,-0.012780491
82,NLA12_CA-R02,1,7396,-91.12,-11.66,0.036444038,0.125422887,0.3886325,0.34108581,0.10920535,18903127.16,0.35568,0.523391338,-0.167711338,0.293134225
83,NLA12_CA-R03,1,7379,-92.51,-12.14,0.074439481,0.099664339,0.369468526,0.941385639,0.25179396,249841611.7,0.36976,0.871436033,-0.501676033,0.601340373
84,NLA12_CA-R05,1,7289,-83.59,-10.35,0.171191947,0.418356105,0.81498,0.642398476,0.274569081,55833.95476,1.175830009,0.514016494,0.661813515,-0.24345741
85,NLA12_CA-R06,1,7230,-73.56,-8.55,0.216471231,0.54679893,0.49333,1.205677345,0.908509432,84588.49979,1.021120009,0.520249197,0.500870811,0.045928119
86,NLA12_CA-R09,1,1000057,-115.32,-14.74,0.116029581,0.020300579,0.21988,0,0,0,0.421770004,0.422074342,-0.000304338,0.020604917
87,NLA12_CA-R10,1,7254,-81.29,-10.51,0.133266035,0.071284162,0.65406,1.323956261,0.140294809,942018.7164,1.021120009,0.520249197,0.500870811,-0.429586649
88,NLA12_CA-R12,1,7200,-61.74,-5.35,0.373508111,0.698845865,0.70828,1.68763086,1.05787925,197946.4237,0.837689974,0.53778922,0.299900754,0.39894511
89,NLA12_CA-R13,1,7172,-118.35,-15.61,0.053794518,0.125157139,0.21139,0.82421935,0.472941147,654977.4615,0.421770004,0.422074342,-0.000304338,0.125461478
90,NLA12_CO-101,1,7173,18.12,6.35,1.05972789,0.118739847,0.01013,0.991894907,2.407837474,2330314.017,0.252720003,0.819927783,-0.56720778,0.685947627
91,NLA12_CO-101,2,8129,23.31,7.15,1.130616026,0.111295015,0.01013,1.058245507,2.407837474,2330314.017,0.252720003,0.819927783,-0.56720778,0.678502795
92,NLA12_CO-102,1,6795,-110.63,-14.76,0.042890979,0.270058908,0.4696,0.560435514,0.308077143,826406.7306,0.789810004,0.422073116,0.367736888,-0.09767798
93,NLA12_CO-103,1,8505,-73.11,-7.01,0.156170363,0.492319264,0.01149,0.38685328,4.929470363,10825387.27,0.252300002,0.714588244,-0.462288242,0.954607507
94,NLA12_CO-104,1,8596,-66.39,-5.79,0.215027504,0.078210378,0.01119,0.659741183,2.878935013,1623943.822,0.292289999,0.730089246,-0.437799246,0.516009624
95,NLA12_CO-105,1,8325,-56.63,-5.22,0.324082212,0.306632701,0.01278,0.69967614,3.119473451,855585.4515,0.34152,0.606088557,-0.264568558,0.571201259
96,NLA12_CO-106,1,7325,-110.38,-14.13,0.102778239,1.0806256,0.01199,0.396489815,7.603472505,5189144.024,0.28304,0.708648611,-0.425608611,1.506234211
97,NLA12_CO-107,1,8297,-97.61,-13.91,0,,0.64239,,0.141774226,3209426.194,0.642839999,0.409333063,0.233506937,
98,NLA12_CO-108,1,6976,-91.31,-12.21,0.03680937,0.100228602,0.13973,0.187556582,0.131218507,228325.9213,0.419560006,0.438338262,-0.018778256,0.119006858
99,NLA12_CO-109,1,8184,-112,-14.49,0.104119254,0.113784076,0.493905,1.183420602,0.259328944,2401517.978,0.885539988,0.414065936,0.471474052,-0.357689976
100,NLA12_CO-110,1,6342,-69.2,-5.67,0.218527174,0.844730742,0.01326,0.447044899,3.917268473,276065.3645,0.333120002,0.739611951,-0.406491949,1.251222692
101,NLA12_CO-111,1,8477,-114.91,-14.79,0.08804222,0.670717764,0.01542,0.262078093,4.285269322,4750452.579,0.318099995,0.733769568,-0.415669573,1.086387337
102,NLA12_CO-114,1,6874,-97.34,-12.52,0.080741884,1.446049401,0.47741,0.406991805,0.806846766,115135.1579,0.86088001,0.398847309,0.462032701,0.984016701
103,NLA12_CO-115,1,7102,-87.76,-9.46,0.217072163,0.084544286,0.72686,0.715148397,0.080193108,52469.66495,0.669510007,0.453537398,0.215972609,-0.131428323
104,NLA12_CO-117,1,7686,-64.81,-7.21,0.212687913,0.099968962,0.04104,0.786955539,1.297017279,660892.5595,0.46852,0.507853566,-0.039333566,0.139302528
105,NLA12_CO-119,1,7322,-115.19,-15.99,0,,0.69075,,1.12649737,798640.887,1.156899986,0.323981668,0.832918318,
106,NLA12_CO-121,1,7684,-93.85,-12.81,0.027246024,0.19525975,0.51395,0.110092507,0.040792533,30506.24607,0.898880002,0.367153819,0.531726183,-0.336466434
107,NLA12_CO-124,1,6753,-49.57,-1.63,0.461690401,0.382077289,0.01157,1.167848205,5.19830946,175785.4044,0.317860002,0.754989582,-0.437129581,0.819206869
108,NLA12_CO-125,1,7476,-124.35,-16.84,0,,0.0107,,7.846530698,50560.49826,0.32942,0.413123475,-0.083703475,
109,NLA12_CO-127,1,8414,-86.51,-9.16,0.3506436,12.14191921,0.01127,0.988911907,6.845574349,512006.3481,0.300670001,0.734526972,-0.433856971,12.57577618
110,NLA12_CO-129,1,7395,-58.35,-4.97,0.219383158,0.588460759,0.00827,0.248614611,3.467137088,24848.31096,0.198320001,0.754661747,-0.556341746,1.144802505
111,NLA12_CO-130,1,7957,-102.93,-14.29,0,,0.24015,,0.281713867,92780.57372,0.559959996,0.370256533,0.189703463,
112,NLA12_CO-131,1,6875,-116.15,-14.64,0.146165778,2.922333515,0.00976,0.883078442,10.16279291,507970.2265,0.276279999,0.483315333,-0.207035334,3.129368849
113,NLA12_CO-131,2,8025,-109.42,-13.68,0.165854286,2.575424271,0.00976,1.002028968,10.16279291,507970.2265,0.276279999,0.483315333,-0.207035334,2.782459605
114,NLA12_CO-133,1,7827,-77.17,-11.06,0.192155004,0.024141575,0.38438,0.467230605,0.028613908,139506.0062,0.774809991,0.365912421,0.408897569,-0.384755995
115,NLA12_CO-R01,1,8258,-123.09,-16.51,0.015787895,0.70011466,0.5441375,0.667767251,0.835207344,24043120.25,0.613639992,0.434233965,0.179406027,0.520708633
116,NLA12_CO-R04,1,7768,-115.1,-15.28,0.040986566,0.04624048,0.320601765,0,0,0,0.405459998,0.626188842,-0.220728843,0.266969323
117,NLA12_CO-R07,1,8334,-123.06,-16.21,0.054203681,0.131323621,0.46755,0.172648602,0.047256555,33418.73046,0.708539999,0.412327272,0.296212727,-0.164889107
118,NLA12_CO-R10,1,8282,-69.49,-5.46,0.36606146,0.121407281,0.01426,2.0759334,5.491708545,57842.46922,0.384190001,0.539757013,-0.155567011,0.276974292
119,NLA12_CT-101,1,6689,-37.58,-5.88,0.018003093,0.693547124,0.56763,0.017657428,0.020781466,126197.0497,1.146849996,0.661182167,0.485667829,0.207879296
120,NLA12_CT-101,2,8298,-32.27,-4.48,0.2109079,0.059201166,0.56763,0.2068584,0.020781466,126197.0497,1.146849996,0.661182167,0.485667829,-0.426466663
121,NLA12_CT-102,1,6854,-35.44,-4.79,0.204384203,1.638198767,0.64613,2.247001239,2.970486179,7158214.306,1.153480005,0.651202436,0.502277569,1.135921198
122,NLA12_CT-103,1,7800,-36.99,-5.73,0.036963949,0.460644156,0.58665,0.418924226,0.314331494,4348920.593,1.093610004,0.68279539,0.410814614,0.049829542
123,NLA12_CT-104,1,7091,-40.39,-6.15,0.036399751,0.085936327,0.597978333,0.114871189,0.016349487,771566.8888,1.235990013,0.665596757,0.570393256,-0.484456929
124,NLA12_CT-105,1,8500,-31.7,-3.68,0.26634583,0.33718502,0.52885,0.929219126,0.462436856,245379.3581,1.099419998,0.664049495,0.435370504,-0.098185484
125,NLA12_CT-107,1,7450,-28.14,-3.97,0.220854518,0.101864877,0.47656,0.461939425,0.091791133,509479.7831,1.184279991,0.738535856,0.445744136,-0.343879259
126,NLA12_CT-108,1,7953,-28.35,-3.67,0.324990858,0.210849581,0.50491,0.461394168,0.157882875,366147.0299,1.076319996,0.662818946,0.41350105,-0.202651469
127,NLA12_CT-115,2,8412,-28.87,-4.04,0.227597919,0.529392604,0.53812,0.803164675,0.574528475,2684340.023,1.141279999,0.680928369,0.46035163,0.069040974
128,NLA12_CT-115,1,6813,-32.33,-4.7,0.173555412,0.694237382,0.53812,0.612455407,0.574528475,2684340.023,1.141279999,0.680928369,0.46035163,0.233885752
129,NLA12_CT-118,1,7224,-31.2,-4.09,0.187158712,0.342032023,0.55813,1.033206311,0.527773691,974763.9731,1.204680018,0.691905475,0.512774542,-0.170742519
130,NLA12_CT-126,1,7582,-30.97,-4.3,0.213600708,0.807159301,0.55978,0.476708053,0.452326208,506989.0063,1.129989994,0.669747407,0.460242587,0.346916714
131,NLA12_DE-101,1,7729,-25.74,-3.79,0.17654899,0.128710676,0.391265,0.114341159,0.03511666,349854.7087,1.010140003,0.825042841,0.185097162,-0.056386486
132,NLA12_DE-101,2,8654,-27.95,-4.02,0.150059641,0.151431388,0.391265,0.097185451,0.03511666,349854.7087,1.010140003,0.825042841,0.185097162,-0.033665773
133,NLA12_DE-102,1,6838,-31.16,-4.66,0.083605499,0.044118371,0.3156375,0.04443954,0.006140192,104322.9486,0.846900005,0.851528508,-0.004628503,0.048746873
134,NLA12_DE-103,1,7972,-35.48,-5.94,0.012786568,0.120547309,0.260342,0.009243586,0.004255171,170977.7873,0.857970001,0.867105832,-0.009135831,0.129683141
135,NLA12_DE-104,1,8115,-30.9,-4.81,0.061443793,0.025983204,0.267944667,0.04966705,0.004786924,242884.6649,0.898919998,0.871984969,0.026935029,-0.000951825
136,NLA12_DE-105,2,8620,-33.93,-5.7,0.023165947,0.100582491,0.26878,0.023091414,0.008562302,62001.40737,0.930040001,0.874570964,0.055469037,0.045113454
137,NLA12_DE-105,1,6780,-33.25,-5.41,0.032281748,0.072179756,0.26878,0.032177886,0.008562302,62001.40737,0.930040001,0.874570964,0.055469037,0.016710719
138,NLA12_DE-107,1,8592,-33.97,-5.8,0.025089327,0.108202714,0.246663333,0.016826404,0.007301964,82096.4687,0.848279999,0.860742988,-0.012462989,0.120665703
139,NLA12_DE-121,1,8469,-32.65,-5.71,0.029343836,0.193664241,0.259415,0.021100663,0.015408458,149344.8295,0.88952,0.872630596,0.016889404,0.176774837
140,NLA12_FL-101,2,8062,17.49,2.71,0.728307675,0.237143609,0.249183441,0.833856194,0.47183328,2260077174,1.159470025,1.178580166,-0.019110141,0.25625375
141,NLA12_FL-101,1,6212,19.54,2.6,0.846917675,0.203931876,0.249183441,0.969655509,0.47183328,2260077174,1.159470025,1.178580166,-0.019110141,0.223042017
142,NLA12_FL-102,1,6222,21.35,3.86,0.837765801,0.266725626,0.32917,0.981537559,0.44268829,4016362.837,1.388060009,1.182852462,0.205207547,0.061518079
143,NLA12_FL-102,2,7826,13.12,2.6,0.47902919,0.466471798,0.32917,0.561236972,0.44268829,4016362.837,1.388060009,1.182852462,0.205207547,0.261264251
144,NLA12_FL-103,1,7530,10.2,2.19,0.433872356,1.380472448,0.154078889,0.158801922,0.297548939,51953557.76,1.112880008,1.143953367,-0.03107336,1.411545808
145,NLA12_FL-104,1,6233,13.3,2.67,0.48960923,0.110504513,0.25446,1.136794742,0.401480301,1071050.929,1.272489997,1.178189588,0.094300409,0.016204104
146,NLA12_FL-105,1,7839,14.71,2.88,0.588276323,0.058812407,0.175237417,0.427599084,0.117776626,52011531.41,1.247219995,1.127060588,0.120159406,-0.061346999
147,NLA12_FL-106,1,6232,13.94,2.76,0.513961164,0.164255106,0.3071,0.473437726,0.192943486,262532.7749,1.323649976,1.164683862,0.158966114,0.005288991
148,NLA12_FL-107,1,6228,21.26,4.38,0.912895446,0.348425311,0.34637,1.629785817,0.7619361,631317.2536,1.476589996,1.177366297,0.299223699,0.049201612
149,NLA12_FL-108,1,7531,-11.89,-1.73,0.089397415,0.089260898,0.172414889,0.133022409,0.064271062,52448298.59,1.620639988,1.04890796,0.571732028,-0.482471129
150,NLA12_FL-109,1,7836,0.35,0.45,0.44476079,0.013672108,0.269436128,0.286865534,0.01419363,26531457.65,1.306999989,1.153668217,0.153331772,-0.139659664
151,NLA12_FL-110,1,6231,-0.5,0.44,0.189038472,0.827217188,0.37106,0.188087923,0.283199461,21734.84302,1.331770022,1.167756032,0.16401399,0.663203199
152,NLA12_FL-110,2,7908,-3.47,0.26,0.153381785,1.019520497,0.37106,0.15261053,0.283199461,21734.84302,1.331770022,1.167756032,0.16401399,0.855506507
153,NLA12_FL-114,1,6251,16.71,3.7,0.661076882,1.271674139,0.25446,1.462366405,1.599811229,166047.2151,1.272489997,1.178189588,0.094300409,1.17737373
154,NLA12_FL-123,2,8061,-2.02,-0.16,0.145585936,0.572597414,0.20242,0.844552025,1.575989178,2272625.262,1.421199967,1.134512283,0.286687684,0.28590973
155,NLA12_FL-123,1,6218,0.12,0,0.166650519,0.500221248,0.20242,0.966748828,1.575989178,2272625.262,1.421199967,1.134512283,0.286687684,0.213533564
156,NLA12_FL-126,1,7909,6.54,1.5,0.305256202,0.038934601,0.212006524,0.188726939,0.032821862,19219802.39,1.160629992,1.162208087,-0.001578095,0.040512696
157,NLA12_FL-130,1,7814,16.15,3.04,0.677466906,0.000903417,0.2125168,0.419572579,0.001778382,152253.9384,1.168529987,1.143062394,0.025467593,-0.024564177
158,NLA12_FL-132,1,8060,19.35,4.04,1.079054948,0.106856941,0.307926667,0.350441841,0.089587627,2341236.119,1.136619994,1.190695796,-0.054075802,0.160932743
159,NLA12_FL-141,1,8026,8.46,2.44,0.514179923,0.287114302,0.38764,0.208824643,0.097213031,136699.7429,1.595919998,1.02832197,0.567598028,-0.280483726
160,NLA12_FL-R04,1,1000190,10.67,2.85,0.505957578,0.050413715,0.178091667,0.3062661,0.073155515,1173717.138,1.431819989,1.107869657,0.323950332,-0.273536617
161,NLA12_FL-R06,1,7532,-10.94,-0.91,0.099134144,3.466744276,0.465935,0.095808461,0.324320647,7300792.909,1.705799986,1.05025461,0.655545376,2.8111989
