SITE_ID,VISIT_NO,DATE_COL,JULIAN_DAY,REPEAT,Chir_PCT_C,Chir_d13C,CAT_13C,Chir_PCT_N,Chir_d15N,CAT_15N,Lake_dD,P_dD_K,Lake_d18O,P_d18O_K,d-excess,E_I,BASINAREA_KM2,IRT,PRT,ORT,MRT,LON_DD,LAT_DD,ALBERS_X,ALBERS_Y,ST,STATE_NAME,EPA_REG,MDCATY,WGT,WGT_NLA,ADJWGT_CAT,URBAN,WSA_ECO3,WSA_ECO9,ECO_LEV_3,NUT_REG,ECO_NUTA,LAKE_ORIGIN,ECO3_X_ORIGIN,REF_CLUSTER,RT_NLA,REF_NUTR,AREA_HA,LAKEAREA,LAKEPERIM,SLD,DEPTH_X,DEPTHMAX,Lake_Vol,ELEV_PT,Max_WSelev,Mean_WSelev,Stdev_WSelev,DOM_GEOL,GEOL_PT,Precip_WS,Precip_PT,P_WY,E,RH_WS,RH_PT,RH_COLMO,RH_FW,T_FW,TMAX_WS,TMEAN_WS,TMIN_WS,TMAX_PT,TMEAN_PT,TMIN_PT,LITRIPCVR_OE,LITRIPCVR_COND,OE5,OE5_COND_R,OE5_COND,LDC_ADJ,LDC_COND,RDis_IX,RDIS_COND,DO2_2M,DO2_COND,PTL_COND,NTL_COND,CHLA_COND,PTL,NTL,CHLA,RT_BUG,ECOBUG,MMI_NLABUG,totlrich,CHIRrich,totlnind,CHIRptax,CHIRpind,POP_DEN,FarmFert,LvStckCon,LvStckUnC,NnFarmFert,ATM_N,Hum_N,Fert,manure,largest_source,AN,AN_CAT,HN,HN_CAT,FertN,FN_CAT,ManureN,MN_CAT,N_CAT,Nload,MaxNload,EN,NEN,nsource,PCT_DEVELOPED_BSN,PCT_FOREST_BSN,PCT_SHRUBLAND_BSN,PCT_GRASS_BSN,PCT_PASTURE_BSN,PCT_CROPS_BSN,PCT_AGRIC_BSN,PCT_WETLAND_BSN,PCT_BURR,PCT_SPRL,PCT_CLIM,PCT_COLL,PCT_FILT,PCT_PRED,PCT_SHRD
NLA06608-0354,1,7/19/2007,199,N,40.05,-26.94,AVG,9.77,3.67,AVG,-44.22,-56.56,-6,-8.34,3.81,0.127,1.15,0.18,0.13,0.18,0.22,-71.80704144,42.51316899,1954384.274,811632.0189,MA,Massachusetts,Region_1,0.008485972,116.707116,74.8790103,MA,YES,  Eastern_Highlands,NAP,59,XIV,CPL,MAN-MADE,EHIGH MAN-MADE,B,Fair,N,21.96049736,0.219604974,2.451015046,1.475434585,2.9,2.9,184955.4297,255.8,312,269,13,Sedimentary,Sedimentary,1274.5,1273,1.2,0.6,66,66,0.48,0.57,17.51,27.25,8.15,-9.9,27.3,8.2,-9.8,1.079526948, Good,0.691898,Poor,POOR,-7.264592015,Fair,0.115217391,Least,7.79,HIGH,LEAST DISTURBED,LEAST DISTURBED,LEAST DISTURBED,5,188,2.088,Fair,NAP,63.18760149,43,23,300,53.48837209,53.33333333,145.6,0,0,0,84.574,1143.000613,907.6945779,84.574,0,Atmospheric,9.972112195,INT,7.919184,LOW,0.73786611,LOW,0,LOW,LOW,18.62916231,9.972112195,7.919184,10.70997831,not enriched,7.2,72.8,0,0,0,0,0,0,12.5,15.44,62.5,52.57,30.15,8.82,22.79
NLA06608-0356,1,7/16/2007,196,N,47.44,-20.72,HIGH,12.24,5.76,AVG,-40.51,-69.56,-2.97,-10.13,-16.78,0.391,54.03,0.56,0.04,0.56,0.65,-104.5942811,36.5624187,-761071.8969,-70618.3456,NM,New Mexico,Region_6,0.371411402,2.666513107,3.469459355,NM,NO,Plains,SPL,26,IV,IVman,MAN-MADE,PLNLOW MAN-MADE,E,Fair,N,91.80896919,0.918089692,3.990401114,1.17481387,2.4,2.4,766740.9675,1831,2138,1875,34,Sedimentary,Sedimentary,407.32,394,0.35,0.58,49.11,49,0.28,0.36,18.81,30.12,9.46,-11.09,30.4,9.4,-11.7,0.839596525, Good,0.27461,Poor,POOR,-20.82568408,Poor,0.539434889,Intermediate,,NA,MOST DISTURBED,MOST DISTURBED,MOST DISTURBED,167,2897,110.7,Fair,PLN,47.49030816,29,11,300,37.93103448,12.33333333,1.109475634,11977.754,238.448,20687.052,11.258,10066.03827,326.0222483,11989.012,20925.5,Manure,1.863151484,LOW,0.06034438,LOW,2.219080129,LOW,3.873159959,LOW,LOW,8.015735952,3.873159959,3.933504339,4.082231612,not enriched,0.7,0.7,3.7,83.3,0,7.1,7.1,2.2,41.33,30.67,4,52,8,16,16
NLA06608-0357,1,7/27/2007,207,N,45.48,-27.06,AVG,12.44,3.51,AVG,-49.66,-63.11,-6.65,-9.49,3.55,0.149,5.56,0.28,0.08,0.28,0.13,-73.13778739,42.31280493,1854363.972,763245.5527,MA,Massachusetts,Region_1,0.022981444,43.09447873,27.64931589,MA,NO,  Eastern_Highlands,NAP,58,VIII,VIII,MAN-MADE,EHIGH MAN-MADE,B,Fair,N,58.46368161,0.584636816,5.075889043,1.872682309,3.3,3.3,592565.1704,536.84,662,568,25,Gneiss,Gneiss,1350.17,1353,1.27,0.53,67,67,0.54,0.62,15.7,24.73,6.42,-10.83,24.8,6.5,-10.8,0.843754195,Fair,1.18253, Good,NOT POOR,1.71669071, Good,0.205172414,Intermediate,8.185,HIGH,LEAST DISTURBED,LEAST DISTURBED,LEAST DISTURBED,14,276,5.616,Fair,NAP,53.40437044,35,24,300,68.57142857,82,31.57037071,0,0,51.73,60.514,5639.389929,954.5943315,60.514,51.73,Atmospheric,10.14406477,HIGH,1.717112463,LOW,0.108851834,LOW,0.093051283,LOW,INT,12.06308035,10.14406477,1.810163746,10.25291661,not enriched,2.6,82.4,1.1,0.1,0,0,0,3.3,23.92,38.76,30.1,27.01,26.39,43.09,10.93
NLA06608-0358,1,7/17/2007,197,N,28.84,-28.32,AVG,7.05,3.28,AVG,-73.16,-74.44,-9.97,-10.48,6.57,0.016,5.29,0.03,0.02,0.03,0.03,-71.13479653,44.84025867,1940300.256,1076450.942,NH,New Hampshire,Region_1,0.008876778,111.569018,83.28595282,NH,NO,  Eastern_Highlands,NAP,58,VIII,VIII,NATURAL,EHIGH NATURAL,B, Good,N,13.10743679,0.131074368,1.502320109,1.170573431,,2.4,103265.2512,444.3,665,522,42,Sedimentary,Sedimentary,1060.5,1055,1.21,0.48,67,67,0.5,0.59,13.39,23.82,3.6,-17.22,24.1,3.7,-17.3,1.025178701, Good,1.165755, Good,NOT POOR,5.451323122, Good,0.166666667,Least,8.7,HIGH,LEAST DISTURBED,LEAST DISTURBED,LEAST DISTURBED,7,209,3.687, Good,NAP,78.15186627,45,21,300,46.66666667,58,2.2,0,0,44.132,0,3898.831311,63.31452639,0,44.132,Atmospheric,7.368393694,INT,0.119658,LOW,0,LOW,0.083404981,LOW,LOW,7.571456675,7.368393694,0.203062981,7.368393694,not enriched,0,88.9,1.9,0,0,0,0,5.9,27.75,27.75,43.98,63.87,29.32,20.94,2.62
NLA06608-0359,1,7/10/2007,190,N,,,,,,,-56.82,-65.89,-7.63,-9.19,4.22,0.089,2844.92,0.19,0.03,0.19,0.18,-96.62636247,45.40860134,-49021.88305,884542.0134,SD,Minnesota,Region_8,0.12642225,7.833853361,3.957354262,SD,NO,Plains,TPL,46,VI,VI,MAN-MADE,PLNLOW MAN-MADE,E,Fair,N,4821.588411,48.21588411,102.7742922,4.175269329,3.9,3.9,61590269.01,294.63,646,396,83,Sedimentary,Sedimentary,570.74,571,0.65,0.61,68.87,69,0.48,0.61,18.28,28.87,6.17,-17.48,29.2,6.4,-17.3,,NA,,,,-26.36059905,Poor,,NA,7.5,HIGH,INTERMEDIATE DISTURBANCE,INTERMEDIATE DISTURBANCE,INTERMEDIATE DISTURBANCE,191,1296,42.655,,,,,,,,,13.90114192,9497650.201,1131091.745,1570610.561,17367.861,2360944.408,215099.3364,9515018.062,2701702.306,Fertilizer,8.298817739,INT,0.756083109,LOW,33.44568403,INT,9.496595916,LOW,INT,51.99718079,33.44568403,10.25267902,41.74450177,not enriched,4.8,2.1,0,15.7,14.7,52.6,67.3,5.9,,,,,,,
NLA06608-0361,1,7/15/2007,195,N,,-28.42,AVG,9.98,10.73,HIGH,-22.4,-32.38,-3.35,-5.52,4.4,0.113,7818.13,0.25,0.01,0.25,0.03,-81.04741516,35.02063348,1347526.394,-171447.2752,NC,North Carolina,Region_4,0.12642225,7.833853361,5.939198937,NC,YES,  Eastern_Highlands,SAP,45,IX,IX,MAN-MADE,EHIGH MAN-MADE,A,Fair,N,4528.488176,45.28488176,371.4952832,15.57298097,9.4,9.4,85843652.32,161.62,1805,382,203,Sedimentary,Mafic_UltraMafic,1248.19,1222,0.87,0.84,68.15,67,0.45,0.51,23.34,30.75,14.42,-2.05,32.3,16.1,-0.3,0.194232295,Poor,0.90739,Fair,NOT POOR,-1.712619874, Good,0.556915739,Intermediate,,NA,LEAST DISTURBED,LEAST DISTURBED,LEAST DISTURBED,19,171,11.856,Fair,SAP,10.70526955,12,4,32,33.33333333,15.625,258.7242946,3631159.315,3292075.875,3344124.862,827449.414,8062850.868,11001681.99,4458608.729,6636200.737,Sewage,10.31301882,HIGH,14.07201438,INT,5.702910356,LOW,8.488221372,LOW,INT,38.57616493,14.07201438,22.56023576,16.01592917,enriched,16,56.3,1.8,3.1,18.8,0.4,19.2,0.4,60,40,0,40,40,20,40
NLA06608-0363,1,7/21/2007,201,N,43.74,-30.49,LOW,12.08,11.78,HIGH,-47.12,-49.25,-6.55,-7.40,5.25,0.029,375.43,0.17,0.03,0.17,0.08,-85.33088977,41.93460679,876684.5952,546074.0101,MI,Michigan,Region_5,0.12642225,7.833853361,3.743461174,MI_LP,NO,Plains,UMW,56,VII,VII,MAN-MADE,PLNLOW MAN-MADE,C,Poor,N,294.5937826,2.945937826,21.87920273,3.595959336,13,13,11345484.22,258.64,329,286,14,Sedimentary,Sedimentary,932.81,947,1.03,0.65,71,71,0.4,0.56,19.19,28.76,9.3,-8.86,29,9.5,-8.7,0.674115203,Fair,0.803595,Fair,NOT POOR,-16.67625552,Fair,0.853846154,Most,8.966666667,HIGH,LEAST DISTURBED,LEAST DISTURBED,INTERMEDIATE DISTURBANCE,18,567,11.68,Poor,UMW,50.07323823,41,17,300,41.46341463,16,68.76022478,1402008.507,336835.394,129919.807,9507.585,449132.2451,140406.4043,1411516.092,466755.201,Fertilizer,11.96309813,HIGH,3.739868626,LOW,37.59717923,INT,12.43250364,INT,INT,65.73264962,37.59717923,16.17237226,49.56027735,not enriched,6.5,8.5,0.3,0.8,9.3,55.4,64.7,15.5,28.95,50,19.74,36.84,13.16,42.11,21.05
NLA06608-0366,1,7/31/2007,211,N,44.1,-26.1,AVG,11.45,7.86,HIGH,-71.49,-77.53,-9.51,-10.79,4.56,0.06,85.47,0.6,0.21,0.6,0.99,-95.26723865,46.94267011,56036.80614,1054775.82,MN,Minnesota,Region_5,0.006162343,160.7137579,116.1182748,MN,NO,Plains,UMW,50,VIII,VIII,NATURAL,PLNLOW NATURAL,C,Fair,N,209.1807756,2.091807756,17.22647758,3.359933382,18,18,11368789.48,447.74,501,469,9,Gneiss,Gneiss,650.35,654,0.64,0.54,68,68,0.45,0.58,16.74,26.6,3.95,-21.2,26.7,4,-21.1,1.197926725, Good,0.885665,Fair,NOT POOR,-20.50712534,Poor,0.527777778,Intermediate,11.93333333,HIGH,LEAST DISTURBED,LEAST DISTURBED,INTERMEDIATE DISTURBANCE,14,601,7.568,Fair,UMW,33.91845061,38,11,300,28.94736842,8,7.062237279,135718.93,50949.244,15945.93,193.107,51076.05528,3283.167364,135912.037,66895.174,Fertilizer,5.975657397,INT,0.384115086,LOW,15.90106685,INT,7.826419624,LOW,INT,30.08725895,15.90106685,8.210534709,21.87672424,not enriched,3.4,42.2,2.1,3.3,6.2,36,42.2,3.8,11.9,66.67,21.43,45.24,4.76,40.48,9.52
NLA06608-0367,1,8/23/2007,234,N,,,,,,,-52.05,-59.03,-6.86,-8.90,2.85,0.086,93.75,0.23,0.09,0.23,0.18,-81.22089462,41.36496934,1221933.225,528271.804,OH,Ohio,Region_5,0.041835122,23.67325186,20.27708552,OH,YES,  Eastern_Highlands,NAP,61,VII,VII,MAN-MADE,EHIGH MAN-MADE,B,Poor,N,568.3463456,5.683463456,30.56466562,3.616664147,6.4,6.4,9296778.414,337,400,361,11,Sedimentary,Sedimentary,1047.87,1049,1.11,0.62,70,70,0.52,0.59,17.94,27.91,9.51,-7.69,27.9,9.5,-7.7,0.202596663,Poor,0.66858,Poor,POOR,-15.37861302,Fair,0.222222222,Intermediate,7.433333333,HIGH,INTERMEDIATE DISTURBANCE,MOST DISTURBED,MOST DISTURBED,54,2157,59.4,Poor,NAP,35.64643301,43,17,300,39.53488372,40.33333333,169.8239562,100864.088,29013.374,23921.111,3326.599,174515.7795,86593.52356,104190.687,52934.485,Atmospheric,18.61518268,HIGH,9.236724978,LOW,11.1137725,INT,5.646395477,LOW,INT,44.61207564,18.61518268,14.88312045,29.72895518,not enriched,12.4,42.7,0.1,5.9,9.2,21,30.2,0.9,15.29,18.47,64.97,36.31,22.29,17.2,36.94
NLA06608-0369,1,7/26/2007,206,N,29.19,-24.68,AVG,7.14,6.32,AVG,-67.88,-72.62,-9.2,-10.33,5.74,0.047,18.03,1.64,2.31,2.31,3.52,-72.31186438,44.58635561,1857383.969,1025576.454,VT,Vermont,Region_1,0.084045446,11.78378385,35.04559536,VT,NO,  Eastern_Highlands,NAP,58,VIII,VIII,NATURAL,EHIGH NATURAL,B,Fair,N,306.6713126,3.066713126,8.689673241,1.399786942,43.6,43.6,52485420.66,426.96,662,484,57,Sedimentary,Sedimentary,1165.86,1150,1.26,0.49,66.75,67,0.52,0.6,14.17,24.36,4.12,-16.7,24.7,4.3,-16.6,0.74432304,Fair,1.041893, Good,NOT POOR,-11.82400574,Fair,0.627586207,Intermediate,7.9,HIGH,LEAST DISTURBED,LEAST DISTURBED,LEAST DISTURBED,1,163,1.744,Fair,NAP,62.31098735,37,17,264,45.94594595,25.37878788,19.6,5215.805,18854.612,3983.066,83.336,17365.4034,1922.308722,5299.141,22837.678,Manure,9.630234671,INT,1.066044,LOW,2.938714996,LOW,12.6649634,INT,INT,26.29995707,12.6649634,13.7310074,12.56894967,enriched,4.8,57.1,2.7,0.4,9.2,6.2,15.4,1.8,5.97,35.82,56.72,38.81,28.36,34.33,2.99
NLA06608-0372,1,8/3/2007,214,N,38.62,-19.34,HIGH,10.78,4.29,AVG,-81.36,-100.91,-10.01,-13.86,-1.25,0.228,22.05,1.48,0.17,1.48,2.59,-105.0515471,38.4638561,-781181.0659,145260.3567,CO,Colorado,Region_8,0.033562876,29.50800038,12.717609,CO,NO,Plains,SPL,26,IV,IVman,MAN-MADE,PLNLOW MAN-MADE,E, Good,Y,37.95695515,0.379569552,3.384934586,1.549885677,13.7,13.7,1623097.673,1672,1962,1773,73,Sedimentary,Sedimentary,376.37,338,0.44,0.66,50.2,50,0.32,0.42,19.79,31.01,10.77,-7.52,31.9,11.2,-7.6,1.089973396, Good,1.002204, Good,NOT POOR,-3.635277604, Good,0.506097561,Intermediate,7.333333333,HIGH,LEAST DISTURBED,LEAST DISTURBED,LEAST DISTURBED,16,229,3.16,Fair,PLN,43.92096405,26,7,300,26.92307692,8.333333333,9.1,1181.221,1031.756,4846.2,88.781,4833.625227,1091.449679,1270.002,5877.956,Manure,2.191945279,LOW,0.494949,LOW,0.575918644,LOW,2.665526867,LOW,LOW,5.928339791,2.665526867,3.160475867,2.767863924,enriched,4.7,33.3,23.5,36,0,0.7,0.7,0,16.98,49.06,33.96,32.08,24.53,35.85,9.43
NLA06608-0373,1,7/12/2007,192,N,41.89,-23.08,AVG,11.47,4.27,AVG,-28.66,-67.99,-1.63,-9.75,-15.62,0.432,17.21,9.34,7.81,9.34,30.58,-117.1853787,34.25648145,-1920181.169,-148221.2666,CA,California,Region_9,0.023867816,41.49409224,24.80223611,CA,YES, Western_Region,WMT,8,II,II,MAN-MADE,WMTNS MAN-MADE,G,Poor,N,302.3385348,3.023385348,17.80972311,2.889385463,46.5,46.5,39670491.12,1559.92,1839,1630,64,Quaternary,Quaternary,872.33,878,0.3,0.61,42,42,0.21,0.31,17.25,27.23,10.83,-1.7,27.2,10.8,-1.8,0.549624289,Poor,0.61433,Poor,POOR,-10.88731031,Fair,0.852912621,Most,7.933333333,HIGH,LEAST DISTURBED,LEAST DISTURBED,LEAST DISTURBED,1,104,0.68,Poor,WMX,34.77021389,30,10,300,33.33333333,40.33333333,654.2097696,0,0,7.102,4711.395,22452.93738,61226.86416,4711.395,7.102,Sewage,13.04869958,HIGH,35.58246937,INT,2.73806393,LOW,0.004127383,LOW,INT,51.37336026,35.58246937,35.58659675,15.78676351,enriched,37.6,46.4,0.5,0.1,0,0,0,0.2,57.69,26.44,14.42,85.1,1.44,9.13,19.71
NLA06608-0376,1,8/22/2007,233,N,36.09,-29.79,LOW,9.65,3.39,AVG,-10.64,-24.75,-1.84,-4.34,4.09,0.205,911.82,0.75,0.12,0.75,0.36,-96.12859695,36.30884018,-11441.95327,-133452.3915,OK,Oklahoma,Region_6,0.02910147,34.0317304,9.346499571,OK,NO,Plains,SPL,29,IX,IX,MAN-MADE,PLNLOW MAN-MADE,C,Fair,N,4223.97665,42.2397665,294.4625061,12.78098478,17,17,134556232,217.74,368,267,28,Sedimentary,Sedimentary,1036.96,1037,1.24,0.87,63.71,64,0.45,0.6,23.27,34.12,15.33,-4.32,34,15.3,-4.3,0.741603982,Fair,0.510794,Poor,POOR,,NA,0.178787879,Least,6.4925,HIGH,LEAST DISTURBED,LEAST DISTURBED,LEAST DISTURBED,6,324,4.245,Fair,PLN,38.91989953,29,9,165,31.03448276,49.09090909,22.68542802,146655.516,0.5804176,999854.534,2626.56,765386.7135,112506.2804,149282.076,999855.1144,Manure,8.394023656,INT,1.23386043,LOW,1.637181905,LOW,10.96544705,INT,INT,22.23051305,10.96544705,12.19930748,10.03120556,enriched,4.3,32.4,0,53.5,4.1,0.9,5,0,87.65,7.41,4.94,19.75,69.14,7.41,72.84
NLA06608-0377,1,7/12/2007,192,N,42.45,-22.25,HIGH,11.54,8.07,HIGH,-40.63,-51.04,-5.06,-8.01,-0.12,0.133,0.07,0.16,0.66,0.66,0.73,-76.77414252,40.86340465,1596434.023,538946.439,PA,Pennsylvania,Region_3,0.001312891,754.345388,316.2207713,PA,YES,  Eastern_Highlands,SAP,67,XI,XI,MAN-MADE,EHIGH MAN-MADE,B,Fair,N,5.459823439,0.054598234,1.089679549,1.315541549,2.1,2.1,41076.32778,135.37,135,133,1,Sedimentary,Sedimentary,1093,1093,0.92,0.64,67,67,0.44,0.59,18.44,28.8,9.9,-7.6,28.8,9.9,-7.6,0.513193954,Poor,0.73741,Poor,POOR,-18.54343449,Fair,0.818181818,Most,11.03333333,HIGH,MOST DISTURBED,MOST DISTURBED,MOST DISTURBED,46,850,44.928,Fair,SAP,45.40819744,35,14,300,40,22.66666667,2742.4,0,0,0,1.58,90.8597917,1011.596358,1.58,0,Sewage,13.3972092,HIGH,149.159136,HIGH,0.232969833,LOW,0,LOW,HIGH,162.789315,149.159136,149.159136,13.63017903,enriched,2.9,7.4,0,0,0,0,0,0,8.57,24.76,55.24,40.95,40,27.62,18.1
NLA06608-0378,1,6/26/2007,176,N,27.12,-25.02,AVG,6.24,5.97,AVG,-114.45,-123.27,-13.77,-15.94,-4.26,0.096,278.08,0.88,0.33,0.88,4.78,-112.4475051,47.55716773,-1239839.959,1230062.04,MT,Montana,Region_8,0.096819734,10.2290445,2.212647044,MT,NO,Plains,NPL,42,V,V,MAN-MADE,PLNLOW MAN-MADE,E,Fair,N,532.2075413,5.322075413,16.38110596,2.003077604,15.9,15.9,25943503.42,1264,2503,1526,258,Sedimentary,Sedimentary,487.46,358,0.28,0.54,57,56,0.28,0.39,16.34,25.2,4.59,-11.73,27.4,6.1,-11.7,0.519844566,Fair,0.583402,Poor,POOR,3.041813192, Good,0.770652174,Most,9.133333333,HIGH,LEAST DISTURBED,LEAST DISTURBED,LEAST DISTURBED,9,223,0.548,Fair,PLN,58.44377579,31,15,300,48.38709677,29.33333333,0.7,50030.508,1839.552,109079.058,0,54328.44978,1058.737413,50030.508,110918.61,Manure,1.953692241,LOW,0.038073,LOW,1.799134996,LOW,3.988717304,LOW,LOW,7.779617541,3.988717304,4.026790304,3.752827237,enriched,0,19.1,13.9,58.5,2.6,0.5,3.1,0.7,26.38,22.7,49.69,78.53,8.59,10.43,7.98
NLA06608-0384,1,6/28/2007,178,N,41.48,-23.69,AVG,10.74,3.93,AVG,-58.16,-94.52,-5.26,-12.41,-16.07,0.477,0.71,0.48,1.39,1.39,1.4,-103.1433201,48.71606442,-531071.5663,1270199.696,ND,North Dakota,Region_8,0.044741928,22.1352412,19.94722145,ND,NO,Plains,NPL,42,V,V,NATURAL,PLNLOW NATURAL,E,Fair,N,70.72461764,0.707246176,5.082473987,1.704845111,1.3,1.5,379027.8661,672.26,674,672,0,Sedimentary,Sedimentary,376,376,0.38,0.53,66,66,0.42,0.51,16.75,27.1,3.8,-20.1,27.1,3.8,-20.1,0.346948671,Poor,0.396847,Poor,POOR,-27.99973821,Poor,0.425,Intermediate,8.9,HIGH,LEAST DISTURBED,MOST DISTURBED,LEAST DISTURBED,68,4291,3.387,Fair,PLN,22.13015251,17,7,300,41.17647059,15.33333333,0.8,0,0,3.492,0.027,253.8970489,3.08682269,0.027,3.492,Atmospheric,3.578944922,LOW,0.043512,LOW,0.000380593,LOW,0.049223399,LOW,LOW,3.672060914,3.578944922,0.092735399,3.579325515,not enriched,0,0.1,0,0.7,0,0,0,0.7,20,3.53,76.47,10.59,83.53,2.35,21.18
NLA06608-0385,1,7/6/2007,186,N,37.69,-18.65,HIGH,9.18,6.16,AVG,-62.34,-144.83,-3.82,-19.35,-31.82,1.103,23.03,2.03,0.03,2.03,0.05,-112.8672712,48.24355,-1257785.292,1310135.913,MT,Montana,Region_8,0.039366136,25.15800295,5.441933591,MT,NO,Plains,NPL,42,V,V,NATURAL,PLNLOW NATURAL,E,Fair,N,39.84089927,0.398408993,2.792294465,1.247934287,2.2,2.2,337436.5078,1469.29,2294,1730,178,Sedimentary,Sedimentary,733.5,521,0.47,0.46,60,59,0.2,0.41,13.53,22.32,2.97,-12.12,24,3.8,-12.7,0.170426001,Poor,0.620853,Poor,POOR,-10.83370047,Fair,0.80990991,Most,8.2,HIGH,LEAST DISTURBED,MOST DISTURBED,LEAST DISTURBED,51,1834,2.312,Fair,PLN,49.99109673,27,14,300,51.85185185,30,4.431711247,1152.438,32.844,3809.4,0,4193.079605,555.1939379,1152.438,3842.244,Atmospheric,1.820450634,LOW,0.241040775,LOW,0.500337863,LOW,1.668133254,LOW,LOW,4.229962526,1.820450634,1.909174029,2.320788497,not enriched,0,51.8,26.9,13.7,1.9,0,1.9,0.1,8.39,32.26,58.06,71.61,38.71,12.9,26.45
NLA06608-0386,1,8/7/2007,218,N,41.47,-20.29,HIGH,11.56,6.4,AVG,-50.7,-56.22,-7.48,-9.03,9.16,0.064,32.58,0.51,0.04,0.51,0.08,-78.46066192,40.49157546,1465706.716,470904.1313,PA,Pennsylvania,Region_3,0.018890443,52.42721816,21.97743319,PA,YES,  Eastern_Highlands,SAP,67,XI,XI,MAN-MADE,EHIGH MAN-MADE,B,Fair,N,31.54660136,0.315466014,2.652090959,1.332009107,12.8,12.8,1500656.764,409.84,763,641,89,Sedimentary,Sedimentary,1137.03,1041,1.06,0.61,69.71,69,0.54,0.59,17.46,25.99,8.42,-8.48,27.1,9,-8.4,0.588373289,Poor,1.103738, Good,NOT POOR,-4.718188124, Good,0.411904762,Intermediate,3.106666667,MODERATE,LEAST DISTURBED,INTERMEDIATE DISTURBANCE,LEAST DISTURBED,9,475,0.832,Fair,SAP,63.91376662,40,19,300,47.5,38,114.344358,2901.041,2578.838,1280.027,1067.561,46901.04396,20261.01818,3968.602,3858.865,Atmospheric,14.39643772,HIGH,6.219189632,LOW,1.218176115,LOW,1.184491963,LOW,INT,23.01829543,14.39643772,7.403681595,15.61461383,not enriched,6.1,87.6,0,0,2.1,0.6,2.7,0,36.13,24.08,30.89,50.79,19.37,15.18,30.89
NLA06608-0388,1,8/16/2007,227,Y,42.16,-23.26,AVG,7.33,3.33,AVG,-26.36,-42.25,-3.33,-6.86,0.26,0.2,11.81,1.48,0.48,1.48,1.32,-83.70494798,36.68164988,1085519.166,-21379.8152,KY,Kentucky,Region_4,0.122710091,8.070838841,2.966501553,KY,YES,  Eastern_Highlands,SAP,69,XI,XI,MAN-MADE,EHIGH MAN-MADE,A, Good,Y,90.55692107,0.905569211,10.45712362,3.09989145,21.4,21.4,4780962.204,390.75,794,504,81,Sedimentary,Sedimentary,1336.93,1321,0.85,0.71,69,69,0.44,0.56,21.56,29.72,12.96,-3.41,30,13.2,-3.2,0.729207299,Fair,1.215612,Fair,NOT POOR,,NA,0,Least,,NA,LEAST DISTURBED,LEAST DISTURBED,LEAST DISTURBED,3,85,0.33, Good,SAP,57.57466223,37,14,251,37.83783784,29.88047809,87.92493194,0,0,85.34,152.397,14855.13497,5648.812794,152.397,85.34,Atmospheric,12.57623139,HIGH,4.782237048,LOW,0.129018009,LOW,0.072248121,LOW,INT,17.55973457,12.57623139,4.854485169,12.7052494,not enriched,3.1,86.9,0.1,2.5,0,0,0,0,22.67,58.67,14.67,42.67,14.67,38.67,8
NLA06608-0393,1,7/23/2007,203,N,42.35,-19.88,HIGH,11.44,0.96,LOW,-82.74,-85.45,-11.31,-12.11,7.73,0.033,2539.36,0.3,0.03,0.3,0.03,-120.5721188,37.89444471,-2116604.542,319380.8196,CA,California,Region_9,0.12642225,7.833853361,4.682523949,CA,YES, Western_Region,XER,6,III,III,MAN-MADE,WMTNS MAN-MADE,F,Fair,N,401.3816881,4.013816881,48.96900169,6.89505192,42.5,42.5,30766215.65,155.75,3518,1617,811,Granitic,Sedimentary,1116.69,564,0.36,0.83,60.43,61,0.24,0.37,22.92,27.85,9.59,-3.78,35.4,16,2,0.621682921,Fair,0.507911,Poor,POOR,17.38959307, Good,0.564814815,Intermediate,9.333333333,HIGH,LEAST DISTURBED,LEAST DISTURBED,LEAST DISTURBED,8,101,1.239,Fair,WMX,40.37877216,37,11,300,29.72972973,9,24.49112782,26581.734,159271.726,437236.471,11816.703,979119.9585,338260.7598,38398.437,596508.197,Atmospheric,3.855778941,LOW,1.332072442,LOW,0.151213223,LOW,2.349052048,LOW,LOW,7.688116655,3.855778941,3.681124491,4.006992164,not enriched,1.6,56.5,26.4,9,0,0.1,0.1,0.1,31.48,22.22,24.07,48.15,0,14.81,18.52
NLA06608-0395,1,6/27/2007,177,N,,,,,,,-17.35,-22.05,-3.13,-4.01,7.7,0.049,23343.85,0.22,0.01,0.22,0.04,-86.48006432,33.09780391,881537.7825,-448385.4332,AL,Alabama,Region_4,0.12642225,7.833853361,2.450205884,AL,YES,  Eastern_Highlands,SAP,67,XI,XI,MAN-MADE,EHIGH MAN-MADE,A,Fair,N,4768.351596,47.68351596,400.2194601,16.34967538,12.6,12.6,191230466.2,117.88,1283,279,126,Sedimentary,Sedimentary,1437.49,1422,0.88,0.88,68.69,68,0.38,0.54,24.32,31.73,15.64,-0.79,32.9,16.8,0,,NA,1.140016, Good,NOT POOR,-18.6141716,Fair,,NA,7.1,HIGH,INTERMEDIATE DISTURBANCE,LEAST DISTURBED,MOST DISTURBED,13,231,30.4,,,,,,,,,153.9330665,11636573.61,21063130.48,9394476.32,560678.035,26193878.63,19544451.75,12197251.65,30457606.8,Manure,11.22088983,HIGH,8.372419487,LOW,5.22503822,LOW,13.04737856,INT,INT,37.8657261,13.04737856,21.41979805,16.44592805,enriched,10.2,62.3,3.2,3.9,13.8,3.2,17,1.2,,,,,,,
