SITE_ID,pet_200610,pet_200611,pet_200612,pet_200701,pet_200702,pet_200703,pet_200704,pet_200705,pet_200706,pet_200707,pet_200708,pet_200709,E_avg_06_07,precip_200610,precip_200611,precip_200612,precip_200701,precip_200702,precip_200703,precip_200704,precip_200705,precip_200706,precip_200707,precip_200708,precip_200709,Precip_PT_avg_06_07,Precip_WY_06_07,RH_200610,RH_200611,RH_200612,RH_200701,RH_200702,RH_200703,RH_200704,RH_200705,RH_200706,RH_200707,RH_200708,RH_200709,RH_PT_avg_06_07,tmean_200610,tmean_200611,tmean_200612,tmean_200701,tmean_200702,tmean_200703,tmean_200704,tmean_200705,tmean_200706,tmean_200707,tmean_200708,tmean_200709,TMEAN_PT_avg_06_07,tdmean_200610,tdmean_200611,tdmean_200612,tdmean_200701,tdmean_200702,tdmean_200703,tdmean_200704,tdmean_200705,tdmean_200706,tdmean_200707,tdmean_200708,tdmean_200709
NLA06608-0013,41.97,22.31,14.76,12.96,16.87,28.60,49.80,82.71,118.98,143.58,118.00,73.35,60.32,167.47,167.49,44.99,95.06,41.79,93.55,221.52,46.5,87,86.36,91.93,13.89,96.4625,1157.55,57.24,64.00,54.71,54.50,46.84,44.32,48.63,46.55,57.32,57.68,60.74,57.30,54.15,14.92,12.08,8.00,5.32,-0.52,8.65,12.27,20.66,24.21,25.77,25.70,22.92,14.99833333,626.0862564,269.4133328,118.1084314,69.00895714,-8.828193733,247.4041082,610.9410512,1708.828618,2880.488611,3700.479014,3032.891291,1681.210467
NLA06608-0014,27.53,9.80,5.35,4.84,7.82,17.22,36.26,76.11,112.42,126.28,106.10,55.01,48.73,25.96,1.19,22.04,4.78,9.97,28.84,11.75,159.95,74.71,34.62,55.84,16.87,37.21,446.52,57.84,60.90,68.65,72.24,75.98,64.07,47.12,58.71,64.03,55.42,54.67,51.08,60.89,6.28,-0.30,-4.37,-9.13,-12.75,1.89,7.31,14.85,19.98,25.29,21.02,17.05,7.259444444,172.9181923,-2.93887767,-23.39855087,-44.21040416,-99.64553145,32.55031521,264.9715246,1130.302508,2246.13182,3194.163794,2230.581974,937.749066
NLA06608-0015,52.36,27.75,20.30,21.13,27.66,41.84,61.34,98.34,138.86,149.02,126.03,86.96,70.97,61.4,1.25,7.78,34.76,6.28,3.62,31.86,28.19,12.39,33.95,29.21,31.92,23.55083333,282.61,36.83,26.69,33.30,44.18,28.65,21.27,19.18,25.06,17.38,29.27,33.70,32.77,29.02,18.75,14.90,7.81,6.38,11.38,15.72,19.38,23.30,29.42,30.35,29.76,26.39,19.46166667,981.6143847,413.4996749,158.5800272,134.810172,314.7520458,657.7409916,1188.955563,2291.004777,4085.812631,4522.191987,3750.248471,2295.163844
NLA06608-0016,34.65,15.13,10.58,9.92,13.87,25.23,41.62,73.96,113.55,136.87,111.96,64.97,54.36,28.93,1.47,62.94,13.3,24.31,50.57,112.25,177.61,89.97,95.54,32.23,41.22,60.86166667,730.34,53.91,48.69,55.48,70.48,71.74,54.93,61.33,56.52,59.02,58.73,58.68,50.13,58.30,11.39,5.68,0.71,-5.22,-3.06,10.29,9.68,18.45,22.07,26.27,26.64,21.46,12.03055556,394.6269381,86.01621563,7.50983898,-51.72739882,-42.38164618,259.5529265,402.7513434,1364.866385,2506.332747,3595.118667,2982.925255,1393.966488
NLA06608-0019,26.15,10.75,5.61,5.04,8.47,17.26,35.86,70.00,102.80,123.21,98.06,51.46,46.22,18.11,1.42,21.83,2.93,17.86,50.4,35.07,175.9,99.11,39.47,82.87,52.12,49.7575,597.09,49.14,48.67,56.01,66.83,65.16,58.15,49.79,53.70,57.39,51.48,53.62,48.40,54.86,7.10,0.85,-2.86,-9.57,-12.20,2.54,6.27,15.59,20.56,24.90,20.94,17.18,7.608611111,185.6129689,9.10284692,-16.01960705,-48.19536661,-103.3535874,43.90544888,224.8346196,1091.53536,2113.154824,3067.408755,2053.667265,883.8938839
NLA06608-0020,42.10,21.14,13.19,11.57,15.94,28.62,49.64,87.46,125.61,142.55,117.43,73.25,60.71,119.17,95.38,124,114.57,65.74,79.3,90.93,49.31,114.65,76.46,52.15,63.74,87.11666667,1045.4,56.83,65.28,73.02,76.50,65.86,58.83,51.99,48.66,52.29,57.85,54.00,48.34,59.12,13.66,8.94,4.47,1.47,-3.96,11.91,13.01,22.69,25.60,24.95,28.65,24.25,14.63722222,575.0318927,188.9647532,58.90652953,17.00420442,-63.05438564,340.8803857,645.9944636,1984.416824,3216.072337,3556.574596,3364.338845,1776.410567
NLA06608-0021,32.22,17.69,10.78,9.55,12.02,20.90,39.59,71.09,103.16,124.09,100.63,61.36,50.26,113.61,59.33,83.26,86.23,50.3,70.59,103.16,29.16,44.19,105.9,54.36,70.94,72.58583333,871.03,67.81,66.62,62.12,67.80,65.00,56.64,61.13,49.86,55.40,62.79,61.13,60.52,61.40,10.76,8.15,4.45,-0.49,-6.39,2.49,7.23,16.17,22.37,22.28,23.65,20.47,10.92777778,346.6569644,144.1407167,47.9529063,-4.711593616,-76.77554423,51.96585521,286.2178564,1149.304306,2307.263248,2765.195656,2380.3409,1255.956992
NLA06608-0023,63.56,36.28,26.76,26.09,31.72,50.49,73.24,109.47,144.69,165.52,149.83,104.37,81.84,100.95,10.95,55.76,127.22,10.61,242.94,34.73,245.31,201.86,144.44,21.53,58.61,104.5758333,1254.91,51.62,50.28,56.48,65.77,52.48,56.42,62.01,66.29,65.01,67.77,57.84,60.09,59.34,23.17,17.12,11.96,7.52,11.86,18.90,18.35,24.03,27.56,28.13,30.61,28.07,20.60722222,1472.836283,621.2221703,320.0336334,196.2581648,376.3603232,954.1062111,1344.013876,2630.977788,3987.185123,4655.570588,4585.944391,2930.112618
NLA06608-0024,63.30,35.90,24.79,24.21,31.51,50.44,73.58,110.43,146.27,167.20,141.78,98.28,80.64,137.75,82.08,128.4,190.81,32.3,95.68,78.86,208.2,174.83,307.96,44.32,52.36,127.7958333,1533.55,55.35,56.98,60.26,64.77,61.20,54.71,56.10,66.73,67.73,70.30,61.52,61.62,61.44,21.73,16.16,11.68,7.89,10.14,19.13,18.26,24.26,27.67,27.66,30.58,27.66,20.23416667,1375.552004,580.0630609,289.5312334,190.9115542,319.500317,965.0950913,1343.823062,2679.02525,4046.783967,4624.785745,4335.178758,2717.976479
NLA06608-0025,48.68,28.69,19.51,19.17,23.98,39.22,58.37,94.61,126.29,143.89,120.62,82.13,67.10,98.08,121.9,65.17,92.21,56.81,92.53,85.89,24.87,92.62,49.71,21.05,24.86,68.80833333,825.7,60.31,55.62,50.12,52.11,39.08,43.37,40.06,48.04,54.07,56.20,47.86,48.48,49.61,16.34,12.64,10.51,8.42,6.04,15.36,16.87,21.82,26.25,26.71,30.71,25.62,18.10805556,795.6359266,362.620921,205.1042836,161.3756874,144.9451015,602.4492134,984.6414548,2064.059038,3315.433441,3843.876099,3703.693198,2104.206289
NLA06608-0029,44.94,25.69,17.12,15.95,19.31,32.43,52.61,86.84,124.51,141.31,124.26,77.82,63.57,144.73,150,63.19,103.04,72.24,81.25,122.56,25,88.75,41.15,85.45,29.54,83.90833333,1006.9,59.53,67.49,56.22,54.80,50.06,47.75,52.63,51.80,57.34,56.97,62.08,61.36,56.50,16.42,12.84,9.87,7.70,1.19,10.33,12.93,20.71,25.34,26.80,27.42,24.04,16.30138889,737.8877234,329.9493047,169.0438676,122.8773953,22.97322489,334.9530804,680.3667817,1798.52379,3155.504516,3787.614146,3407.572393,1871.111803
NLA06608-0031,37.11,21.02,13.08,12.22,14.93,28.61,46.76,82.55,111.56,126.55,104.08,68.91,55.62,149.25,43.37,42.79,111.05,23.57,120.27,77.64,33.56,66.36,110.8,107.5,52.29,78.20416667,938.45,59.30,59.18,53.74,62.73,62.65,54.09,53.63,49.39,52.11,56.96,58.43,52.84,56.25,12.46,8.78,5.60,2.56,-4.98,8.77,10.89,20.01,23.65,23.28,26.10,22.00,13.26,462.5299041,184.4842168,73.30979963,31.24817059,-74.37857722,250.8897483,509.4061123,1651.616175,2638.733935,2946.545648,2716.491132,1515.862537
NLA06608-0033,24.41,11.92,8.39,9.12,12.92,20.76,33.94,48.95,67.82,91.76,72.72,45.60,37.36,79.22,616.86,221.92,293.59,210.26,223.74,68.91,35.68,73.22,3.93,15.85,26.07,155.7708333,1869.25,57.73,74.92,69.85,66.51,71.97,70.22,63.88,51.05,51.66,48.27,55.61,52.10,61.15,9.26,2.32,0.03,-0.70,2.12,4.04,5.21,11.12,13.24,18.86,16.61,13.86,7.9975,226.1309909,27.7051622,0.223792088,-6.416061344,27.38371564,83.79948442,176.826358,544.1929827,897.967305,1730.956358,1208.193619,632.0212668
NLA06608-0036,45.24,24.59,15.52,14.41,19.53,34.55,55.56,91.09,130.14,147.97,122.90,77.59,64.93,142.39,119.37,130.61,146.19,89.89,55.69,97.22,60.03,125.64,72.95,17.22,76.92,94.51,1134.12,60.58,63.76,65.37,68.55,58.72,55.41,49.17,55.31,57.26,57.05,48.44,50.68,57.53,14.73,10.33,7.03,4.33,1.28,14.88,14.89,23.04,25.81,26.70,30.79,25.16,16.58138889,666.5475509,253.992098,109.0568038,62.45382433,24.9334149,514.1645021,827.1564347,2099.106273,3359.470588,3951.383025,3784.347008,1951.852309
NLA06608-0037,32.44,18.04,11.08,9.78,12.17,22.27,39.30,70.08,101.31,114.77,99.52,57.49,49.02,159.69,119.22,49.38,75.87,53.36,120.86,215.18,39.86,84.26,186.86,68.86,48.58,101.8316667,1221.98,61.74,66.83,59.35,57.53,51.90,50.06,51.95,47.73,61.19,62.89,64.79,63.38,58.28,11.83,9.13,3.81,0.43,-4.79,2.49,8.37,17.25,20.76,22.43,22.24,19.18,11.09361111,383.6552454,164.7368282,42.2612476,4.240121557,-58.23952651,55.37738532,328.7778218,1208.563926,2102.928888,2573.842823,2213.593674,1102.445971
NLA06608-0038,26.42,12.54,7.06,5.92,8.11,16.26,31.32,60.54,88.42,106.18,85.21,48.14,41.34,189.22,55.93,110.2,82.71,51.16,96,92.56,100.77,108.73,168.84,155.78,90.26,108.5133333,1302.16,64.95,64.71,66.53,62.89,52.40,53.27,57.34,49.51,57.88,63.80,57.33,58.56,59.10,7.44,5.12,-1.27,-7.85,-11.39,-3.23,3.92,12.81,18.38,18.76,19.56,16.13,6.530555556,196.5100645,64.14153047,-8.96508748,-46.49053699,-92.40703594,-52.58230643,122.7810091,775.5367175,1625.151715,1991.645514,1667.068028,776.5522194
NLA06608-0041,37.43,21.51,14.38,13.38,16.11,28.66,46.31,76.22,102.54,116.45,102.65,64.53,53.35,120.74,77.49,40.09,68.62,63.15,103.66,117.44,70.96,87.43,170.65,100.77,111.27,94.35583333,1132.27,68.41,62.70,55.12,65.47,58.80,50.30,53.03,53.30,58.13,64.51,61.79,59.51,59.26,11.50,8.63,5.71,2.38,-3.53,10.44,11.22,19.60,22.98,22.30,25.66,21.23,13.17638889,430.39302,185.611218,82.18403752,31.80299186,-56.93481187,299.2576932,519.7688068,1493.662891,2356.48387,2597.233203,2633.680694,1369.865792
NLA06608-0042,20.66,10.47,7.12,7.65,9.81,16.27,24.38,44.21,60.61,77.43,62.29,35.28,31.35,36.57,31.19,20.22,25.95,36.83,103.17,66.39,127.16,74.21,60.03,28.78,38.46,54.08,648.96,46.16,47.50,48.89,54.25,50.25,44.05,46.74,49.35,42.92,37.07,37.14,40.27,45.38,4.00,-0.60,-2.97,-5.93,-3.55,2.69,2.97,8.75,13.66,18.26,16.56,11.28,5.427777778,82.59021342,-6.2831502,-21.13261954,-45.3299405,-34.77721205,43.82171571,72.48203788,386.6690364,828.1851467,1413.595881,1031.448244,398.038325
NLA06608-0043,34.54,18.07,10.45,9.22,12.18,23.70,41.76,79.21,114.47,129.61,105.76,65.06,53.67,117.09,58.61,88.21,94.31,25.94,59.05,97.94,39.26,64.71,88.98,261.52,41.91,86.46083333,1037.53,60.89,65.55,68.65,72.04,66.66,56.23,53.83,48.30,53.42,53.86,64.03,57.18,60.05,10.71,7.04,3.04,-0.76,-7.34,6.94,9.66,19.58,23.52,23.75,24.54,20.87,11.79638889,369.9203477,127.2345747,31.7925773,-6.976373748,-89.37809795,164.4648626,403.5869714,1550.596958,2692.36968,3078.3382,2594.957627,1357.744035
NLA06608-0044,30.36,13.90,9.62,9.06,12.85,23.67,39.48,70.72,102.49,131.24,106.64,57.60,50.63,13.63,5.8,22.67,6.12,11.05,42.17,63.55,89.39,42.46,44.17,74.95,28.26,37.01833333,444.22,47.59,42.79,50.53,59.52,66.37,46.42,53.76,47.50,45.20,42.28,47.61,41.86,49.29,9.87,5.02,0.38,-3.57,-3.36,9.73,8.73,17.79,22.14,26.94,25.89,20.03,11.63194444,299.7140279,69.7506698,3.686465338,-32.35937663,-43.20570624,230.2317952,344.7762014,1257.915968,2269.051774,3535.474672,2760.920992,1153.784364
NLA06608-0045,45.29,24.66,17.64,16.37,19.57,34.56,55.50,90.89,121.98,138.72,122.68,77.55,63.78,176,187.95,40.73,87.62,50.69,72.09,90.72,76.76,78.65,77.58,145.16,22.59,92.21166667,1106.54,61.66,64.65,53.81,54.33,44.91,44.22,46.70,54.73,58.58,54.75,58.21,54.89,54.29,15.69,12.21,9.68,7.77,3.19,13.07,15.29,21.12,25.49,26.82,28.29,24.35,16.91472222,710.5798913,300.9912054,170.7602142,127.1625149,62.34949784,451.8505216,848.7389833,1919.88234,3109.627088,3720.81585,3470.227219,1888.623186
NLA06608-0048,48.31,24.82,16.74,14.59,19.65,36.80,58.88,96.19,137.16,156.06,129.99,82.42,68.47,127.28,116.54,140.39,151.38,86.39,39.07,94.87,64.95,108.38,61.04,12.5,72.5,89.6075,1075.29,57.04,60.10,64.90,65.70,56.08,52.67,49.86,53.19,56.71,60.45,49.75,53.29,56.65,15.70,10.74,7.12,4.44,2.39,15.79,15.32,23.96,26.84,27.06,31.53,25.63,17.21,758.5791803,266.6201241,119.2401408,64.70891643,47.03052934,581.0016871,901.8414889,2304.307751,3680.980803,4223.43966,4098.480336,2112.370982
NLA06608-0049,20.58,10.35,7.45,8.02,10.36,16.26,24.48,39.38,54.11,69.02,62.69,35.34,29.84,32.38,282.07,339.65,103.73,187.23,71.23,58.62,31.69,38.47,4.4,10.8,15.66,97.99416667,1175.93,48.03,62.37,57.28,51.92,61.43,52.09,51.73,46.56,46.18,32.95,34.68,45.18,49.20,4.88,-1.35,-2.65,-4.12,-1.14,2.51,3.43,7.70,11.59,19.15,15.45,10.48,5.496111111,100.4381543,-13.94048864,-19.71853821,-33.03867717,-11.7743674,40.80159867,84.04327573,303.2230432,627.3177476,1322.001143,968.5605927,370.4878037
NLA06608-0050,30.17,15.46,8.81,7.82,10.55,19.62,35.12,67.35,97.92,110.63,95.17,54.29,46.08,185.63,114.03,82,63.87,36.66,71.58,164.7,83.18,68.1,133.79,58.81,83.98,95.5275,1146.33,62.72,67.94,62.49,61.66,52.83,48.97,56.05,46.83,58.82,63.16,57.86,60.69,58.34,10.06,7.15,1.99,-3.48,-7.11,0.45,6.40,15.64,19.79,21.30,21.91,18.05,9.346111111,303.5645055,110.5111436,17.55628114,-27.19754857,-75.03562264,8.765569353,224.87607,1053.334997,1937.573163,2356.888958,2085.125008,979.9975126
NLA06608-0053,32.08,16.43,9.95,8.31,10.54,20.88,39.78,76.32,111.00,125.40,101.34,61.48,51.12,161.32,73,123.71,78.13,78.5,103.83,128.66,63.04,108.54,116.21,54.94,72.5,96.865,1162.38,68.62,79.02,70.40,66.74,58.02,54.88,58.51,49.20,58.38,61.19,58.82,60.08,61.99,9.59,5.73,1.28,-2.97,-8.21,-0.34,6.82,16.33,21.58,22.74,23.26,19.53,9.613055556,307.6316354,94.08074377,12.76785934,-24.67468813,-86.49058523,-7.02865262,271.2820317,1246.582556,2395.73446,2851.502766,2357.478051,1200.612687
NLA06608-0057,51.86,30.62,20.85,20.48,25.57,41.74,62.02,100.40,133.94,152.64,128.08,87.34,71.29,103.93,190.28,77.58,87.49,74.63,80.66,78.56,27.94,110.11,45.31,44.48,28.52,79.12416667,949.49,56.37,54.80,50.24,53.17,42.47,45.62,42.35,48.51,55.77,55.22,47.34,48.11,50.00,17.20,13.49,11.20,9.51,7.06,15.83,17.51,22.37,26.44,27.30,31.21,26.03,18.76138889,891.7906041,412.9620031,233.4417442,194.6914853,180.5282807,660.9263683,1085.689151,2246.36679,3540.831697,4166.693678,3997.678568,2273.404288
NLA06608-0061,70.94,37.21,27.05,28.23,35.06,53.53,79.19,127.74,192.57,233.76,196.58,126.51,100.70,10.25,0,2.81,3.53,4.52,6.79,0.23,0.04,0,14.28,0.2,9.35,4.333333333,52,26.99,22.15,28.21,29.87,27.93,19.21,17.94,14.00,10.58,22.18,26.86,24.02,22.50,24.75,20.07,12.48,11.45,16.47,21.13,23.84,29.64,33.77,37.10,36.85,32.01,24.96444444,1755.806803,746.8554255,337.5846115,323.205688,577.6082591,1131.371943,1888.098512,3785.932723,6503.570714,8671.763171,7244.613894,4049.432092
NLA06608-0062,25.97,9.90,5.44,4.91,7.87,17.24,36.12,75.55,104.68,125.20,105.50,51.62,47.50,36.94,1.28,22.04,4.15,15,39.75,18.78,145.57,94.36,50.57,62.81,33.24,43.7075,524.49,51.92,53.22,61.99,66.69,67.00,58.82,44.60,52.45,57.79,52.55,51.39,47.40,55.49,6.49,0.11,-4.00,-9.28,-12.76,1.86,7.25,15.62,20.68,25.04,20.80,17.17,7.415277778,168.6501519,1.122090859,-21.7496452,-45.53996486,-100.3684348,32.11664811,262.0074889,1180.166367,2164.396455,3134.614201,2193.971594,886.3214782
NLA06608-0064,24.14,10.84,7.04,6.82,10.51,19.46,34.37,60.35,84.13,100.39,83.82,45.83,40.64,21.55,19.1,9.51,11.82,25.99,8.01,44.4,36.36,25.6,6.5,16.1,69.91,24.57083333,294.85,52.26,52.95,52.32,51.87,63.90,48.42,52.63,46.22,41.99,29.96,32.92,42.24,47.31,6.75,-0.16,0.35,-2.07,-4.88,5.69,5.92,12.88,17.29,25.38,20.25,13.89,8.441388889,162.9169403,-1.697759693,2.487892257,-14.08458071,-51.31570258,110.7433149,203.483128,777.4470819,1454.55436,2547.891601,1697.27481,636.4583309
NLA06608-0065,25.66,11.50,7.01,7.69,11.88,23.44,41.43,68.44,95.47,113.82,95.02,48.78,45.84,21.66,75.86,20.05,17.5,38.04,11.22,17.7,53.71,22.7,16.69,0,14.91,25.83666667,310.04,50.70,71.35,77.60,73.89,75.18,53.76,45.46,44.50,41.34,27.60,28.80,36.52,52.22,9.35,1.26,-3.15,-5.02,-0.37,7.68,10.79,15.37,18.98,27.10,22.13,16.81,10.07833333,239.961179,14.48623764,-22.10555157,-38.55913745,-4.433405013,179.9144056,446.9978911,1052.222758,1811.994844,3084.77022,2103.189965,820.2321112
NLA06608-0066,34.89,18.58,12.31,10.81,14.03,25.27,41.30,72.89,98.49,118.88,97.79,60.87,50.51,104.51,69.78,35.97,87.93,68.94,124.1,120.43,69.18,84.44,91.31,224.07,64.1,95.39666667,1144.76,62.88,61.98,55.33,63.01,59.61,51.82,55.63,48.32,56.11,59.07,63.37,57.37,57.88,11.29,7.94,4.63,1.41,-5.71,6.17,8.67,18.25,21.51,21.72,24.04,20.61,11.71,393.7709987,147.5256526,56.94364384,15.27143555,-80.13255262,155.8491368,358.063093,1330.261152,2118.185965,2582.026033,2350.468644,1254.741433
NLA06608-0068,21.46,11.63,8.83,8.73,11.15,16.41,24.86,36.07,51.58,66.37,51.74,34.68,28.63,103.62,57.01,45.96,41.59,62.35,48.48,74.31,70.7,16.92,106.41,78.56,106.43,67.695,812.34,44.21,36.39,44.19,38.77,44.56,38.61,31.99,38.18,22.25,29.43,35.57,39.44,36.96,4.86,1.43,-2.15,-3.63,-2.67,1.64,4.22,7.52,13.43,16.24,15.35,11.50,5.645,104.3061365,16.63194533,-18.97433394,-31.67760192,-29.720664,26.91856148,104.8462487,271.2606805,692.5715138,1078.055089,793.9660768,398.9421454
NLA06608-0069,82.30,54.06,42.85,41.60,46.84,64.87,81.90,121.15,140.66,151.41,138.38,110.53,89.71,45.37,48.49,93.29,46.7,40.65,15.66,40.52,41,173.5,215.27,88.92,211.97,88.445,1061.34,57.74,60.93,67.74,61.95,57.71,54.89,50.27,54.49,60.52,64.01,62.00,64.94,59.77,24.91,20.09,20.36,18.95,16.90,21.29,22.88,25.59,28.40,29.70,30.46,28.87,24.0325,2049.794607,1085.797261,872.3210301,788.4481476,791.5455873,1381.089666,1873.843926,3099.817758,3994.410018,4497.348729,4215.528861,3190.775268
