"","COMID","X.x","SITE_ID","VISIT_NO","LONdd_use","LATdd_use","X.y","CatAreaSqKm","WsAreaSqKm","CatPctFull","WsPctFull","inStreamCat","BFICat","BFIWs","X.x","ElevWs","ElevCat","X.y","PctCarbResidWs","PctNonCarbResidWs","PctAlkIntruVolWs","PctSilicicWs","PctExtruVolWs","PctColluvSedWs","PctGlacTilClayWs","PctGlacTilLoamWs","PctGlacTilCrsWs","PctGlacLakeCrsWs","PctGlacLakeFineWs","PctHydricWs","PctEolCrsWs","PctEolFineWs","PctSalLakeWs","PctAlluvCoastWs","PctCoastCrsWs","PctWaterWs","PctCarbResidCat","PctNonCarbResidCat","PctAlkIntruVolCat","PctSilicicCat","PctExtruVolCat","PctColluvSedCat","PctGlacTilClayCat","PctGlacTilLoamCat","PctGlacTilCrsCat","PctGlacLakeCrsCat","PctGlacLakeFineCat","PctHydricCat","PctEolCrsCat","PctEolFineCat","PctSalLakeCat","PctAlluvCoastCat","PctCoastCrsCat","PctWaterCat","X.x","OmWs","PermWs","RckdepWs","WtDepWs","OmCat","PermCat","RckdepCat","WtDepCat","X.y","AvgWetIndxWs","AvgWetIndxCat","X.x","CanalDensWs","CanalDensCat","X.y","DamDensWs","DamNIDStorWs","DamNrmStorWs","DamDensCat","DamNIDStorCat","DamNrmStorCat","X.x","NABD_DensWs","NABD_NIDStorWs","NABD_NrmStorWs","NABD_DensCat","NABD_NIDStorCat","NABD_NrmStorCat","X.y","RdDensWs","RdDensCat","X","Precip8110Ws","Tmax8110Ws","Tmean8110Ws","Tmin8110Ws","Precip8110Cat","Tmax8110Cat","Tmean8110Cat","Tmin8110Cat","PctNoDataCat_2002","PctIrrigated.AgLandCat_2002","PctNoDataCat_2007","PctIrrigated.AgLandCat_2007","PctNoDataCat_2012","PctIrrigated.AgLandCat_2012","PctNoDataWs_2002","PctIrrigated.AgLandWs_2002","PctNoDataWs_2007","PctIrrigated.AgLandWs_2007","PctNoDataWs_2012","PctIrrigated.AgLandWs_2012"
"11",417653,706,"NLA06608-1420",1,-96.2306472,35.1386532,289838,1.1115,16.7544,100,100,1,16,15.3279437043404,289838,266.888804792,242.933481781,289838,0,90.5296519123335,0,0,0,0,0,0,0,0,0,0,0,0,0,9.47034808766652,0,0,0,25.587044534413,0,0,0,0,0,0,0,0,0,0,0,0,0,74.412955465587,0,0,289838,0.669705629565965,4.35222389342501,98.8966201117318,143.223440051569,0.8,2.91,121.15,110.87,289838,475.264449935539,647.068016194332,289838,0,0,289838,0.0596858138758,136935.539321,29154.018049,0.899685110211,2064123.07692,439458.461538,289838,0,0,0,0,0,0,289838,1.26812419570799,1.00926231719838,289838,1088.8675909,34.4239315456,16.244424945,-2.21981094413,1085.1574879,34.5067205453,16.282563879,-2.21813768221,100,0,100,0,100,0,100,0,100,0,100,0
"12",425680,685,"NLA06608-1368",1,-96.77714221,33.73083379,96670,0.1593,0.1593,100,100,0,14.9943502824859,14.9943502824859,96670,188.413954802,188.413954802,96670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,96670,1.48,2.11,152.4,180.59,1.48,2.11,152.4,180.59,96670,1354.5197740113,1354.5197740113,96670,0,0,96670,0,0,0,0,0,0,96670,0,0,0,0,0,0,96670,0.0111412126465537,0.0111412126465537,96670,1035.79303358,23.2697267586,17.1916377289,11.1101393727,1035.79303358,23.2697267586,17.1916377289,11.1101393727,100,0,100,0,100,0,100,0,100,0,100,0
"13",428122,710,"NLA06608-1432",1,-96.879379,34.5675465,289876,0.945,5.3298,100,100,1,27.9485714285714,28.3735224586288,289876,377.513914218,371.417666667,289876,0,3.596757852077,0,0,0,18.4397163120567,0,0,0,0,0,0,0,0,0,77.9635258358662,0,0,0,0,0,0,0,42.3809523809524,0,0,0,0,0,0,0,0,0,57.6190476190476,0,0,289876,1.24928064842958,3.48049645390071,124.458581560284,182.88,1.26140952380952,3.4208,117.4144,182.88,289876,543.353427895981,608.234285714286,289876,0,0,289876,0,0,0,0,0,0,289876,0,0,0,0,0,0,289876,0.805146167397839,1.30767380328571,289876,1030.47757654,34.6727289048,16.3416427221,-2.52836876727,1030.64509637,34.7062863813,16.3452043915,-2.5,100,0,100,0,100,0,100,0,100,0,100,0
"14",493066,10,"NLA06608-0012",1,-96.87367696,35.99293158,290024,7.4223,83.232,100,100,1,15.0177034072996,15.7011137543253,290024,288.61178763,265.001204074,290024,0,83.2136678200692,0,0,0,0,0,0,0,0,0,0,0,0,0,16.7863321799308,0,0,0,7.99078452770704,0,0,0,0,0,0,0,0,0,0,0,0,0,92.009215472293,0,0,290024,0.92903741349481,2.81899243079585,122.882374783737,148.184029628028,0.975226142839821,2.52694070571117,123.739043288469,107.769970898509,290024,501.524221453287,665.922517279011,290024,0,0,290024,0.0120146097655,104479.455017,45111.4129181,0.13472912709,1171609.06996,505869.221131,290024,0.0120146097655,104479.455017,45111.4129181,0.13472912709,1171609.06996,505869.221131,290024,1.78217607918469,1.62568452349945,290024,971.497078449,34.2011930163,15.6715503871,-3.64478805375,969.643365334,34.2680365866,15.4708837811,-3.94886627712,100,0,100,0,100,0,100,0,100,0,100,0
"15",534347,531,"NLA06608-1016",1,-96.5565563,35.8734491,290203,1.5948,19.611,100,100,1,10,10,290203,294.891328591,277.557104966,290203,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290203,0.71,6.12,86.61,180.44,0.71,6.12,86.61,180.44,290203,412.628223955943,531.575620767494,290203,0,0,290203,0.0509917903218,99503.6132783,22643.0472694,0.627037873088,1223579.98495,278437.923251,290203,0.0509917903218,99503.6132783,22643.0472694,0.627037873088,1223579.98495,278437.923251,290203,2.8690889486737,1.6523376862754,290203,1024.93156291,34.1925882981,15.8368985725,-3.40415794197,1024.59482776,34.2999992371,15.7480413924,-3.33572235104,100,0,100,0,100,0,100,0,100,0,100,0
"16",534935,156,"NLA06608-0268",1,-96.31116548,35.52319529,290332,11.6109,52.9002,100,100,1,12.3450120145725,12.8075640545782,290332,267.586137671,249.895394931,290332,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290332,0.654703970873456,3.72047977134302,97.2831110279356,111.511422641124,0.56786063095884,4.2147833501279,82.7269320207736,111.902619951942,290332,493.987274150192,644.303077280831,290332,0,0,290332,0.0567105606406,620235.235406,308485.419715,0.0861259678406,2783348.06087,1391674.03044,290332,0.0378070404271,617903.523994,307552.73515,0.0861259678406,2783348.06087,1391674.03044,290332,2.35133620488958,2.444858384071,290332,1082.68725177,34.3737393984,16.0976374772,-2.5474054927,1080.2518749,34.3991101017,15.9764224092,-2.70499186676,100,0,100,0,100,0,100,0,99.73459,0.2654054,100,0
"17",556549,757,"NLA06608-1564",1,-99.07748881,35.17438787,290403,7.1532,150.9291,100,100,1,17,15.5533485590254,290403,548.705473915,504.669333166,290403,0,67.8471547236418,0,0,0,32.1528452763582,0,0,0,0,0,0,0,0,0,0,0,0,0,98.1127327629592,0,0,0,1.88726723704076,0,0,0,0,0,0,0,0,0,0,0,0,290403,0.462708006607076,6.44057418350736,124.179747404576,182.88,0.47,2.99,148.46,182.88,290403,635.05663718925,747.480498238551,290403,0,0,290403,0.0331281376487,56456.1760456,36139.1445387,0.139797573114,1093253.81647,725961.919141,290403,0.0132512550595,2664.2607688,449.491847497,0,0,0,290403,1.95651974645645,2.26867553000755,290403,742.170686987,35.4052973667,15.6000748047,-4.1327395918,758.928100747,35.6131593188,15.7386759927,-3.90172378889,92.77806,7.221943,98.71666,1.283342,100,0,99.32558,0.6744226,99.2892,0.7107973,98.65652,1.343478
"18",556575,290,"NLA06608-0540",1,-99.3711523,35.1710432,290407,0.4707,9.1323,100,100,1,14.1434034416826,14.4525475510003,290407,542.1107007,527.132370937,290407,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,290407,0.47,2.99,148.46,182.88,0.47,2.99,148.46,182.88,290407,543.91800532177,549.195028680688,290407,0,0,290407,0.109501439944,59970.1192471,17153.61519,2.12449543233,1163512.04589,332806.373486,290407,0.109501439944,59970.1192471,17153.61519,2.12449543233,1163512.04589,332806.373486,290407,1.55369322425347,1.22015553747036,290407,722.465420453,35.621611268,15.7007604294,-3.9732630589,722.764441757,35.6177809078,15.7551089372,-3.96978970377,100,0,100,0,100,0,93.75185,6.248152,92.24401,7.755987,93.71243,6.287573
"19",572364,105,"NLA06608-0180",1,-98.87430588,34.52859873,290494,13.9446,147.9915,100,100,1,21,21.3979140693891,290494,409.464812601,372.68802956,290494,0,88.1241828077964,0,0.0796667376166874,0,11.7170918600055,0,0,0,0,0,0,0,0,0,0.0790585945814456,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290494,1.28338352540518,1.72821966126433,152.4,182.88,1.39286433458113,1.94172647476443,152.4,182.88,290494,515.393225286587,721.377500968117,290494,0,0,290494,0.0337857241801,105518.606136,80555.8711142,0.071712347432,1095966.69679,842629.439353,290494,0.013514289672,103768.297504,79730.725616,0.071712347432,1095966.69679,842629.439353,290494,1.37846494371028,1.7490900278624,290494,769.85249009,35.9534592839,16.5579782953,-2.86040502209,765.007043688,36.1849300682,16.8069592953,-2.50209758416,100,0,100,0,100,0,99.85405,0.1459543,100,0,99.98358,0.01641986
"20",664040,501,"NLA06608-0962",1,-111.7364334,41.51882171,313870,8.7786,169.3089,100,100,1,75.3830223498052,72.4852143035599,313870,2212.92052902,1823.24949559,313870,46.6736834271559,53.3263165728441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,313870,1.30285300418348,3.29057920168402,125.465565885786,165.513003970849,1.03778654910806,2.33624461759278,116.223818946073,169.586167726061,313870,296.974186826564,332.581607545622,313870,0,0,313870,0.0059063640482,109280.728893,94709.9650402,0.113913380266,2107648.14435,1826628.39177,313870,0.0059063640482,109280.728893,94709.9650402,0.113913380266,2107648.14435,1826628.39177,313870,1.42935526973597,1.68309233663113,313870,839.838276019,24.8705146995,5.40137275243,-10.6394740581,739.348761823,27.9443304339,6.46453501466,-10.8604983311,100,0,100,0,100,0,100,0,100,0,100,0
"21",673854,745,"NLA06608-1524",1,-98.33928249,34.37372835,290621,2.4408,9.639,100,100,1,16.8163716814159,16.6069094304388,290621,323.064957049,315.407662242,290621,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290621,1.31028197945845,2.11029505135388,141.986860877684,179.624623716153,1.43031710914454,2.1080383480826,152.4,182.88,290621,548.209056956116,601.478613569322,290621,0,0,290621,0.103745201784,223943.35512,110180.130719,0.409701737135,884378.072763,435114.011799,290621,0,0,0,0,0,0,290621,1.3290727637535,2.01195396522493,290621,840.451903401,35.8907288606,16.9585083629,-2.11040146177,841.706200184,35.9740048214,17.0072728504,-2.0299409744,100,0,100,0,100,0,100,0,100,0,100,0
"22",680133,119,"NLA06608-0204",1,-99.2419746,35.4359245,290685,0.8262,32.8833,100,100,1,14,14,290685,571.936541314,536.328671024,290685,0,63.6149656512576,0,0,0,36.3850343487424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,290685,0.477012343651641,7.50790787420971,111.051915592413,182.88,0.76,2.29,60.96,182.88,290685,559.017981771902,805.630718954248,290685,0,0,290685,0.0608211462961,76071.9708788,39348.8646213,1.21036068748,2948587.50908,1527293.68192,290685,0.0912317194442,78060.0450685,39836.5054602,1.21036068748,2948587.50908,1527293.68192,290685,2.98282526192627,1.16136039407407,290685,736.044184323,35.2074223738,15.4247440303,-4.31710612182,738.887738264,35.4000015259,15.4542502776,-4.30000019074,100,0,100,0,100,0,100,0,100,0,100,0
"23",681613,1023,"NLA06608-4659",1,-98.70388,35.39648,290743,10.3023,69.0111,100,100,1,21.7629946710929,21.3934975677826,290743,511.560299691,491.399148248,290743,0,1.1985028495416,0,0,0,98.8014971504584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,290743,0.469063628894482,3.00471589353017,148.468449771124,182.88,0.47,2.99,148.46,182.88,290743,483.886631281055,524.875775312309,290743,0,0,290743,0.0434712676656,257505.623878,39250.5275238,0.0970657037749,1700146.18095,250711.697388,290743,0.0144904225552,253805.77907,37427.4155897,0.0970657037749,1700146.18095,250711.697388,290743,1.49351828564535,1.58750952398882,290743,794.064654161,35.2693451986,15.445356904,-4.01573438687,802.651440294,35.3993193083,15.5218811357,-3.86796540606,99.94758,0.05241548,100,0,100,0,99.44835,0.5516504,99.75613,0.2438738,100,0
"24",681831,688,"NLA06608-1372",1,-98.48298246,35.19672054,290775,117.9594,796.9455,100,100,1,30.9780263378756,27.4065443621929,290775,467.829385078,431.840126883,290775,0,44.0710563018425,0,0,0,52.7702584430177,0,0,0,0,0,0,0,0,0,0.00383966030299437,0,3.15484559483679,0,76.9429142569392,0,0,0,3.58674255718493,0,0,0,0,0,0,0,0,0,0,0,19.4703431858758,290775,0.533695846521855,6.14217526475421,136.988412786443,182.879853896179,0.556427923765018,8.58279249034261,130.700489627569,182.88,290775,548.633412949819,704.590702394214,290775,0,0,290775,0.0388985194094,149061.935272,118160.730337,0.0423874655178,763573.909094,759529.525521,290775,0.0188218642304,34640.7777134,5215.33054393,0,0,0,290775,1.56910192996008,1.84009864092137,290775,808.479817371,35.4199959891,15.6260289699,-3.75196200355,798.39575642,35.5252112564,15.8198290134,-3.54961162513,94.62332,5.37668,96.13859,3.861413,96.29347,3.70653,97.35063,2.649366,97.65374,2.346258,98.8114,1.188601
"25",685119,165,"NLA06608-0284",1,-98.7302798,34.9138437,290864,0.9729,34.9002,100,100,1,26,25.0979421321368,290864,515.777565888,479.744125809,290864,0,66.4938882871731,0,24.9677652277064,0,8.53834648512043,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290864,0.960203981639074,1.47315952344113,140.986434576306,182.88,1.23652173913043,1.52386679000925,129.431304347826,182.88,290864,467.270978389809,574.279370952821,290864,0,0,290864,0.0286531309276,118116.519676,12016.6417384,1.02785486689,4237116.0037,431065.063213,290864,0,0,0,0,0,0,290864,0.914439072249729,0.533823279899167,290864,805.831784068,34.901423216,15.904899838,-3.86703026512,788.758956415,35.3580024148,15.9376618105,-3.60610537127,100,0,100,0,100,0,100,0,100,0,100,0
"26",704488,257,"NLA06608-0472",1,-96.23833745,34.57062203,290937,6.6816,36.3474,100,100,1,20,20.164784826425,290937,209.251495568,196.221384698,290937,0,87.6912791561432,0,0,0,0,0,0,0,0,0,0,0,0,0,12.3087208438568,0,0,0,67.8340517241379,0,0,0,0,0,0,0,0,0,0,0,0,0,32.1659482758621,0,0,290937,0.647790570989947,4.60354404991829,95.0187735849057,148.861310602684,0.5740625,5.44721443965517,82.0010183189655,167.787386853448,290937,504.138562868321,624.156115301724,290937,0,0,290937,0.0275122842349,554885.121907,131433.556183,0.149664750958,3018533.20761,714988.631466,290937,0.0275122842349,785648.917942,248071.080738,0.149664750958,4273870.85129,1349487.96695,290937,1.07497116379191,1.05892655106546,290937,1104.14472051,34.7012883182,16.5053143381,-1.63801320579,1108.20056488,34.7070049665,16.5542062151,-1.57922954475,100,0,100,0,100,0,100,0,100,0,99.66325,0.3367504
"27",719574,474,"NLA06608-0913",1,-69.22930798,46.37254151,301491,8.2107,39.4407,100,100,1,50,50,301491,353.010354608,334.036030911,301491,0,0,0,0,0,0,0,1.09531524541907,98.9046847545809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26142716211772,94.7385728378823,0,0,0,0,0,0,0,0,0,301491,7.83632339182621,5.27439746251968,123.679581270109,76.0965540925998,8.5253282911323,5.3045094815302,128.514443713691,68.246292886112,301491,497.409100244164,568.102817055793,301491,0,0,301491,0,0,0,0,0,0,301491,0,0,0,0,0,0,301491,0.727203110357575,0.568738741380028,301491,1057.12538546,24.2571297727,3.36487056146,-18.889989289,1045.19068744,24.3163761702,3.44354313259,-18.8252548901,100,0,100,0,100,0,100,0,100,0,100,0
