SITE_ID,VISIT_NO,UID,DATE_COL,AGGR_ECO3_2015,AGGR_ECO9_2015,AREA_HA,BORD_LAKE,CAT_UNIQUE,CH0712_CAT,CH0712_USE,CH0712_WGT,COMID2007,COMID2012,COMIDS2007,ELEVATION,EPA_REG,EVALSTAT,HUC2,HUC8,LAKE_ORIGIN,LAKE_ORIGIN12,LAT_DD83,LON_DD83,EVAL_NAME,NARS_NAME,PERIM_KM,RCHCODE,EVALSTAT,STATUS,RT_NLA12,SITEID_07,SITETYPE,SIZE_CLASS,STATE,STRATUM,WGT_ALL,WGT_CAT,XCOORD,YCOORD,REF_NLA12_NUTR,RT_NLA12_BENT,RT_NLA12_ZOOP,TNT
NLA12_AR-108,1,1000182,8/28/2012,PLNLOW,CPL,6.393528636,No,NLA12NEW,NLA12_BASE,Include,549.2845394,19301587,19301587,19301587,30.42,Region_6,Nontarget-MapError,8,8050002,NA,NA,33.1461337,-91.25357855,NA,NA,1.231512011,8.05E+12,Nontarget-MapError,Not_Lake,NA,NA,PROB,"(4,10]",AR,AR_NLA12NEW,549.2845394,AR_>4,439798.1204,-476196.5356,NA,NA,NA,NonTarget
NLA12_AR-109,1,7811,8/8/2012,PLNLOW,CPL,4.149225261,No,NLA12NEW,NLA12_BASE,Include,549.2845394,3748090,3748090,3748090,107.3,Region_6,TargetSampleable,11,11140109,MAN_MADE,MAN_MADE,33.81796398,-94.05998348,Lake Hospitality,Lake Hospitality,1.003458503,1.11E+13,TargetSampleable,Target_Sampled,S,NA,PROB,"(4,10]",AR,AR_NLA12NEW,549.2845394,AR_>4,178290.4669,-410331.5417,NA,S,S,Target
NLA12_AR-110,1,1000183,8/28/2012,PLNLOW,CPL,68.09260195,No,NLA12NEW,NLA12_BASE,Include,154.1650994,15331440,15331440,15331440,64.95,Region_6,Nontarget-MapError,8,8020401,MAN_MADE,MAN_MADE,34.49339339,-91.93537803,NA,NA,3.338314228,8.02E+12,Nontarget-MapError,Not_Lake,NA,NA,PROB,>50,AR,AR_NLA12NEW,154.1650994,AR_>4,370228.8433,-328733.6761,NA,NA,NA,NonTarget
NLA12_AR-111,1,8145,8/22/2012,PLNLOW,CPL,2.061803018,No,NLA12NEW,NLA12_BASE,Exclude,2762,22845785,22845785,22845785,120,Region_6,TargetSampleable,8,8040203,MAN_MADE,MAN_MADE,34.60033557,-92.50069818,Boswell Lake,NA,0.594248561,8.04E+12,TargetSampleable,Target_Sampled,T,NA,PROB,"(1,4]",AR,AR_NLA12NEW,2762,"AR_(1,4]",318321.15870000003,-318831.5723,NA,T,T,Target
NLA12_AZ-101,1,6187,5/8/2012,WMTNS,XER,373.4884097,No,NLA07RVT,NLA07_RVT12,Include,7.156067619,20476542,20476542,20476542,459,Region_9,TargetSampleable,15,15060106,MAN_MADE,RESERVOIR,33.5692971,-111.5241427,Saguaro Lake,Saguaro Lake,24.14730294,1.51E+13,TargetSampleable,Target_Sampled,S,NLA06608-0834,PROB,>50,AZ,AZ_NLA07RVT,7.156067619,AZ_>4,-1424971.998,-323283.2067,NA,S,S,Target
NLA12_AZ-101,2,6612,6/14/2012,WMTNS,XER,373.4884097,No,NLA07RVT,NLA07_RVT12,Include,7.156067619,20476542,20476542,20476542,459,Region_9,TargetSampleable,15,15060106,MAN_MADE,RESERVOIR,33.5692971,-111.5241427,Saguaro Lake,Saguaro Lake,24.14730294,1.51E+13,TargetSampleable,Target_Sampled,S,NLA06608-0834,PROB,>50,AZ,AZ_NLA07RVT,7.156067619,AZ_>4,-1424971.998,-323283.2067,NA,S,S,Target
NLA12_AZ-102,1,8648,9/19/2012,WMTNS,WMT,119.179815,No,NLA07RVT,NLA07_RVT12,Include,7.156067619,20451100,20451100,20451100,1567,Region_9,TargetSampleable,15,15060202,MAN_MADE,RESERVOIR,34.60431345,-112.4386225,Willow Creek Reservoir,Willow Creek Reservoir,9.13022933,1.51E+13,TargetSampleable,Target_Sampled,T,NLA06608-0569,PROB,>50,AZ,AZ_NLA07RVT,7.156067619,AZ_>4,-1488186.587,-195214.5186,NA,T,T,Target
NLA12_AZ-103,1,7821,8/9/2012,WMTNS,WMT,81.45252873,No,NLA07RVT,NLA07_RVT12,Include,6.498899383,20524727,20524727,20524727,2168,Region_9,TargetSampleable,15,15020015,MAN_MADE,RESERVOIR,35.02357175,-111.4006586,Ashurst Lake,Ashurst Lake,4.683705075,1.50E+13,TargetSampleable,Target_Sampled,T,NLA06608-1641,PROB,>50,AZ,AZ_NLA07RVT,6.498899383,AZ_>4,-1387504.841,-164674.9641,NA,T,T,Target
NLA12_AZ-104,NA,NA,NA,WMTNS,WMT,105.1885899,No,NLA07RVT,NLA07_RVT12,Include,6.637624753,1408811,1408811,1408811,2142.7,Region_9,TargetOther,14,14080204,MAN_MADE,RESERVOIR,36.27620301,-109.2032708,Tsaile Lake,Tsaile Lake,7.881710586,1.41E+13,TargetOther,Target_Other,NA,NLA06608-2372,PROB,>50,AZ,AZ_NLA07RVT,6.637624753,AZ_>4,-1171496.03,-55604.64907,NA,NA,NA,Target_Presumed
NLA12_AZ-105,NA,NA,NA,WMTNS,WMT,49.38286557,No,NLA07RVT,NLA07_RVT12,Include,17.6001161,21745261,21745261,21745261,2066,Region_9,Inaccessible-Barrier/Safety,15,15020008,MAN_MADE,RESERVOIR,34.78637532,-111.2304201,Soldier Annex Lake,Soldier Annex Lake,3.404529751,1.50E+13,Inaccessible-Barrier/Safety,Target_Inacc,NA,NLA06608-0873,PROB,"(20,50]",AZ,AZ_NLA07RVT,17.6001161,AZ_>4,-1376534.313,-193343.0694,NA,NA,NA,Target_Presumed
NLA12_AZ-106,1,8218,8/23/2012,WMTNS,XER,55.00641968,Yes,NLA07RVT,NLA07_RVT12,Include,6.028067123,10001770,10001770,10001770,69.11,Region_9,TargetSampleable,15,15030104,MAN_MADE,MAN_MADE,33.40602291,-114.7138943,Oxbow lake,NA,10.5125494,1.50E+13,TargetSampleable,Target_Sampled,S,NLA06608-0877,PROB,>50,AZ,AZ_NLA07RVT,6.028067123,AZ_>4,-1717863.086,-288476.4616,NA,S,S,Target
NLA12_AZ-107,1,7475,7/26/2012,WMTNS,XER,529.2331386,No,NLA07RVT,NLA07_RVT12,Include,11.19040339,20584396,20584396,20584396,1822,Region_9,TargetSampleable,15,15020001,MAN_MADE,RESERVOIR,34.3606808,-109.363087,Lyman Lake,Lyman Lake,25.91177862,1.50E+13,TargetSampleable,Target_Sampled,T,NLA06608-0895,PROB,>50,AZ,AZ_NLA07RVT,11.19040339,AZ_>4,-1215628.377,-265882.8836,NA,T,T,Target
NLA12_AZ-108,NA,NA,NA,WMTNS,XER,10.14637002,No,NLA12NEW,NLA12_BASE,Include,4.379421579,1405961,1405961,1405961,1756.67,Region_9,Nontarget-Ephemeral,14,14080204,NA,NA,36.7262949,-110.2795479,Unnamed,NA,2.321353363,1.41E+13,Nontarget-Ephemeral,Non_Target,NA,NA,PROB,"(10,20]",AZ,AZ_NLA12NEW,4.379421579,AZ_>4,-1258751.822,8050.929453,NA,NA,NA,NonTarget
NLA12_AZ-109,NA,NA,NA,WMTNS,WMT,2.524544732,No,NLA12NEW,NLA12_BASE,Exclude,17.375,20586586,20586586,20586586,2822.09,Region_9,Nontarget-Ephemeral,15,15020001,NA,NA,33.97999027,-109.313073,Unnamed,NA,0.590002864,1.50E+13,Nontarget-Ephemeral,Non_Target,NA,NA,PROB,"(1,4]",AZ,AZ_NLA12NEW,17.375,"AZ_(1,4]",-1217050.393,-308658.8444,NA,NA,NA,NonTarget
NLA12_AZ-110,NA,NA,NA,WMTNS,WMT,10.90748612,No,NLA12NEW,NLA12_BASE,Include,4.379421579,20492469,20492469,20492469,1723.06,Region_9,Nontarget-NoRecAquatUse,15,15060101,MAN_MADE,MAN_MADE,33.62503157,-110.227374,Phillips Park Tank,Phillips Park Tank,1.483531096,1.51E+13,Nontarget-NoRecAquatUse,Lake_Special_Purpose,NA,NA,PROB,"(10,20]",AZ,AZ_NLA12NEW,4.379421579,AZ_>4,-1305943.818,-335766.2554,NA,NA,NA,NonTarget
NLA12_AZ-111,NA,NA,NA,WMTNS,WMT,1.901674064,No,NLA12NEW,NLA12_BASE,Exclude,17.375,20449988,20449988,20449988,2157.43,Region_9,Nontarget-NoRecAquatUse,15,15060202,MAN_MADE,MAN_MADE,35.21799283,-111.8357564,Reservoir Number 1,Reservoir Number One,0.592703922,1.51E+13,Nontarget-NoRecAquatUse,Lake_Special_Purpose,NA,NA,PROB,"(1,4]",AZ,AZ_NLA12NEW,17.375,"AZ_(1,4]",-1422737.6,-136779.3633,NA,NA,NA,NonTarget
NLA12_AZ-112,NA,NA,NA,WMTNS,XER,1.639144554,No,NLA12NEW,NLA12_BASE,Exclude,17.375,21327667,21327667,21327667,978.52,Region_9,TargetOther,15,15040005,MAN_MADE,MAN_MADE,32.72025402,-109.704908,Dankworth Pond,NA,0.520145826,1.50E+13,TargetOther,Target_Other,NA,NA,PROB,"(1,4]",AZ,AZ_NLA12NEW,17.375,"AZ_(1,4]",-1272840.525,-442767.0477,NA,NA,NA,Target_Presumed
NLA12_AZ-113,NA,NA,NA,WMTNS,WMT,4.284180263,No,NLA12NEW,NLA12_BASE,Include,8.518404325,20584572,20584572,20584572,2792.49,Region_9,Nontarget-TooSmall,15,15020001,NA,NA,34.00425647,-109.3354542,Water Canyon Reservoir,Water Canyon Reservoir,1.215046703,1.50E+13,Nontarget-TooSmall,Lake_LT_1ha,NA,NA,PROB,"(4,10]",AZ,AZ_NLA12NEW,8.518404325,AZ_>4,-1218703.693,-305686.7149,NA,NA,NA,NonTarget
NLA12_AZ-114,NA,NA,NA,WMTNS,XER,3.561658573,No,NLA12NEW,NLA12_BASE,Exclude,17.375,22443804,22443804,22443804,873.56,Region_9,Nontarget-Ephemeral,15,15040007,NA,NA,33.37842471,-110.521809,Unnamed,NA,0.755524371,1.50E+13,Nontarget-Ephemeral,Non_Target,NA,NA,PROB,"(1,4]",AZ,AZ_NLA12NEW,17.375,"AZ_(1,4]",-1336954.019,-358899.6675,NA,NA,NA,NonTarget
NLA12_AZ-115,NA,NA,NA,WMTNS,XER,5.358829274,No,NLA12NEW,NLA12_BASE,Include,8.518404325,20451076,20451076,20451076,1373,Region_9,Nontarget-Ephemeral,15,15060202,NA,NA,34.81490774,-112.4670894,Unnamed,NA,1.084518125,1.51E+13,Nontarget-Ephemeral,Non_Target,NA,NA,PROB,"(4,10]",AZ,AZ_NLA12NEW,8.518404325,AZ_>4,-1486676.676,-171565.7972,NA,NA,NA,NonTarget
NLA12_AZ-116,NA,NA,NA,WMTNS,XER,8.796521678,No,NLA12NEW,NLA12_BASE,Include,8.518404325,15885918,15885918,15885918,428.23,Region_9,Nontarget-Ephemeral,15,15050303,NA,NA,32.93340836,-111.6471482,Lake in the Desert,Lake in the Desert,1.659962444,1.51E+13,Nontarget-Ephemeral,Non_Target,NA,NA,PROB,"(4,10]",AZ,AZ_NLA12NEW,8.518404325,AZ_>4,-1447797.128,-391464.2893,NA,NA,NA,NonTarget
NLA12_AZ-117,NA,NA,NA,WMTNS,WMT,7.294011812,No,NLA12NEW,NLA12_BASE,Include,8.518404325,20485908,20485908,20485908,2696.49,Region_9,AccessDenied,15,15060102,MAN_MADE,RESERVOIR,34.02942949,-109.6210623,A 1 Lake,A One Lake,1.162041853,1.51E+13,AccessDenied,Target_Denied,NA,NA,PROB,"(4,10]",AZ,AZ_NLA12NEW,8.518404325,AZ_>4,-1244225.978,-299200.6202,NA,NA,NA,Target_Presumed
NLA12_AZ-118,1,6192,5/9/2012,WMTNS,XER,8.007210087,No,NLA12NEW,NLA12_BASE,Include,8.518404325,20479908,20479908,20479908,365.97,Region_9,TargetSampleable,15,15060106,MAN_MADE,MAN_MADE,33.38131121,-111.883581,Dobson Lake,NA,2.713057747,1.51E+13,TargetSampleable,Target_Sampled,S,NA,PROB,"(4,10]",AZ,AZ_NLA12NEW,8.518404325,AZ_>4,-1461153.429,-338533.4622,NA,S,S,Target
NLA12_AZ-119,NA,NA,NA,WMTNS,XER,1.897439226,No,NLA12NEW,NLA12_BASE,Exclude,17.375,21436981,21436981,21436981,139.33,Region_9,Nontarget-NotLake,15,15030101,NATURAL,NATURAL,34.76270414,-114.5202856,Unnamed,NA,0.633792907,1.50E+13,Nontarget-NotLake,Not_Lake,NA,NA,PROB,"(1,4]",AZ,AZ_NLA12NEW,17.375,"AZ_(1,4]",-1670953.37,-143195.3356,NA,NA,NA,NonTarget
NLA12_AZ-120,NA,NA,NA,WMTNS,XER,1.550913005,No,NLA12NEW,NLA12_BASE,Exclude,17.375,21308965,21308965,21308965,1385.46,Region_9,Nontarget-Ephemeral,15,15040006,NA,NA,31.63576083,-109.082647,Natural Tanks,Natural Tanks,0.475900445,1.50E+13,Nontarget-Ephemeral,Non_Target,NA,NA,PROB,"(1,4]",AZ,AZ_NLA12NEW,17.375,"AZ_(1,4]",-1232009.214,-570638.4447,NA,NA,NA,NonTarget
NLA12_AZ-121,NA,NA,NA,WMTNS,WMT,2.052100389,No,NLA12NEW,NLA12_BASE,Exclude,17.375,20496949,20496949,20496949,1900.03,Region_9,Nontarget-NoRecAquatUse,15,15060101,MAN_MADE,MAN_MADE,33.48233976,-109.9496887,Double Circle Tank,Double Circle Tank,0.589620217,1.51E+13,Nontarget-NoRecAquatUse,Lake_Special_Purpose,NA,NA,PROB,"(1,4]",AZ,AZ_NLA12NEW,17.375,"AZ_(1,4]",-1282971.043,-355311.3734,NA,NA,NA,NonTarget
NLA12_AZ-122,NA,NA,NA,WMTNS,XER,35.92895576,No,NLA12NEW,NLA12_BASE,Include,3.72925535,21744119,21744119,21744119,1445.68,Region_9,Nontarget-NotLake,15,15020008,NA,NA,35.26957784,-110.8631424,NA,NA,3.102828195,1.50E+13,Nontarget-NotLake,Not_Lake,NA,NA,PROB,"(20,50]",AZ,AZ_NLA12NEW,3.72925535,AZ_>4,-1335192.757,-145194.5359,NA,NA,NA,NonTarget
