SITE_ID,VISIT_NO,DATE_COL,AGR_CROPLAND,AGR_FEEDLOT,AGR_LIVESTOCK,AGR_ORCHARDS,AGR_PASTURE,AGR_POULTRY,AGR_SCORE,AGR_STRING,AGR_WITHDRAWAL,APPEALING,BIOTIC_INTEGRITY,IND_COMMERCIAL,IND_FIRE,IND_INDUSTRIAL,IND_LOGGING,IND_MINES,IND_ODORS,IND_OIL,IND_POWER,IND_SCORE,IND_STRING,HYDRO_TYPE,LAKE_LEVEL,LEVEL_CHANGE_M,LEVEL_CHANGES,MAN_DRINKING_WATER,MAN_LEVEL_FLUCTUATIONS,MAN_SCORE,OUTLET_DAMS,PRISTINE,RCH_AGRICULTURE,RCH_BARE_GROUND,RCH_DEVELOPMENT,RCH_FOREST,RCH_GRASS,RCH_SHOREMODS,RCH_SHRUB,RCH_WETLAND,REC_FILMS,REC_MARINAS,REC_PARKS,REC_PRIMITIVE,REC_RESORTS,REC_SCORE,REC_STRING,REC_TRAILS,REC_TRASH,RECREATIONAL_ACTIVITY,RECREATIONAL_VALUE,RES_BRIDGES,RES_CONSTRUCTION,RES_DUMPING,RES_LAWNS,RES_PIPES,RES_RESIDENCES,RES_ROADS,RES_SCORE,RES_SEWAGE,RES_STRING,SWIMMABILITY,TROPHIC_STATE
NLA12_VT-102,1,26-Jun-12,L,NA,NA,NA,NA,NA,1,L,NA,NA,GOOD,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,DRAINAGE,ZERO,NA,NA,NA,NA,4,NATURAL,3,0-05,0-05,25-75,25-75,25-May,25-May,25-May,25-75,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,EXCELLENT,NA,L,NA,M,NA,M,L,8,NA,LMML,GOOD,EUTROPHIC
NLA12_OR-101,1,26-Jun-12,NA,NA,H,NA,NA,NA,5,H,NA,4,GOOD,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,DRAINAGE,ZERO,NA,NA,NA,NA,0,NONE,4,0-05,25-75,0-05,0-05,25-75,0-05,25-75,25-May,NA,NA,L,L,NA,3,LLL,L,NA,NA,GOOD,NA,NA,NA,NA,NA,NA,L,1,NA,L,FAIR,EUTROPHIC
NLA12_TX-135,1,26-Jun-12,NA,NA,M,NA,M,NA,6,MM,NA,2,POOR,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,RESERVOIR,ELEVATION CHANGE,0.2,0.2,NA,NA,0,NONE,1,0-05,25-75,NA,NA,25-May,0-05,0-05,0-05,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,POOR,NA,NA,NA,NA,L,NA,L,2,NA,LL,UNSWIMMABLE,EUTROPHIC
NLA12_WI-101,1,26-Jun-12,NA,NA,NA,NA,NA,NA,0,NA,NA,3,GOOD,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,DRAINAGE,ELEVATION CHANGE,0.2,0.2,NA,NA,6,ARTIFICIAL,2,0-05,0-05,75-100,25-75,0-05,75-100,25-May,0-05,M,L,M,H,NA,16,MLMHML,M,L,NA,EXCELLENT,NA,NA,NA,H,L,H,M,14,NA,HLHM,GOOD,EUTROPHIC
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING,NA,NA
NLA12_ID-151,1,27-Jun-12,NA,NA,L,NA,NA,NA,1,L,NA,2,EXCELLENT,NA,NA,NA,NA,NA,M,NA,NA,3,M,RESERVOIR,NA,NA,NA,NA,NA,1,ARTIFICIAL,4,0-05,25-May,0-05,0-05,25-75,0-05,25-75,0-05,L,NA,NA,L,NA,2,LL,NA,NA,NA,FAIR,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,FAIR,MESOTROPHIC
NLA12_TX-110,1,28-Jun-12,NA,NA,NA,NA,NA,NA,0,NA,NA,3,FAIR,L,NA,NA,NA,NA,NA,NA,NA,1,L,RESERVOIR,ELEVATION CHANGE,0.5,0.5,NA,NA,2,NONE,2,0-05,0-05,25-May,25-May,25-May,25-May,NA,25-May,NA,L,L,NA,NA,3,LLL,NA,L,NA,EXCELLENT,L,L,NA,M,L,M,L,11,L,LLMLMLL,FAIR,EUTROPHIC
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING,NA,NA
NLA12_WI-102,1,27-Jun-12,NA,NA,NA,NA,NA,NA,0,NA,NA,5,GOOD,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,DRAINAGE,ELEVATION CHANGE,NA,NA,NA,NA,5,ARTIFICIAL,2,0-05,0-05,75-100,0-05,75-100,75-100,25-75,0-05,NA,NA,NA,NA,L,2,LL,NA,L,NA,EXCELLENT,NA,NA,NA,H,NA,H,H,15,NA,HHH,GOOD,MESOTROPHIC
NLA12_ID-109,1,27-Jun-12,NA,NA,NA,NA,NA,NA,0,NA,NA,3,GOOD,NA,NA,NA,NA,NA,NA,NA,L,1,L,RESERVOIR,NA,NA,NA,NA,NA,1,ARTIFICIAL,3,0-05,0-05,0-05,0-05,25-May,0-05,25-75,0-05,NA,NA,L,L,NA,4,LLLL,L,L,NA,GOOD,L,NA,NA,L,L,NA,L,4,NA,LLLL,FAIR,MESOTROPHIC
NLA12_ID-111,1,28-Jun-12,NA,NA,NA,NA,NA,NA,0,NA,NA,2,GOOD,NA,NA,NA,NA,L,L,NA,NA,2,LL,RESERVOIR,YES,0.9,0.9,NA,L,2,ARTIFICIAL,2,0-05,25-75,0-05,0-05,0-05,0-05,25-75,0-05,L,NA,L,L,NA,4,LLLL,NA,L,NA,GOOD,NA,L,NA,NA,NA,L,L,3,NA,LLL,FAIR,MESOTROPHIC
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING,NA,NA
NLA12_VT-106,1,2-Jul-12,NA,NA,NA,NA,NA,NA,0,NA,NA,5,EXCELLENT,NA,NA,NA,L,NA,NA,NA,NA,1,L,DRAINAGE,ZERO,NA,NA,NA,NA,0,NONE,4,0-05,0-05,0-05,25-May,0-05,0-05,25-May,75-100,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,GOOD,NA,NA,NA,L,NA,L,L,3,NA,LLL,FAIR,MESOTROPHIC
NLA12_WI-152,1,2-Jul-12,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,FAIR,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,DRAINAGE,ELEVATION CHANGE,0.2,0.2,NA,NA,7,NONE,NA,0-05,0-05,75-100,25-75,75-100,75-100,25-May,0-05,L,M,NA,NA,L,8,LMLM,NA,M,NA,GOOD,M,NA,NA,H,NA,H,M,16,NA,MHHM,FAIR,EUTROPHIC
NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,RESERVOIR,ELEVATION CHANGE,NA,NA,NA,NA,0,ARTIFICIAL,4,0-05,0-05,0-05,75-100,25-May,0-05,25-May,25-May,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,FAIR,NA
NLA12_WI-113,1,5-Jul-12,L,NA,NA,NA,L,NA,2,LL,NA,5,EXCELLENT,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,SEEPAGE,ZERO,NA,NA,NA,NA,1,NA,4,25-May,0-05,0-05,25-May,25-May,0-05,25-75,25-75,NA,NA,NA,NA,NA,1,L,NA,L,NA,EXCELLENT,NA,NA,NA,L,NA,L,NA,2,NA,LL,GOOD,MESOTROPHIC
NLA12_MI-151,1,9-Jul-12,NA,NA,NA,NA,NA,NA,0,NA,NA,2,FAIR,M,NA,NA,NA,NA,NA,NA,NA,3,M,DRAINAGE,ZERO,NA,NA,NA,NA,1,NONE,3,0-05,0-05,75-100,25-75,25-75,0-05,25-May,0-05,L,NA,H,NA,NA,12,LHHL,H,L,NA,FAIR,L,NA,NA,H,M,H,H,19,NA,LHMHH,GOOD,EUTROPHIC
NLA12_WI-117,1,10-Jul-12,NA,NA,NA,NA,NA,NA,0,NA,NA,5,EXCELLENT,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,SEEPAGE,ELEVATION CHANGE,0.8,0.8,NA,L,2,NA,4,NA,0-05,25-75,75-100,0-05,25-May,25-75,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,L,NA,M,NA,4,NA,LM,GOOD,MESOTROPHIC
NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,5,GOOD,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,RESERVOIR,ELEVATION CHANGE,NA,NA,NA,L,1,ARTIFICIAL,4,0-05,0-05,25-May,25-75,25-75,25-75,25-May,0-05,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,GOOD,L,NA,NA,M,NA,L,L,6,NA,LMLL,GOOD,NA
NLA12_MI-139,1,10-Jul-12,H,NA,NA,NA,NA,NA,5,H,NA,4,GOOD,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,DRAINAGE,NA,NA,NA,NA,NA,0,NA,4,0-05,0-05,0-05,0-05,75-100,0-05,25-May,0-05,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,GOOD,NA,NA,NA,L,NA,L,L,3,NA,LLL,GOOD,MESOTROPHIC
NLA12_MI-124,1,10-Jul-12,NA,NA,NA,NA,NA,NA,0,NA,NA,3,GOOD,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,DRAINAGE,ZERO,NA,NA,NA,NA,0,NONE,4,0-05,0-05,25-75,25-75,25-75,25-May,25-75,25-May,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,GOOD,NA,L,NA,M,NA,M,L,8,NA,LMML,FAIR,EUTROPHIC
NLA12_TX-117,2,10-Jul-12,NA,NA,M,NA,M,NA,6,MM,NA,2,FAIR,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,RESERVOIR,ZERO,NA,NA,NA,NA,0,ARTIFICIAL,2,25-75,25-May,0-05,0-05,0-05,0-05,0-05,25-75,NA,NA,NA,NA,NA,1,L,NA,L,NA,POOR,L,NA,NA,NA,L,NA,L,3,NA,LLL,UNSWIMMABLE,EUTROPHIC
NLA12_OR-106,1,10-Jul-12,NA,NA,NA,NA,NA,NA,0,NA,NA,5,EXCELLENT,NA,NA,NA,M,NA,NA,NA,NA,3,M,RESERVOIR,ZERO,NA,NA,NA,NA,1,ARTIFICIAL,4,0-05,0-05,0-05,75-100,25-May,0-05,25-May,0-05,NA,NA,NA,L,NA,3,LLL,L,L,NA,EXCELLENT,NA,NA,NA,NA,NA,NA,L,1,NA,L,GOOD,OLIGOTROPHIC
NLA12_WI-136,1,11-Jul-12,NA,NA,NA,NA,NA,NA,0,NA,NA,3,GOOD,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,DRAINAGE,ZERO,NA,NA,NA,NA,0,NONE,4,25-May,NA,25-May,0-05,25-May,25-May,25-May,25-75,NA,NA,NA,NA,NA,1,L,NA,L,NA,GOOD,NA,NA,NA,L,NA,M,NA,4,NA,LM,UNSWIMMABLE,EUTROPHIC
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING,NA,NA
NLA12_MI-109,1,11-Jul-12,M,NA,NA,NA,L,NA,4,ML,NA,2,FAIR,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,RESERVOIR,NA,NA,NA,NA,NA,1,ARTIFICIAL,2,0-05,0-05,25-75,25-75,25-75,25-75,25-75,25-May,L,NA,M,NA,NA,5,LML,L,NA,NA,FAIR,L,NA,NA,M,NA,M,M,11,L,LMMML,FAIR,HYPEREUTROPHIC
NLA12_TX-109,1,11-Jul-12,NA,NA,NA,NA,NA,NA,0,NA,NA,3,FAIR,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,RESERVOIR,ZERO,NA,NA,NA,NA,4,ARTIFICIAL,2,NA,0-05,0-05,25-75,25-75,25-May,25-May,25-May,NA,NA,L,NA,NA,1,L,NA,NA,NA,GOOD,L,NA,NA,L,L,L,L,6,L,LLLLLL,FAIR,EUTROPHIC
NLA12_VT-109,1,12-Jul-12,NA,NA,NA,NA,NA,NA,0,NA,NA,4,EXCELLENT,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,SEEPAGE,ZERO,3.5,3.5,NA,NA,0,ARTIFICIAL,4,NA,NA,25-May,25-75,25-May,0-05,0-05,25-75,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,GOOD,NA,NA,NA,L,NA,L,L,3,NA,LLL,GOOD,MESOTROPHIC
NLA12_MI-136,1,12-Jul-12,M,NA,NA,NA,NA,NA,3,M,NA,4,GOOD,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,SEEPAGE,ZERO,NA,NA,NA,NA,1,NONE,4,25-75,0-05,25-75,25-May,25-75,25-75,25-75,25-75,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,GOOD,NA,NA,NA,M,NA,M,L,7,NA,MML,GOOD,EUTROPHIC
NLA12_MI-105,1,11-Jul-12,NA,NA,NA,NA,NA,NA,1,L,L,3,GOOD,M,NA,M,NA,NA,NA,NA,M,9,MMM,DRAINAGE,ZERO,NA,NA,NA,NA,10,NONE,2,0-05,25-May,75-100,0-05,25-May,25-75,25-May,25-May,L,M,L,L,NA,10,LMLLLM,L,M,NA,GOOD,L,NA,NA,L,L,M,L,7,NA,LLLML,FAIR,MESOTROPHIC
NLA12_CA-R09,1,12-Jul-12,NA,NA,NA,NA,NA,NA,0,NA,NA,4,GOOD,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,DRAINAGE,ZERO,NA,NA,NA,NA,10,NONE,4,NA,25-May,0-05,25-75,25-May,0-05,25-May,0-05,NA,NA,L,NA,NA,5,LML,M,L,NA,EXCELLENT,NA,NA,NA,L,NA,L,L,3,NA,LLL,FAIR,MESOTROPHIC
NLA12_MI-167,1,12-Jul-12,M,NA,NA,NA,L,NA,4,ML,NA,2,POOR,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,DRAINAGE,NA,NA,NA,NA,NA,0,NONE,4,0-05,0-05,0-05,25-75,0-05,0-05,25-May,25-May,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,POOR,NA,NA,NA,NA,NA,L,L,2,NA,LL,UNSWIMMABLE,EUTROPHIC
NLA12_WI-168,1,13-Jul-12,NA,NA,NA,NA,NA,NA,0,NA,NA,4,GOOD,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,DRAINAGE,ZERO,NA,NA,NA,NA,0,NONE,1,NA,NA,75-100,25-May,25-75,75-100,NA,25-May,NA,NA,L,NA,L,3,LLL,NA,L,NA,EXCELLENT,NA,NA,NA,H,NA,H,L,11,NA,HHL,GOOD,EUTROPHIC
NLA12_TX-124,1,13-Jul-12,NA,NA,M,NA,M,NA,6,MM,NA,4,GOOD,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,RESERVOIR,NA,NA,NA,NA,M,6,ARTIFICIAL,3,NA,0-05,25-May,0-05,25-75,25-75,25-75,25-May,L,NA,NA,NA,NA,4,LM,NA,M,EXCELLENT,NA,M,NA,NA,L,M,M,NA,10,NA,MLMM,GOOD,MESOTROPHIC
NLA12_TX-148,1,15-Jul-12,NA,NA,L,NA,L,NA,2,LL,NA,3,FAIR,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,RESERVOIR,ELEVATION CHANGE,0.3,0.3,NA,L,2,ARTIFICIAL,2,NA,25-May,NA,NA,25-May,0-05,25-May,25-75,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,FAIR,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,FAIR,EUTROPHIC
NLA12_WI-172,1,14-Jul-12,NA,NA,NA,NA,NA,NA,0,NA,NA,3,FAIR,L,NA,L,NA,NA,NA,NA,NA,2,LL,RESERVOIR,ELEVATION CHANGE,0.3,0.3,NA,L,2,ARTIFICIAL,2,NA,0-05,25-75,25-May,25-May,25-May,25-75,25-75,H,NA,NA,NA,NA,6,HL,NA,L,NA,GOOD,L,NA,NA,M,L,M,M,11,NA,LMLMM,UNSWIMMABLE,EUTROPHIC
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,L,L,5,GOOD,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,SEEPAGE,ELEVATION CHANGE,2,2,NA,L,1,NATURAL,4,0-05,0-05,0-05,25-75,0-05,0-05,25-May,75-100,NA,NA,NA,L,NA,2,LL,NA,L,NA,GOOD,NA,NA,L,NA,NA,NA,L,2,NA,LL,FAIR,MESOTROPHIC
NLA12_MI-108,1,16-Jul-12,M,NA,NA,NA,L,NA,4,ML,NA,3,FAIR,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,DRAINAGE,NA,NA,NA,NA,NA,4,NA,2,0-05,25-May,75-100,0-05,25-75,75-100,0-05,0-05,NA,NA,NA,NA,NA,1,L,NA,L,NA,GOOD,NA,L,NA,M,NA,H,M,12,NA,LMHM,GOOD,MESOTROPHIC
NLA12_ID-149,1,15-Jul-12,NA,NA,NA,NA,NA,NA,0,NA,NA,3,GOOD,NA,NA,NA,NA,NA,L,NA,NA,1,L,SEEPAGE,NA,NA,NA,NA,NA,0,NONE,4,0-05,0-05,0-05,25-May,75-100,0-05,25-May,25-May,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,FAIR,NA,NA,NA,NA,NA,NA,L,1,NA,L,FAIR,MESOTROPHIC
NLA12_ID-148,1,16-Jul-12,NA,NA,L,L,L,NA,4,LLLL,L,4,GOOD,NA,NA,NA,L,NA,NA,NA,NA,1,L,SEEPAGE,NA,NA,NA,NA,L,3,NONE,4,0-05,25-May,0-05,0-05,25-May,0-05,75-100,0-05,NA,NA,L,L,NA,2,LL,NA,NA,NA,GOOD,NA,NA,NA,L,L,L,L,4,NA,LLLL,FAIR,MESOTROPHIC
NLA12_ID-103,1,14-Jul-12,NA,NA,NA,NA,NA,NA,0,NA,NA,3,GOOD,L,NA,NA,NA,NA,NA,NA,NA,1,L,DRAINAGE,NA,NA,NA,NA,NA,3,ARTIFICIAL,3,0-05,0-05,25-75,25-May,25-75,25-May,25-75,25-75,NA,NA,L,NA,NA,3,LLL,L,L,NA,GOOD,M,L,NA,M,NA,M,M,13,NA,MLMMM,GOOD,NA
NLA12_MI-104,1,17-Jul-12,NA,NA,NA,NA,NA,NA,0,NA,NA,4,GOOD,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,SEEPAGE,ZERO,NA,NA,NA,NA,4,NONE,4,0-05,25-May,25-75,25-May,25-75,25-75,25-75,25-May,L,NA,NA,NA,NA,2,LL,NA,L,NA,EXCELLENT,L,NA,NA,M,L,H,M,13,NA,LMLHM,GOOD,MESOTROPHIC
NLA12_VT-104,1,17-Jul-12,NA,NA,NA,NA,NA,NA,0,NA,NA,5,GOOD,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,DRAINAGE,ELEVATION CHANGE,1,1,NA,L,2,ARTIFICIAL,4,NA,0-05,NA,75-100,0-05,NA,0-05,0-05,NA,NA,L,L,NA,3,LLL,L,NA,NA,EXCELLENT,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,GOOD,OLIGOTROPHIC
NLA12_MI-120,1,17-Jul-12,NA,NA,NA,NA,NA,NA,0,NA,NA,3,POOR,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,DRAINAGE,NA,NA,NA,NA,NA,0,NA,3,0-05,0-05,0-05,25-75,0-05,0-05,25-75,25-May,NA,NA,NA,NA,NA,1,L,NA,L,NA,POOR,NA,NA,NA,L,NA,L,L,3,NA,LLL,FAIR,HYPEREUTROPHIC
NLA12_TX-103,1,17-Jul-12,NA,NA,NA,NA,L,NA,1,L,NA,4,POOR,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,RESERVOIR,ELEVATION CHANGE,10,10,L,H,7,ARTIFICIAL,2,NA,25-May,0-05,NA,NA,0-05,25-75,25-May,NA,NA,L,L,NA,4,LLLL,L,L,NA,FAIR,L,NA,NA,L,L,L,NA,4,NA,LLLL,FAIR,MESOTROPHIC
NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,DRAINAGE,ELEVATION CHANGE,0.3,0.3,NA,NA,0,ARTIFICIAL,4,0-05,0-05,0-05,75-100,0-05,0-05,25-May,0-05,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,L,NA,L,NA,2,NA,LL,FAIR,NA
NLA12_MI-152,1,18-Jul-12,M,NA,L,NA,L,NA,5,MLL,NA,4,GOOD,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,SEEPAGE,ELEVATION CHANGE,0.2,0.2,NA,NA,0,NA,4,0-05,0-05,25-May,25-75,25-May,0-05,25-75,0-05,NA,NA,NA,NA,NA,1,L,NA,L,NA,GOOD,NA,NA,NA,M,NA,L,NA,4,NA,ML,FAIR,MESOTROPHIC
